soil_series,texture,slope,erosion,drainage,soil_region,corn_base,soybeans_base,wheat_base,oats_base,hay_base,prod_index
BELMORE,L,6-12,S,W,2,88,28,37,72,3.7,61
BELMORE,L,6-12,M,W,2,84,27,36,69,3.6,59
BELMORE,L,12-18,S,W,3,81,25,34,67,3.4,56
BELMORE,L,12-18,M,W,3,78,24,33,64,3.3,54
"BELMORE,T-SUBST",L,2-6,S,W,2,92,29,38,77,3.8,64
BELPRE,C,6-12,S,W,2,85,30,32,56,4,61
BELPRE,C,12-18,S,W,3,80,25,28,52,3.5,54
BELPRE,C,18-25,S,W,3,0,0,0,0,2.5,42
BENNINGTON,L,0-2,S,SWP,2,106,36,42,70,4,69
BENNINGTON,SIL,0-2,S,SWP,2,106,36,42,70,4,69
BENNINGTON,SIL,0-3,S,SWP,2,106,36,42,70,4,69
BENNINGTON,SIL,2-4,S,SWP,2,103,35,41,67,3.9,67
BENNINGTON,SIL,2-6,S,SWP,2,102,34,40,66,3.8,66
BENNINGTON,SIL,2-6,M,SWP,2,98,32,38,62,3.6,63
"BENNINGTON,SH-SUBST",SIL,0-2,S,SWP,2,100,35,40,75,4,68
"BENNINGTON,SH-SUBST",SIL,2-6,S,SWP,2,95,30,40,75,4,66
"BENNINGTON-PYRMONT,LM-SUBST",SIL,0-2,S,SWP,2,90,29,44,78,3.8,65
BENNINGTON-TIRO,SIL,0-2,S,SWP,2,96,36,42,74,3.6,65
BENNINGTON-FITCHVILLE,SIL,2-6,S,SWP,2,100,34,40,72,4,67
BERKS,SIL,3-8,S,W,3,84,18,35,49,3.5,55
BERKS,SIL,12-18,S,W,3,75,16,31,44,2.8,47
BERKS,SIL,18-25,S,W,3,70,0,30,0,2.5,45
BERKS,SIL,15-25,S,W,3,70,0,30,0,2.5,45
BERKS,CN-SIL,0-6,S,W,3,84,17,35,48,3.5,54
BERKS,CN-SIL,2-6,S,W,3,83,17,35,48,3.5,54
BERKS,CN-SIL,2-8,S,W,3,82,17,35,48,3.5,54
BERKS,CN-SIL,6-12,S,W,3,78,17,33,46,3.5,53
BERKS,CN-SIL,6-15,S,W,3,77,16,32,0,3.4,52
BERKS,CN-SIL,6-18,S,W,3,76,16,32,44,3.3,50
BERKS,CN-SIL,8-15,S,W,3,76,16,32,44,3.3,50
BERKS,CN-SIL,12-18,S,W,3,72,15,30,42,2.8,45
BERKS,CN-SIL,12-20,S,W,3,71,15,30,42,2.8,45
BERKS,CN-SIL,15-25,S,W,3,70,0,30,33,2.5,44
BERKS,CN-SIL,15-25,M,W,3,67,0,29,32,2.4,42
BERKS,SH-SIL,3-8,S,W,3,81,17,34,47,3.4,53
BERKS,SH-SIL,8-15,S,W,3,76,16,32,44,3.2,50
BERKS,SH-SIL,15-25,S,W,3,70,0,30,35,2.5,44
BERKS,CH-SIL,2-8,S,W,3,83,17,35,48,3.5,54
BERKS,STV-SIL,15-25,M,W,3,0,0,0,0,0,0
"BERKS-AARON,C",,6-15,S,W,2,81,24,34,0,3.7,57
"BERKS-GUERNSEY,C.",,8-15,S,W,3,75,0,0,55,3,52
"BERKS-GUERNSEY,C.",,15-25,S,W,3,72,0,25,0,3,48
BERKS-MUSKINGUM-NEOTOMA,CN-SIL,6-18,S,W,3,0,0,0,0,2.6,43
"BERKS-TARHOLLOW,C",,6-15,S,W,3,80,31,36,53,3.5,57
BERKS-WESTMORELAND,SIL,15-25,S,W,3,72,0,25,42,3,48
BETHESDA,SIL,0-8,S,W,3,0,0,20,40,2,34
BETHESDA,SIL,8-20,S,W,3,0,0,15,35,1.5,26
BETHESDA,SIL,8-25,S,W,3,0,0,15,35,1.5,26
BETHESDA,L,0-8,S,W,3,0,0,20,40,2,34
BETHESDA,L,8-25,S,W,3,0,0,15,35,1.5,26
BETHESDA,CN-L,0-8,S,W,3,0,0,0,0,2,33
BETHESDA,CN-L,8-20,S,W,3,0,0,0,0,1.5,25
BETHESDA,CN-L,8-25,S,W,3,0,0,0,0,1.5,25
BETHESDA,CN-CL,0-8,S,W,3,0,0,0,0,2,33
BETHESDA,CN-CL,8-15,S,W,3,0,0,0,0,1.5,25
BETHESDA,CN-CL,8-20,S,W,3,0,0,0,0,1.5,25
BETHESDA,CN-CL,8-25,S,W,3,0,0,0,0,1.5,25
BETHESDA,CN-CL,15-25,S,W,3,0,0,0,0,1.5,25
BETHESDA,CNV-CL,0-8,S,W,3,0,0,0,0,2,33
BETHESDA,CNV-CL,3-15,S,W,3,0,0,0,0,1.8,30
BETHESDA,CNV-CL,8-20,S,W,3,0,0,0,0,1.5,25
BETHESDA,SH-CL,0-8,S,W,3,0,0,0,0,2,33
BETHESDA,SH-CL,8-25,S,W,3,0,0,0,0,1.5,25
