id,org_soil_2017,org_soil_2018,org_soil
BETHESDASICL8-20SW,FALSE,FALSE,FALSE
BETHESDASIL0-8SW,FALSE,FALSE,FALSE
BETHESDASIL8-20SW,FALSE,FALSE,FALSE
BETHESDASIL8-25SW,FALSE,FALSE,FALSE
"BIGLICK-MILTON,C0-2SW",FALSE,FALSE,FALSE
"BIGLICK-MILTON,C2-6SW",FALSE,FALSE,FALSE
BIRKBECKSIL0-2SMW,FALSE,FALSE,FALSE
BIRKBECKSIL1-4SMW,FALSE,FALSE,FALSE
BIRKBECKSIL2-6MMW,FALSE,FALSE,FALSE
BIRKBECKSIL2-6SMW,FALSE,FALSE,FALSE
"BIXLER,C-SUBSTLS0-2SSWP",FALSE,FALSE,FALSE
BIXLERLFS0-2SSWP,FALSE,FALSE,FALSE
BIXLERLFS0-3SSWP,FALSE,FALSE,FALSE
BIXLERLFS2-6SSWP,FALSE,FALSE,FALSE
"BLAIRTON-RARDEN-GILPIN,AS5-20SMW",FALSE,FALSE,FALSE
BLAKESLEESIL0-2SMW,FALSE,FALSE,FALSE
BLAKESLEESIL2-6SMW,FALSE,FALSE,FALSE
BLAKESLEESIL6-12SMW,FALSE,FALSE,FALSE
BLANCHESTERSICL0-1SVP,FALSE,FALSE,FALSE
BLANCHESTERSIL0-1SVP,FALSE,FALSE,FALSE
BLANCHESTERSIL0-2SVP,FALSE,FALSE,FALSE
BLOUNT-DEL REYSIL1-6SSWP,FALSE,FALSE,FALSE
"BLOUNT-HOUCKTOWN,C0-3SSWP",FALSE,FALSE,FALSE
"BLOUNT-JENERA,C0-3SSWP",FALSE,FALSE,FALSE
BLOUNTL0-2SSWP,FALSE,FALSE,FALSE
BLOUNTL0-3SSWP,FALSE,FALSE,FALSE
BLOUNTL2-6MSWP,FALSE,FALSE,FALSE
BLOUNTL2-6SSWP,FALSE,FALSE,FALSE
"BLOUNT,LM-SUBSTSIL0-3SSWP",FALSE,FALSE,FALSE
"BLOUNT,L-SUBSTL0-2SSWP",FALSE,FALSE,FALSE
"BLOUNT,L-SUBSTL2-6SSWP",FALSE,FALSE,FALSE
"BLOUNT-RIMER,C.2-6SSWP",FALSE,FALSE,FALSE
BLOUNTSIL0-2SSWP,FALSE,FALSE,FALSE
BLOUNTSIL0-4SSWP,FALSE,FALSE,FALSE
BLOUNTSIL2-4SSWP,FALSE,FALSE,FALSE
BLOUNTSIL2-6MSWP,FALSE,FALSE,FALSE
BLOUNTSIL2-6SSWP,FALSE,FALSE,FALSE
BOGARTGR-L0-2SMW,FALSE,FALSE,FALSE
BOGARTGR-L2-6SMW,FALSE,FALSE,FALSE
"BOGART-HASKINS,C2-6SMW",FALSE,FALSE,FALSE
BOGART-HASKINSL2-6SMW,FALSE,FALSE,FALSE
BOGARTL0-2SMW,FALSE,FALSE,FALSE
BOGARTL2-5SMW,FALSE,FALSE,FALSE
BOGARTL2-6SMW,FALSE,FALSE,FALSE
BOGARTL6-12MMW,FALSE,FALSE,FALSE
BOGARTSIL0-2SMW,FALSE,FALSE,FALSE
BOGARTSIL2-5SMW,FALSE,FALSE,FALSE
BOGARTSIL2-6SMW,FALSE,FALSE,FALSE
BOGARTSIL6-12SMW,FALSE,FALSE,FALSE
BOGARTSL0-2SMW,FALSE,FALSE,FALSE
BOGARTSOILS5-10MMW,FALSE,FALSE,FALSE
BOGARTSOILS5-10SMW,FALSE,FALSE,FALSE
"BOGART,T-SUBSTL2-6SMW",FALSE,FALSE,FALSE
"BOGART,T-SUBSTL6-12SMW",FALSE,FALSE,FALSE
"BOGART,VL0-3SMW",FALSE,FALSE,FALSE
"BOGART,VL3-8SMW",FALSE,FALSE,FALSE
BONNELLSICL15-25SEW,FALSE,FALSE,FALSE
BONNELLSIL15-25MW,FALSE,FALSE,FALSE
BONNELLSIL15-25SW,FALSE,FALSE,FALSE
"BONNIE,FF-PHSIL0-2SVP",FALSE,FALSE,FALSE
"BONNIE,PO-PHSIL0-2SVP",FALSE,FALSE,FALSE
"BONO,LO-SUBSTSIC0-2SVP",FALSE,FALSE,FALSE
BONOSIC0-2SVP,FALSE,FALSE,FALSE
BONOSICL0-2SVP,FALSE,FALSE,FALSE
"BONPAS,OV-PHSIL0-2SVP",FALSE,FALSE,FALSE
BONPASSICL0-2SVP,FALSE,FALSE,FALSE
BONPASSIL0-2SVP,FALSE,FALSE,FALSE
"BOSTON-BRATTON,C12-18MW",FALSE,FALSE,FALSE
"BOSTON-BRATTON,C12-18SEW",FALSE,FALSE,FALSE
"BOSTON-BRATTON,C18-25MW",FALSE,FALSE,FALSE
"BOSTON-BRATTON,C6-12MW",FALSE,FALSE,FALSE
"BOSTON-BRATTON,C6-12SEW",FALSE,FALSE,FALSE
BOSTON-GRAYFORDSIL2-6MW,FALSE,FALSE,FALSE
BOSTON-GRAYFORDSIL2-6SW,FALSE,FALSE,FALSE
BOYERGR-LS12-18SW,FALSE,FALSE,FALSE
BOYERL0-4SW,FALSE,FALSE,FALSE
BOYERLS1-6SW,FALSE,FALSE,FALSE
BOYERLS6-12SW,FALSE,FALSE,FALSE
BRACEVILLEL0-2SMW,FALSE,FALSE,FALSE
BRACEVILLEL2-6SMW,FALSE,FALSE,FALSE
BRACEVILLEL6-12MMW,FALSE,FALSE,FALSE
BRADYSL0-3SSWP,FALSE,FALSE,FALSE
"BRATTON-OPEQUON,C8-15MW",FALSE,FALSE,FALSE
BRATTONSICL12-18SEW,FALSE,FALSE,FALSE
BRATTONSIL12-18MW,FALSE,FALSE,FALSE
BRATTONSIL2-6MW,FALSE,FALSE,FALSE
BRATTONSIL2-6SW,FALSE,FALSE,FALSE
BRATTONSIL2-8SW,FALSE,FALSE,FALSE
BRATTONSIL3-8MW,FALSE,FALSE,FALSE
BRATTONSIL6-12MW,FALSE,FALSE,FALSE
BRENTONSIL0-2SSWP,FALSE,FALSE,FALSE
BRONSONSL1-6SMW,FALSE,FALSE,FALSE
BROOKESICL12-18MW,FALSE,FALSE,FALSE
BROOKESICL12-25MW,FALSE,FALSE,FALSE
BROOKESICL4-12MW,FALSE,FALSE,FALSE
BROOKSIDESICL12-18SW,FALSE,FALSE,FALSE
BROOKSIDESICL12-20SW,FALSE,FALSE,FALSE
BROOKSIDESICL15-25SW,FALSE,FALSE,FALSE
BROOKSIDESICL18-25SW,FALSE,FALSE,FALSE
BROOKSIDESICL6-12SW,FALSE,FALSE,FALSE
BROOKSIDESICL8-15MW,FALSE,FALSE,FALSE
BROOKSIDESICL8-15SW,FALSE,FALSE,FALSE
BROOKSIDESIL15-25MW,FALSE,FALSE,FALSE
BROOKSIDESIL15-25SW,FALSE,FALSE,FALSE
BROOKSIDESIL8-15MW,FALSE,FALSE,FALSE
BROOKSIDESIL8-15SW,FALSE,FALSE,FALSE
