county,real_property_value,public_utility_property_value,tangible_property_value,total_property_value,real_property_tax,public_utility_property_tax,tangible_property_tax,total_property_tax,special_assessments,year
crawford,302965910000,41960800000,88508172000,433434882000,16446240000,2291988000,4689117000,23427345000,70478000,1987
cuyahoga,11276389400000,1116849540000,2438654391000,14831893331000,929494487000,88298022000,179620624000,1197413133000,21371770000,1987
darke,341341850000,30450950000,60214410000,432007210000,14666247000,1281279000,2645154000,18592680000,193147000,1987
defiance,262868640000,51924540000,71014944000,385808124000,12149108000,2422988000,3175214000,17747310000,236802000,1987
delaware,627934290000,70884560000,101052283000,799871133000,32125679000,3485710000,5151844000,40763233000,143201000,1987
erie,602017930000,78594950000,138200807000,818813687000,38218527000,4940031000,8656582000,51815140000,1636326000,1987
fairfield,650326800000,75790360000,87047975000,813165135000,40158742000,4464059000,5149191000,49771992000,168694000,1987
fayette,184290650000,27812810000,26396405000,238499865000,7239287000,1072333000,1089314000,9400933000,173390000,1987
franklin,8624064800000,635074720000,1538154153000,10797293673000,548387353000,39669854000,94018771000,682075978000,1186153000,1987
fulton,267235660000,47141230000,54629596000,369006486000,14629443000,2554523000,2953889000,20137855000,362034000,1987
gallia,175391430000,239580110000,23552000000,438523540000,5898182000,7623914000,816959000,14339055000,3745000,1987
geauga,828768990000,76336720000,74632180000,979737890000,60297984000,5422988000,5281367000,71002339000,499929000,1987
greene,971767770000,103011550000,88760737000,1163540057000,61697043000,6412244000,5602547000,73711834000,1629046000,1987
guernsey,216988430000,48191730000,48107822000,313287982000,11331672000,2448295000,2593467000,16373434000,91043000,1987
hamilton,7171520830000,778070400000,1774451030000,9724042260000,484408721000,50397382000,110660115000,645466218000,2426747000,1987
hancock,546152730000,68548510000,168291208000,782992448000,25835045000,3024761000,7924544000,36784350000,394640000,1987
hardin,182683500000,28729510000,29240815000,240653825000,8695704000,1338185000,1353211000,11387100000,230769000,1987
harrison,106104650000,30146190000,22502260000,158753100000,4875141000,1366574000,999670000,7241385000,38728000,1987
henry,205478940000,32919260000,55645862000,294044062000,10384125000,1734826000,2686556000,14805507000,351729000,1987
highland,185677600000,23594260000,23208899000,232480759000,7589486000,978442000,951353000,9519281000,35832000,1987
hocking,138547320000,47209250000,20696139000,206452709000,6718986000,2280755000,995589000,9995330000,26981000,1987
holmes,209478300000,30085840000,32393930000,271958070000,9566976000,1392361000,1469792000,12429130000,10304000,1987
huron,352138220000,42173230000,94098892000,488410342000,19799665000,2352634000,5328255000,27480555000,193939000,1987
jackson,152934170000,37301240000,38206599000,228442009000,5705255000,1346209000,1447152000,8498616000,10684000,1987
jefferson,411948010000,345114940000,114875070000,871938020000,18211676000,13964201000,5257743000,37433620000,236794000,1987
knox,306971570000,47896710000,62769573000,417637853000,16715459000,2619027000,3306318000,22640805000,1248418000,1987
