year,county,school_district,sd_number,political_unit,info_number,total_rate_gross,total_rate_class1,total_rate_class2,emergency_rate,current_expense_rate_gross,current_expense_rate_class1,current_expense_rate_class2,bond_rate,general_fund_millage,recreation_rate_gross,recreation_rate_class1,recreation_rate_class2,improvement_rate_gross,improvement_rate_class1,improvement_rate_class2,library_millage,library_rate_gross,library_rate_class1,library_rate_class2,acquisition_rate,mill_floor_rate_class1,mill_floor_rate_class2,sub_levy_rate,library_rate_millage,safety_rate_gross,safety_rate_class1,safety_rate_class2,credit_qualify_rate_class1,qualifying_nonbusiness_class1
1994,belmont,bellaire csd,NA,NA,NA,33.5,25.286469999999998,25.26491,0,23,15.50002,15.50002,0,4.5,0,0,0,6,5.286440000000001,5.264889999999999,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,belmont,bridgeport evsd,NA,NA,NA,33.65,24.375960000000003,24.543789999999998,0,27.3,18.222299999999997,18.48085,0,4.35,0,0,0,2,1.8036699999999999,1.7129299999999998,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,belmont,martins ferry csd,NA,NA,NA,37.65,27.02732,31.875870000000003,5.1499999999999995,26,15.50002,20.39051,0,4.5,0,0,0,2,1.87731,1.8353599999999999,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,belmont,shadyside lsd,NA,NA,NA,32.449999999999996,22.42482,23.214090000000002,0,27.6,17.574820000000003,18.36409,0,4.85,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,belmont,st. clairsville-richland csd,NA,NA,NA,32.25,23.325619999999997,21.80959,0,27.25,18.325619999999997,16.80959,0,5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,belmont,union lsd,NA,NA,NA,33.5,25.25762,24.86284,0,23.85,16.10001,16.10001,0,4.6499999999999995,0,0,0,5,4.50761,4.112829999999999,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,brown,eastern lsd (brown co.),NA,NA,NA,38.7,31.868729999999996,38.12447,0,28.8,22.16301,28.243779999999997,4.4,4.5,0,0,0,1,0.80571,0.9806900000000001,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,brown,fayetteville-perry lsd,NA,NA,NA,36.4,27.900019999999998,27.900009999999998,0,23.7,15.200019999999999,15.200009999999999,7.9,4.8,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,brown,georgetown evsd,NA,NA,NA,29,24.00001,24.00001,0,20.3,15.30001,15.30001,4,4.7,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,brown,ripley-union-lewis lsd,NA,NA,NA,36.4,27.30002,27.3,0,25.3,16.20002,16.2,6.5,4.6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,brown,western brown lsd,NA,NA,NA,20,20,20,0,15.3,15.3,15.3,0,4.7,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,butler,edgewood csd,NA,NA,NA,35.36,24.59148,25.154690000000002,0,26.02,15.25148,15.81469,4.5,4.84,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,butler,fairfield csd (butler co.),NA,NA,NA,55.160000000000004,35.66668,35.74972,0,40.17,21.93702,21.992189999999997,6.2,6.79,0,0,0,2,0.73966,0.7675299999999999,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,butler,hamilton csd,NA,NA,NA,43.809999999999995,27.993229999999997,29.9408,0,39.54,23.723229999999997,25.670800000000003,0,4.2700000000000005,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,butler,lakota lsd (butler co.),NA,NA,NA,51.74,32.60793,33.72950000000001,0,37.15,18.017930000000003,19.1395,8.1,6.49,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,butler,madison lsd (butler co.),NA,NA,NA,31.939999999999998,25.400009999999998,25.4,5.4,19.72,13.18001,13.18,0,6.819999999999999,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,butler,middletown csd,NA,NA,NA,32.879999999999995,29.69,29.69,9.450000000000001,18.27,15.08,15.08,0.24000000000000002,4.92,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,butler,new miami lsd,NA,NA,NA,25.84,20.75,20.75001,0,19.82,14.729999999999999,14.730009999999998,0.75,5.2700000000000005,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,butler,ross lsd,NA,NA,NA,47.730000000000004,32.326910000000005,33.608250000000005,5.55,33.620000000000005,18.762739999999994,19.74984,0,5.359999999999999,0,0,0,3.2,2.65417,2.94841,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,butler,talawanda csd,NA,NA,NA,51.8,32.48993,33.74222,0,39.61,20.29993,21.55222,8,4.1899999999999995,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,carroll,brown lsd,NA,NA,NA,33.5,23.74112,21.741509999999998,0,28.7,18.941699999999997,16.941509999999997,0,3.8,0,0,0,1,0.99942,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,carroll,carrollton evsd,NA,NA,NA,29.4,20.153940000000002,20.00002,0,25.4,16.153940000000002,16.00002,0,4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,champaign,graham lsd,NA,NA,NA,33.4,26.681,26.427729999999997,4.8,21.1,15.00001,15.00001,0,5,0,0,0,2.5,1.88099,1.6277199999999998,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,champaign,mechanicsburg evsd,NA,NA,NA,37.4,30.42106,30.5107,5.6,21.8,15.50002,16.101980000000005,0.5,4.5,0,0,0,5,4.32105,3.80872,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,champaign,triad lsd,NA,NA,NA,33.6,22.09775,21.30001,0,27.3,15.797749999999999,15.00001,1.3,5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,champaign,urbana csd,NA,NA,NA,52.4,31.72047,37.75727,0,45,25.03018,30.61252,0,3.9,0,0,0,3.5,2.79029,3.2447600000000003,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,champaign,west liberty salem lsd,NA,NA,NA,40.7,26.18581,26.17968,0,29.7,16.1,16.104750000000003,5.6,3.9,0,0,0,1.5,0.5858099999999999,0.57493,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clark,mad river-green lsd,NA,NA,NA,37.2,27.59288,27.77897,3.4,23,13.80002,13.80002,1.6,6.2,0,0,0,3,2.5928599999999995,2.77895,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clark,northeastern lsd (clark co.),NA,NA,NA,38.64,28.120260000000002,28.397750000000002,0,31.04,20.52026,20.79775,1.3,6.3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clark,northwestern lsd (clark co.),NA,NA,NA,36.849999999999994,33.35001,33.35001,12.1,17.9,14.40001,14.40001,1.25,5.6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clark,southeastern lsd,NA,NA,NA,37.6,24.61542,26.191970000000005,0,28.6,16.07829,17.75924,0.8,5.2,0,0,0,3,2.53714,2.4327399999999995,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clark,springfield csd,NA,NA,NA,52,32.70131000000001,39.17669,0,40.5,21.20131,27.67669,4.9,6.6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clark,springfield lsd (clark co.),NA,NA,NA,37.349999999999994,25.45002,25.45002,5.05,25.3,13.40002,13.40002,0.4,6.6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clark,tecumseh lsd,NA,NA,NA,39.4,31.873739999999998,32.367889999999996,8.6,21,14.200009999999999,14.200009999999999,0,5.8,0,0,0,4,3.2737200000000004,3.7678800000000003,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clermont,batavia lsd,NA,NA,NA,49,33.95045999999999,34.722510000000014,0,38.4,23.350460000000002,24.12251,6.3,4.3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clermont,bethel-tate lsd,NA,NA,NA,34.1,21.48192,23.32773,0,29.6,16.98192,18.82773,0.8,3.7,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clermont,clermont-northeastern lsd,NA,NA,NA,36.9,23.47421,23.400019999999998,0,29.1,15.674209999999999,15.600019999999999,3.4,4.4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clermont,felicity-franklin lsd,NA,NA,NA,31.3,23.00001,23.00001,0,24.8,16.50001,16.50001,3,3.5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clermont,goshen lsd,NA,NA,NA,30.4,24.00002,24,0,21.8,15.40002,15.4,4,4.6,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clermont,milford evsd,NA,NA,NA,57.5,34.34263,36.03567,0,50.5,27.342629999999996,29.03567,3.2,3.8,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clermont,new richmond evsd,NA,NA,NA,32.6,20.60002,23.59961,0,28.5,16.50002,19.499609999999997,0.6,3.5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clermont,west clermont lsd,NA,NA,NA,49.449999999999996,30.623350000000002,32.04107,0,43.349999999999994,24.52335,25.94107,1.9,4.2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clermont,williamsburg lsd,NA,NA,NA,41.8,31.36622,34.01567,4.3,33.6,23.16622,25.81567,0,3.9,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clinton,blanchester lsd,NA,NA,NA,33.9,23.39163,24.21823,0,26.5,16.14462,16.95903,2.3,4.1,0,0,0,1,0.84701,0.8592000000000001,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clinton,clinton massie lsd,NA,NA,NA,32.55,25.05002,25.05001,0,23.3,15.80002,15.80001,5.05,4.2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clinton,east clinton lsd,NA,NA,NA,35.4,27.735409999999998,26.964299999999998,0,25.3,17.63541,16.8643,5.9,4.2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,clinton,wilmington csd,NA,NA,NA,33.7,28.900009999999998,28.90723,3.2,20.4,15.60001,15.60723,5.7,4.4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,columbiana,beaver lsd,NA,NA,NA,38.9,32.78721,32.66698,10.3,21,15.40001,15.40001,0,4.6,0,0,0,3,2.4871900000000005,2.36698,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,columbiana,columbiana evsd,NA,NA,NA,48.5,34.66286,34.67167,12.3,28.9,15.40002,15.455750000000002,1.1,4.6,0,0,0,1.6,1.26284,1.2159199999999997,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,columbiana,crestview lsd (columbiana co.),NA,NA,NA,38.620000000000005,25.948069999999998,26.552139999999998,0,27.5,14.828069999999999,15.43214,5.92,5.2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,columbiana,east liverpool csd,NA,NA,NA,36.6,34.37125999999999,32.50694,9,21.4,19.171890000000005,17.30694,0,4.2,0,0,0,2,1.9993699999999999,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
