county,res_ag_gross_millage,res_ag_net_millage,public_gross_millage,public_net_millage,tangible_millage,year
geauga,80.49,55.98,79.89,60.26,82.63,1990
greene,65.17,46.62,64.01,48.04,63.95,1990
guernsey,47.39,39.6,49.01,42.73,50.5,1990
hamilton,71.24,54.45,68.07,55.42,65.35,1990
hancock,47.92,38.05,48.85,39.72,45.75,1990
hardin,NA,30.43,NA,26.21,48.85,1990
harrison,48.03,37.11,47.89,38.09,47.41,1990
henry,53.34,48.06,51.79,46.26,53.1,1990
highland,43.61,38.37,43.38,36.55,44.23,1990
hocking,55.12,43.49,55.24,42.91,54.88,1990
holmes,45.98,39.32,47.09,40.08,46.46,1990
huron,55.68,38.66,56.55,41.12,55.34,1990
jackson,37.73,34.01,38.52,34.7,37.4,1990
jefferson,45.46,34.19,44.63,39.74,43.04,1990
knox,56.12,47.5,54.53,47.42,54.77,1990
lake,75.98,48.4,68.92,41.77,69.38,1990
lawrence,39.58,36.34,40.6,36.98,39.02,1990
licking,55.29,43.72,53.47,42.77,52.08,1990
logan,53.47,39.42,53.8,40.21,53.62,1990
lorain,68.74,50.14,68.7,52.41,68.52,1990
lucas,76.89,52.83,74.23,54.78,72.03,1990
madison,49.92,45.09,51.89,45.94,49.93,1990
mahoning,65.99,54.15,66.78,58.11,70.58,1990
marion,58.28,46.13,58.55,46.35,58.06,1990
medina,70.8,44.78,70.36,48.56,69.22,1990
meigs,38.41,34.64,39.92,37.16,38.56,1990
mercer,45.08,40.68,44.04,38.07,45.5,1990
miami,56.56,36.7,57.1,40.22,57.35,1990
monroe,45.79,34.77,45.11,39.45,44.78,1990
montgomery,71.79,55.71,70.08,56.71,69.62,1990
morgan,38.92,30.7,40.05,30.78,40.43,1990
morrow,56.13,48.66,59.22,48.58,58.39,1990
muskingum,58.03,40.36,59.06,43.06,58.18,1990
noble,41.68,38.97,42.04,39.18,41.38,1990
ottawa,58.4,36.36,54.67,35.22,44.3,1990
paulding,56.69,52.7,59.96,51.74,56.82,1990
perry,55.58,45.14,56.43,46.49,55.83,1990
pickaway,46.46,39.36,47.14,39.91,44.69,1990
pike,54.06,41.92,59.39,44.13,54.69,1990
portage,74.46,49.17,76.62,56.07,74.5,1990
preble,47.96,42.55,49.74,38.55,49.2,1990
putnam,48.41,44.26,45.53,41.11,45.77,1990
richland,61,49.42,59.98,46.9,59.65,1990
ross,53.08,41.77,55,42.39,53.79,1990
sandusky,51.28,42.58,49.81,44.26,50.87,1990
scioto,52.56,41.9,55.25,46.06,50.87,1990
seneca,51.6,41.62,52.42,44.84,52.34,1990
shelby,45.62,37.06,45.81,34.81,43.03,1990
stark,57.81,41.05,57.01,40.35,56.44,1990
summit,69.85,55.71,68.41,52.71,68.42,1990
trumbull,56.87,46.66,54.54,45.99,54.58,1990
