county,residential_taxable_value,agricultural_taxable_value,industrial_taxable_value,commercial_taxable_value,mineral_taxable_value,total_taxable_value,year
perry,109562650,35819950,6786210,18231580,3415290,173815680,1993
pickaway,250442310,80225940,25570860,49575070,0,405814180,1993
pike,81630590,31067120,1646330,16227100,14900,130586040,1993
portage,853798670,77100310,52798530,162042340,8521500,1154261350,1993
preble,214604850,82164490,16585840,31012520,0,344367700,1993
putnam,169298230,90984480,9046200,22486830,0,291815740,1993
richland,699323300,65570180,76371390,214126010,0,1055390880,1993
ross,271525200,58611720,36652290,64202740,0,430991950,1993
sandusky,318448980,62845280,36597840,65838950,27580,483758630,1993
scioto,278096390,41269180,12011040,79092350,0,410468960,1993
seneca,261959050,93339510,27493160,55956320,13220,438761260,1993
shelby,277003700,82340610,49461200,51736650,1880,460544040,1993
stark,2238089340,157448370,147230140,617612790,9464000,3169844640,1993
summit,4262317910,63423680,235521130,1257333150,6320730,5824916600,1993
trumbull,1256885540,123333920,119785120,300005390,8016610,1808026580,1993
tuscarawas,412946950,90722530,42237020,114896270,8067070,668869840,1993
union,184002530,75684568,57181900,41211250,0,358080248,1993
van wert,141750620,71926370,14749450,28300040,580,256727060,1993
vinton,29962720,23135620,4163560,4215690,1883850,63361440,1993
warren,972059510,67805130,44714980,228900850,0,1313480470,1993
washington,260548270,73593470,41989680,73233030,4180220,453544670,1993
wayne,610801870,106018200,68228100,127931290,4404460,917383920,1993
williams,170390930,44176180,25406980,33156070,0,273130160,1993
wood,771652790,100457730,82263560,215255380,7950,1169637410,1993
wyandot,89182950,47756220,12494000,17114410,880,166548460,1993
adams,72210510,38436400,57116140,12906160,0,180669210,1994
allen,618837830,71232020,64308590,161621240,0,915999680,1994
ashland,252909240,60219880,19988520,44978470,410630,378506740,1994
ashtabula,452693300,115949550,44201320,116207540,2497820,731549530,1994
athens,210949960,44767460,5635780,80333350,1226890,342913440,1994
auglaize,271454370,62834380,25821580,55122290,0,415232620,1994
belmont,304918480,50154590,24625910,97893120,5093150,482685250,1994
brown,171530430,62217560,6219110,24674700,0,264641800,1994
butler,2484000640,92732720,289805910,505048070,0,3371587340,1994
carroll,105073770,61758680,8473620,19670730,1963750,196940550,1994
champaign,190264120,62802150,11168510,29004550,0,293239330,1994
clark,891113190,61590820,57581020,203884160,0,1214169190,1994
clermont,1180779030,65797400,67642530,386027070,0,1700246030,1994
clinton,188100940,71515460,22898400,56014000,0,338528800,1994
columbiana,484805150,59927040,31888240,102265090,2655860,681541380,1994
coshocton,163424900,50027770,33434810,37486830,5386440,289760750,1994
crawford,215029580,61375070,21708850,45624670,0,343738170,1994
cuyahoga,13167070410,2554630,1101054270,4493721140,0,18764400450,1994
darke,286898580,120004160,20288130,52021020,0,479211890,1994
defiance,207996450,63518060,17485060,45984350,0,334983920,1994
delaware,1084893850,88184060,47215520,156025670,590,1376319690,1994
erie,688495820,60672240,43700360,177350240,28900,970247560,1994
fairfield,794969880,83083430,29778730,147877930,57660,1055767630,1994
fayette,130633350,76286350,10569780,36981160,2960,254473600,1994
franklin,8107919960,80603470,849560750,3723444720,0,12761528900,1994
fulton,226807980,74605730,33112960,41755340,110,376282120,1994
gallia,107819690,37625000,3151490,72176640,554340,221327160,1994
geauga,1060866410,167495210,40441060,102376060,3114900,1374293640,1994
greene,1258954130,83030000,37010230,287405930,0,1666400290,1994
guernsey,154504040,33185130,9822850,41375860,4223460,243111340,1994
hamilton,7463607840,23741150,709563040,2963151580,0,11160063610,1994
hancock,456101780,92469150,69695850,124655120,0,742921900,1994
hardin,120103690,72942640,12034550,25542400,0,230623280,1994
harrison,60675170,32591780,7250100,12900530,3388540,116806120,1994
henry,150708530,77031420,14441460,22063320,0,264244730,1994
highland,155686370,66184700,6387900,30780800,0,259039770,1994
hocking,132959420,17762300,8101010,17034500,1249760,177106990,1994
holmes,125713570,99103900,21905460,34562010,8070190,289355130,1994
huron,311437530,78414420,28936930,70523070,29380,489341330,1994
jackson,111446740,32107320,18863860,29457250,342090,192217260,1994
jefferson,345455160,37447850,61041090,74149140,1465220,519558460,1994
knox,267018370,81610770,16113950,46345240,1489600,412577930,1994
lake,2241491490,54473340,215587390,608293610,0,3119845830,1994
lawrence,223932580,31432970,8680450,45937810,712560,310696370,1994
licking,968285280,115271050,52812870,217594640,1518600,1355482440,1994
logan,277316810,53005830,25054030,52061620,0,407438290,1994
lorain,2109717000,72793860,135021410,419434240,204970,2737171480,1994
lucas,3037243870,54850300,219541980,1129845450,0,4441481600,1994
madison,210513660,71997090,10472650,33443610,0,326427010,1994
mahoning,1536816760,81023850,77696070,416396800,8380440,2120313920,1994
marion,278598220,49404520,30038480,86292670,5730,444339620,1994
medina,1218079670,126032820,50459780,190696290,2316770,1587585330,1994
meigs,65482380,34245340,23966070,12871990,4386350,140952130,1994
mercer,232596930,107105277,17233800,48170950,1900,405108857,1994
miami,706834060,64023850,64941070,122031650,0,957830630,1994
monroe,46089750,30534460,19224600,6821620,5216970,107887400,1994
montgomery,4124510000,65547140,308536280,1299202870,0,5797796290,1994
morgan,49745440,41226580,5296540,17931630,3168140,117368330,1994
morrow,132338150,58270790,4429750,15491690,1612910,212143290,1994
muskingum,403072370,66891180,21991910,113954540,8894940,614804940,1994
noble,33169130,33109790,2589310,6076710,4996440,79941380,1994
ottawa,476872910,57806420,67160200,92080750,0,693920280,1994
paulding,82242830,39114490,6910170,10118260,0,138385750,1994
perry,113182020,35858730,6484590,18282370,3586310,177394020,1994
pickaway,260330440,80850190,28408510,47706170,74360,417369670,1994
pike,82823660,30975420,1646330,16257730,14900,131718040,1994
portage,1026067590,97375820,70591830,195109350,8665420,1397810010,1994
preble,219642980,82897910,16813560,32465870,0,351820320,1994
putnam,174004110,91204250,9565600,22451690,0,297225650,1994
richland,706285600,63754710,73997660,214258050,23240,1058319260,1994
ross,281734880,59805060,36783930,67248680,0,445572550,1994
sandusky,356621330,75820820,38134080,69083510,27090,539686830,1994
scioto,281184770,41435060,12018930,87696220,0,422334980,1994
seneca,265916680,93225480,27178090,59072170,10870,445403290,1994
shelby,285471260,82513950,48633740,53554160,430,470173540,1994
stark,2462805260,186047350,186703130,682706450,9296480,3527558670,1994
summit,4384227990,60937030,237558300,1288600790,5946830,5977270940,1994
trumbull,1277005890,122099540,115790800,307332980,8633380,1830862590,1994
tuscarawas,421340110,91113900,42809200,117980380,7841140,681084730,1994
union,197380170,75674448,59500980,42525330,0,375080928,1994
van wert,144202440,71463930,14545100,28205860,580,258417910,1994
vinton,32105630,25334710,4171840,4467660,1871000,67950840,1994
warren,1196408780,84222140,48533600,265812560,0,1594977080,1994
washington,265034410,75146710,41613470,77598600,3772360,463165550,1994
wayne,632171490,106948850,69591130,131471890,4943590,945126950,1994
williams,211869630,62789200,29113880,38075900,0,341848610,1994
wood,796095020,99577870,84567550,217425070,7950,1197673460,1994
wyandot,91006590,47771710,12806160,18323720,880,169909060,1994
adams,78420670,40866150,57177870,13724720,0,190189410,1995
allen,633964650,71002660,67488710,163878620,0,936334640,1995
ashland,262973530,60157830,20307420,45439990,317540,389196310,1995
ashtabula,461636840,118007950,43496170,117045860,1869690,742056510,1995
athens,219214880,44858000,5573780,79944640,1396570,350987870,1995
auglaize,278656150,62761670,27117790,57451790,0,425987400,1995
belmont,307729350,49964780,24916860,98041310,4723040,485375340,1995
brown,176248720,62685860,6302960,25322230,0,270559770,1995
butler,2592245440,84322330,304557010,562652250,0,3543777030,1995
carroll,134746510,78200270,10733390,23171810,1770390,248622370,1995
champaign,227005450,72684950,13836890,33605690,0,347132980,1995
clark,958739910,65538220,58369550,209768470,0,1292416150,1995
clermont,1254263280,66966030,62837300,389191700,0,1773258310,1995
clinton,195795300,72004440,23086380,59296940,0,350183060,1995
columbiana,592496180,66994560,33287410,116081440,2159570,811019160,1995
coshocton,166591640,51033090,33495160,37743270,4982740,293845900,1995
crawford,217363420,61851400,22022340,46158110,0,347395270,1995
cuyahoga,13292073030,2723240,1109705150,4572144980,0,18976646400,1995
darke,294358340,119793660,22453400,53595230,0,490200630,1995
defiance,211918410,64253550,17705700,44587090,0,338464750,1995
delaware,1200641380,91242740,47492840,159895660,100060,1499372680,1995
erie,691389460,61399070,43168590,180440000,29200,976426320,1995
fairfield,1081227010,107363800,31500270,183615750,198190,1403905020,1995
fayette,134351330,75991820,11016735,36451660,2960,257814505,1995
franklin,8398179780,83255430,856459370,3814969910,0,13152864490,1995
fulton,238289450,74731040,33646270,43350750,110,390017620,1995
gallia,110040700,37883360,3127430,74863860,432430,226347780,1995
geauga,1102302700,169131570,40913630,104874900,2316310,1419539110,1995
greene,1313072340,81780710,37256320,301399730,0,1733509100,1995
guernsey,158101000,33583730,9421890,40821090,3820700,245748410,1995
hamilton,7575593980,24087360,715692630,2984524080,0,11299898050,1995
hancock,529015180,99845850,70186220,127114690,0,826161940,1995
hardin,120472350,76256290,12464990,27693250,0,236886880,1995
harrison,61769330,32517530,7604390,12504440,3035820,117431510,1995
henry,155800190,76957740,13344940,21673920,0,267776790,1995
highland,160145810,66124130,6055440,33670940,0,265996320,1995
hocking,155899420,20309510,8882690,17503510,1078590,203673720,1995
holmes,149984730,114744100,24562070,36590300,7124590,333005790,1995
huron,316813080,80034300,31364990,72140620,32450,500385440,1995
jackson,113460700,32578540,17133670,30802570,344540,194320020,1995
jefferson,346731830,36713810,60444140,73954620,1436950,519281350,1995
knox,277966620,82520330,18284130,50173170,1209610,430153860,1995
lake,2296047770,53294790,214788460,613922590,0,3178053610,1995
lawrence,253911740,33122080,8336430,48861130,709730,344941110,1995
licking,1020548390,114421000,52903050,224860580,1130210,1413863230,1995
logan,330674110,66986030,26497050,59678640,0,483835830,1995
lorain,2174952330,72398370,134256870,425705150,129110,2807441830,1995
lucas,3086957070,50329880,218430580,1118084420,0,4473801950,1995
madison,219847580,72426400,10804140,35919730,0,338997850,1995
mahoning,1577795330,80904530,78426340,423633860,7094730,2167854790,1995
marion,340906680,63928370,34168170,94169400,5090,533177710,1995
medina,1573221150,179315760,68783830,250802050,1796740,2073919530,1995
meigs,67198400,34347030,23963910,12563890,4350280,142423510,1995
mercer,239491670,108055950,16997170,48519650,1900,413066340,1995
miami,882843930,82871710,72912200,137725380,0,1176353220,1995
monroe,49284840,34880270,19224600,7165520,4882020,115437250,1995
montgomery,4199987090,67510590,308205020,1329710970,0,5905413670,1995
morgan,50725510,41261100,5296540,17853680,2604770,117741600,1995
morrow,138744690,58557220,4433530,15741210,1688220,219164870,1995
muskingum,411344720,67278460,23943000,117281170,9932340,629779690,1995
noble,33825940,33310100,2589310,6537360,4230580,80493290,1995
ottawa,482514960,57024890,67153550,91385720,0,698079120,1995
paulding,88739770,43383550,7095430,10806790,0,150025540,1995
perry,116897660,36006470,6681040,18484010,3566390,181635570,1995
pickaway,269423420,81189960,28300150,49190520,392140,428496190,1995
pike,84507700,31236580,1493610,16554720,14900,133807510,1995
portage,1067860800,98644880,72496690,201888660,7819740,1448710770,1995
preble,226540780,83966770,17262340,32431110,0,360201000,1995
putnam,179980160,92143520,10393950,22900170,0,305417800,1995
richland,720298050,63833130,75767420,219043960,69260,1079011820,1995
ross,342327040,68376060,41249260,75895310,47490,527895160,1995
sandusky,363458430,81385400,38299810,70442160,27090,553612890,1995
scioto,298581800,43751230,12004210,86938780,0,441276020,1995
seneca,270752780,93397820,28728970,58128210,10360,451018140,1995
shelby,295343880,82764630,50461470,58720720,430,487291130,1995
stark,2515599410,185292410,170220790,654470850,7803350,3533386810,1995
summit,4522937360,59734900,242424210,1299932940,5151670,6130181080,1995
trumbull,1303937400,123570460,118968340,311861510,7222690,1865560400,1995
tuscarawas,503796720,104529230,42943910,130602460,7085170,788957490,1995
union,243548660,92259370,60146560,49046880,0,445001470,1995
van wert,147465840,71102570,14809940,28368960,580,261747890,1995
vinton,32591540,25309580,4262580,4450100,1837550,68451350,1995
warren,1282146870,87472170,49628450,279340720,0,1698588210,1995
washington,295004740,90919250,40138010,85607090,3350270,515019360,1995
wayne,654427380,108898240,70586910,145906090,4619880,984438500,1995
williams,216794890,63233060,30663320,40079460,0,350770730,1995
wood,828650400,99372130,88526800,219745080,7950,1236302360,1995
wyandot,110711530,57780170,14236190,18782940,17590,201528420,1995
adams,81366330,41035980,57216130,14503040,0,194121480,1996
allen,649014700,71150410,66304320,168245420,0,954714850,1996
ashland,330475090,61745530,21720750,55073670,393090,469408130,1996
ashtabula,584978540,144153390,48696280,136070120,1562390,915460720,1996
athens,264414190,52409260,5795570,92504710,1257300,416381030,1996
auglaize,331118810,58838860,29202700,60223220,0,479383590,1996
belmont,310834930,51150620,24884580,100853260,4524080,492247470,1996
brown,185705040,63614010,6575500,27544800,0,283439350,1996
butler,2909854470,89450920,332161570,606515690,0,3937982650,1996
carroll,154464790,61651580,9120020,23311440,1441760,249989590,1996
champaign,233016800,73106370,14058480,34419980,0,354601630,1996
clark,973153490,67195480,61507330,217689120,0,1319545420,1996
clermont,1487992870,75722660,75045550,461553660,0,2100314740,1996
clinton,228611760,68945620,24255520,63833900,0,385646800,1996
columbiana,602642680,68407370,34031620,118929060,1897920,825908650,1996
coshocton,170058440,51524150,33811710,38814230,4963610,299172140,1996
crawford,220282390,61772900,22348970,46873390,0,351277650,1996
cuyahoga,13429899640,3241410,1105990480,4745210690,0,19284342220,1996
darke,350631440,114355700,24371390,56039160,0,545397690,1996
defiance,239799300,59312710,17818590,47917640,0,364848240,1996
delaware,1476135220,95993130,51649920,212676090,20870,1836475230,1996
erie,722942040,48748460,43055910,194604920,22560,1009373890,1996
fairfield,1114094040,110121640,33454180,192971350,332720,1450973930,1996
fayette,138354230,76090220,11744880,39654160,2960,265846450,1996
franklin,9387619540,83018650,897865700,3932498020,0,14301001910,1996
fulton,299967590,74422790,36547540,52450950,110,463388980,1996
gallia,126732290,43125200,3127730,75505800,431100,248922120,1996
geauga,1226471400,181369980,42974870,109867210,2152290,1562835750,1996
greene,1562635010,90088160,39147540,349012110,0,2040882820,1996
guernsey,160995910,34182820,9276270,41233570,3525400,249213970,1996
hamilton,8279948810,25396830,726737560,2948164020,0,11980247220,1996
hancock,547718850,99842590,71207390,132524320,0,851293150,1996
hardin,130338470,69935080,12537190,27616870,0,240427610,1996
harrison,67245480,34213740,8289720,14762390,2905710,127417040,1996
henry,184774290,71102390,14355090,22199390,0,292431160,1996
highland,165552560,66590380,8131060,34447110,0,274721110,1996
hocking,162082830,20407610,8921690,19327590,890770,211630490,1996
holmes,157722570,118033640,25127580,38755330,6291500,345930620,1996
huron,326759250,79868610,30791280,74310190,27020,511756350,1996
jackson,128873350,35315020,17244800,32560210,349020,214342400,1996
jefferson,348814740,36509840,57653790,75761650,1445790,520185810,1996
knox,352342250,94298480,20020380,57640220,1129300,525430630,1996
lake,2346744790,53286430,223697470,630985090,253530,3254967310,1996
lawrence,259249100,32922190,8096830,51414040,683430,352365590,1996
licking,1244016710,128009380,54272050,232333010,1083970,1659715120,1996
logan,339494240,67963920,25941080,64305280,0,497704520,1996
lorain,2241702500,72816770,148260460,434497140,136150,2897413020,1996
lucas,3139339160,50182250,218891300,1134314950,0,4542727660,1996
madison,250354630,71019580,11757710,40985680,0,374117600,1996
mahoning,1760823900,87883190,81699030,432742450,6726960,2369875530,1996
marion,344300330,63419050,35378100,92283950,4390,535385820,1996
medina,1642403640,187331580,69985000,263995520,1582330,2165298070,1996
meigs,68850460,34321540,23942530,12904890,4336710,144356130,1996
mercer,276435720,104886150,17392540,49830900,1900,448547210,1996
miami,905771050,83486510,74174050,139681740,0,1203113350,1996
monroe,50131020,35234160,19933200,7584500,4740890,117623770,1996
montgomery,4800771150,79107880,307502080,1396591640,0,6583972750,1996
morgan,51808970,41291530,5298350,17801760,2251550,118452160,1996
morrow,165747450,53723540,4460250,17583080,1261570,242775890,1996
muskingum,419708840,67204730,25980400,122375670,9549150,644818790,1996
noble,45012100,38971710,2622040,8516360,3870980,98993190,1996
ottawa,496509470,56984180,67111600,94136380,0,714741630,1996
paulding,91210360,43369890,7545800,11059580,0,153185630,1996
perry,133435340,38691610,7037150,20199850,4144630,203508580,1996
pickaway,324449940,78802350,27220880,56467210,1084720,488025100,1996
pike,92530080,32459390,1598190,20288230,14900,146890790,1996
portage,1101293640,98790030,78719570,208052940,7152220,1494008400,1996
preble,269465240,83633020,19145640,33202020,0,405445920,1996
putnam,207614930,86216650,10100450,23267960,0,327199990,1996
richland,808721080,63810140,81244190,225883010,82890,1179741310,1996
ross,352286680,68820350,40037780,80379210,3000,541527020,1996
sandusky,370629530,81535830,41199210,75163980,27090,568555640,1996
scioto,300973030,44298560,11964470,83628890,950,440865900,1996
seneca,313069830,86822150,27987660,59452240,5590,487337470,1996
shelby,337606030,80587480,54522390,56423580,430,529139910,1996
stark,2592050530,179579830,171560120,687250640,7596920,3638038040,1996
summit,5655928230,72736340,255810760,1407857320,3492310,7395824960,1996
trumbull,1489045500,133265310,119778600,331310390,6642010,2080041810,1996
tuscarawas,515467870,105864880,43862430,135168720,6447360,806811260,1996
union,258022820,93646470,54784380,51767110,0,458220780,1996
van wert,177406920,64835080,15352050,29181590,580,286776220,1996
vinton,34032190,25710360,4271700,4568540,1805580,70388370,1996
warren,1369571070,91597760,56043100,300429190,0,1817641120,1996
washington,298624220,89347810,40031360,88412740,3092220,519508350,1996
wayne,815118390,118979640,78850970,162008880,4878650,1179836530,1996
williams,223353210,63577990,29826190,41772830,0,358530220,1996
wood,952519390,86652020,90254590,225886050,7950,1355320000,1996
wyandot,112757090,58146440,14975600,19151630,31010,205061770,1996
adams,84921450,42132200,57233910,14817330,0,199104890,1997
allen,733563270,73447460,66935050,195158810,0,1069104590,1997
ashland,342945590,61431180,23450410,56511190,355380,484693750,1997
ashtabula,597293320,144871230,47174860,142113650,1251860,932704920,1997
athens,270027420,52048530,5464000,93054520,1208450,421802920,1997
auglaize,339120980,58944700,29623540,62128150,0,489817370,1997
belmont,352304020,57363220,26695200,113408710,4594280,554365430,1997
brown,225069650,72308140,6585040,28349510,6210,332318550,1997
butler,3017127400,90817420,332529790,624431570,0,4064906180,1997
carroll,159208110,62300190,9523150,23570480,1412790,256014720,1997
champaign,241825290,73538810,15331410,34806100,0,365501610,1997
clark,988063140,67728730,62921110,223417170,0,1342130150,1997
clermont,1551023780,73265580,76792390,469308700,0,2170390450,1997
clinton,240725190,69999920,27799370,65630790,0,404155270,1997
columbiana,616659000,69111260,34073790,122197120,1692780,843733950,1997
coshocton,206754030,64734770,37533770,43394330,4428950,356845850,1997
crawford,265510880,67149530,23023100,47637200,0,403320710,1997
cuyahoga,14682593760,4396150,1106530240,5038666770,0,20832186920,1997
darke,361486020,114680010,25639480,58100610,0,559906120,1997
defiance,248041710,59719410,17871900,48540160,0,374173180,1997
delaware,1605269550,91980710,56940470,221948820,13080,1976152630,1997
erie,851918660,51552000,44499360,201084470,19380,1149073870,1997
fairfield,1155546280,111285970,32075750,200021110,921010,1499850120,1997
fayette,168400770,79415260,12132870,39643170,2960,299595030,1997
franklin,9666899280,80805670,922346830,4060010590,0,14730062370,1997
fulton,312110000,74326840,39955270,54643170,110,481035390,1997
gallia,129598920,43542480,3308570,76627300,436120,253513390,1997
geauga,1272198890,184352790,44474130,112535460,1873290,1615434560,1997
greene,1593078840,91028010,40159480,353148230,0,2077414560,1997
guernsey,195006740,40872280,10359520,45876510,2996800,295111850,1997
hamilton,8368021290,27354860,728436430,2960298510,0,12084111090,1997
hancock,564428860,100325980,68604710,134388150,0,867747700,1997
hardin,133905870,72285660,13265570,28901580,0,248358680,1997
harrison,68176380,34094490,7361730,14290880,2853350,126776830,1997
henry,190514150,70920170,14671580,22807000,0,298912900,1997
highland,209174660,74395290,7071700,37947800,0,328589450,1997
hocking,167039060,20619360,8921690,20012740,2524380,219117230,1997
holmes,164508710,120030930,25232770,40126540,6155650,356054600,1997
huron,393417070,81171720,31715780,80889670,26650,587220890,1997
jackson,132302120,35245940,17214850,32551710,350300,217664920,1997
jefferson,386866590,39443030,56761930,78885250,1398290,563355090,1997
knox,363096170,94761360,17416620,57595110,948720,533817980,1997
lake,2802755760,59386250,232959910,654691150,204510,3749997580,1997
lawrence,266728070,33647350,8433200,52563900,645580,362018100,1997
licking,1304995100,128572730,58731450,239106190,1515830,1732921300,1997
logan,347694990,68149200,26942140,66011450,0,508797780,1997
lorain,2701623520,82272980,163683600,486487710,111130,3434178940,1997
lucas,3554804800,54882500,226338680,1170173700,0,5006199680,1997
madison,255215760,71495380,15559220,41808850,0,384079210,1997
mahoning,1799400250,88227270,82677710,462822700,6376690,2439504620,1997
marion,354049440,61742560,35000620,91491590,4730,542288940,1997
medina,1735669880,185188030,72234340,278061240,1354320,2272507810,1997
meigs,70588950,34577960,23912160,12946300,4368280,146393650,1997
mercer,285553880,106596630,18011190,49906740,1900,460070340,1997
miami,933364190,83962040,77640650,146073950,0,1241040830,1997
monroe,51802410,36380510,20533650,7671880,3576440,119964890,1997
montgomery,4849771830,79709170,299575040,1404829190,0,6633885230,1997
morgan,55839530,42757650,5298350,18608800,2167430,124671760,1997
morrow,173523500,53741790,6166660,17935000,1146200,252513150,1997
muskingum,508162250,72896860,26817420,140324460,9043930,757244920,1997
noble,46342800,39447230,2622150,8576570,3526940,100515690,1997
ottawa,617007900,53389650,62918890,129548080,0,862864520,1997
paulding,94395260,43377400,7542340,11198320,0,156513320,1997
perry,137414140,38904340,7034940,20375700,4417170,208146290,1997
pickaway,338780640,79619240,27413670,59137270,713570,505664390,1997
pike,94501240,32956740,1635570,20293250,14900,149401700,1997
portage,1299040790,109403530,84019790,234021120,7389100,1733874330,1997
preble,277545910,85421840,20663550,33671250,0,417302550,1997
putnam,213508190,87422260,10872220,24120600,0,335923270,1997
richland,828774870,64688860,78822020,229153310,79650,1201518710,1997
ross,364216020,69351700,39875870,84754650,32110,558230350,1997
sandusky,451317010,88351620,38617700,94691890,26600,673004820,1997
scioto,303357870,44571720,10706790,84557210,29250,443222840,1997
seneca,318034660,87707550,28844350,61639730,5030,496231320,1997
shelby,347626120,81345700,54537090,59840020,430,543349360,1997
stark,3153562820,149293820,170992400,792029870,8369270,4274248180,1997
summit,5790344810,73985920,269636740,1478703240,3802860,7616473570,1997
trumbull,1516368310,134462370,117034880,344742850,6750940,2119359350,1997
tuscarawas,532641190,109855340,45437730,139520740,6100740,833555740,1997
union,270373290,93791060,60762060,54270570,0,479196980,1997
van wert,181178640,65027940,15360590,29930890,580,291498640,1997
vinton,41566610,31294400,3807220,4882270,2470740,84021240,1997
warren,1639703300,105867350,61575500,352293060,0,2159439210,1997
washington,310552360,89806940,38701540,88255510,2834720,530151070,1997
wayne,842747310,119588420,77936730,156393150,5092840,1201758450,1997
williams,267033830,66326830,29247000,42277130,0,404884790,1997
wood,988086150,85322290,91398550,234449690,7950,1399264630,1997
wyandot,115185940,58552880,14329720,20110610,31010,208210160,1997
adams,110873390,53261190,52508680,20612450,0,237255710,1998
allen,747008460,73290910,67627520,199593270,0,1087520160,1998
ashland,354703450,61574900,21865130,57402100,295350,495840930,1998
ashtabula,611542520,146748850,47885250,146411790,1153330,953741740,1998
athens,275275060,52041650,5739450,96843060,1025600,430924820,1998
auglaize,349590190,58762740,32472190,65162700,0,505987820,1998
belmont,359004080,57711170,26240580,119892400,4611160,567459390,1998
brown,233296870,72504930,6628430,29567380,0,341997610,1998
butler,3103654940,96575520,344945290,652990870,0,4198166620,1998
carroll,192935970,78821060,9643110,24283790,1564220,307248150,1998
champaign,298353590,91429730,15930130,41185030,0,446898480,1998
clark,1147596560,84187800,64676070,243003730,0,1539464160,1998
clermont,1623539420,72054020,79263150,479499210,0,2254355800,1998
clinton,250459910,71221130,29058920,67002080,0,417742040,1998
columbiana,742420990,111224960,37850140,163046870,1554560,1056097520,1998
coshocton,210370130,64548670,35179360,45044560,3702990,358845710,1998
crawford,270108040,67168700,22399410,49768770,0,409444920,1998
cuyahoga,14839570010,5428860,1130037350,5192147730,0,21167183950,1998
darke,370933470,116050320,24877970,60357140,0,572218900,1998
defiance,257951350,60358110,18290290,49408730,0,386008480,1998
delaware,1761665570,90504490,61989040,260222990,13080,2174395170,1998
erie,874155120,52897660,44915590,203848700,19380,1175836450,1998
fairfield,1300821170,130836130,33025180,233113680,1192420,1698988580,1998
fayette,172944260,79895440,12348690,40780970,2960,305972320,1998
franklin,9964871450,75140900,970916480,4343598330,0,15354527160,1998
fulton,322435880,74946590,39410420,54966280,110,491759280,1998
gallia,135619170,45539990,4113270,77981470,434200,263688100,1998
geauga,1317352390,188324470,46137230,118409180,1741600,1671964870,1998
greene,1633665840,91419770,39209350,357990260,0,2122285220,1998
guernsey,196777690,38308720,10036510,48300360,2594140,296017420,1998
hamilton,8437289640,27129370,734211170,2998087980,0,12196718160,1998
hancock,665854850,124618350,67716350,156616340,0,1014805890,1998
hardin,139454650,74091930,13570530,30042280,0,257159390,1998
harrison,69598600,34273520,7518880,14522720,2759940,128673660,1998
henry,197566170,70702310,16465090,23302150,0,308035720,1998
highland,219780840,75454090,7100530,40230700,0,342566160,1998
hocking,204118470,26167740,9328930,23924760,1183350,264723250,1998
holmes,216270380,142409520,26894080,42793400,5732810,434100190,1998
huron,404325280,81796910,33480490,80780530,27060,600410270,1998
jackson,135465290,35436430,17307770,32919460,359540,221488490,1998
jefferson,391348220,39855270,56742620,80108070,1379480,569433660,1998
knox,376034660,96308130,18843310,58835020,794390,550815510,1998
lake,2855284810,59349750,247898500,675365790,159030,3838057880,1998
lawrence,358660110,45196880,9282250,66697050,582110,480418400,1998
licking,1384740090,130302200,59562790,258833310,1918130,1835356520,1998
logan,394020040,82261760,28223680,67446180,0,571951660,1998
lorain,2790117440,83127250,163476910,516928110,100030,3553749740,1998
lucas,3619647860,54318850,224776050,1192731260,0,5091474020,1998
madison,266079200,72015860,16601020,52592730,0,407288810,1998
mahoning,1839861420,88618670,84928830,486604380,6173860,2506187160,1998
marion,450691310,76485160,35727710,95213970,2590,658120740,1998
medina,1889450110,191343900,75598710,288489180,1295120,2446177020,1998
meigs,83117740,42100830,25207020,15671580,3015180,169112350,1998
mercer,296739560,109095150,18989710,52222130,1900,477048450,1998
miami,1062645260,98242120,77845040,157556010,0,1396288430,1998
monroe,62121110,42385210,21010410,8570640,3502460,137589830,1998
montgomery,4918882990,78122980,300851230,1471957510,0,6769814710,1998
morgan,57157110,42989650,5298350,18791400,1866870,126103380,1998
morrow,182471350,53753830,4780870,17518600,959310,259483960,1998
muskingum,520919850,73051370,27230390,140619870,7815090,769636570,1998
noble,46359260,39418730,2622150,8917840,3405410,100723390,1998
ottawa,630291470,53077400,62031280,131265700,0,876665850,1998
paulding,123038360,58141060,8957500,13903040,0,204039960,1998
perry,143725550,40779280,6751330,21244000,3980610,216480770,1998
pickaway,350792230,80815470,29272510,60997970,565280,522443460,1998
pike,97556850,33545690,1703690,23818470,14910,156639610,1998
portage,1347590320,108650100,84307390,247709080,7899850,1796156740,1998
preble,285653300,86597050,21211310,34895700,0,428357360,1998
putnam,221431330,88362470,11688800,26084190,0,347566790,1998
richland,845591270,65269120,79957360,233672660,62110,1224552520,1998
ross,431218060,84515060,40456890,90371780,12480,646574270,1998
sandusky,458907350,88753500,39149600,97502200,26600,684339250,1998
scioto,362647800,53639250,9767650,97469990,26070,523550760,1998
seneca,324676650,88591120,30300230,64848430,3510,508419940,1998
shelby,359988290,81798080,54605140,62084430,430,558476370,1998
stark,3228470530,147278880,190563500,820268220,8086850,4394667980,1998
summit,5930044840,74487860,271540790,1524052620,3846720,7803972830,1998
trumbull,1545133230,134499570,116341030,356309250,6777230,2159060310,1998
tuscarawas,695415660,123957330,59419080,175086590,5892440,1059771100,1998
union,337689460,112901860,66799330,56972050,0,574362700,1998
van wert,185444770,64996520,15192690,31384770,0,297018750,1998
