year,id,soil_series,texture,slope,erosion,drainage,indx,Projection Expected,Projection Low,Projection High
2021,TITUSVILLESIL2-5SMW,TITUSVILLE,SIL,2-5,S,MW,indx_69,690,350,910
2021,TITUSVILLESIL2-6SMW,TITUSVILLE,SIL,2-6,S,MW,indx_69,690,350,910
2021,TITUSVILLESIL5-10MMW,TITUSVILLE,SIL,5-10,M,MW,indx_69,350,350,510
2021,TITUSVILLESIL5-10SMW,TITUSVILLE,SIL,5-10,S,MW,indx_69,480,350,700
2021,TITUSVILLESIL6-12MMW,TITUSVILLE,SIL,6-12,M,MW,indx_69,350,350,510
2021,TITUSVILLESIL6-12SMW,TITUSVILLE,SIL,6-12,S,MW,indx_69,480,350,700
2021,TITUSVILLESIL6-15SMW,TITUSVILLE,SIL,6-15,S,MW,indx_69,470,350,690
2021,"TOLEDO,PO-PHSIC0-1SVP","TOLEDO,PO-PH",SIC,0-1,S,VP,indx_59,350,350,510
2021,"TOLEDO,PO-PHSIC0-2SVP","TOLEDO,PO-PH",SIC,0-2,S,VP,indx_59,350,350,510
2021,"TOLEDO,PO-PHSICL0-2SVP","TOLEDO,PO-PH",SICL,0-2,S,VP,indx_59,350,350,510
2021,"TOLEDO,V,CALCAREOUSSIC0-2SVP","TOLEDO,V,CALCAREOUS",SIC,0-2,S,VP,indx_79,1080,660,1330
2021,TOLEDOSIC0-1SVP,TOLEDO,SIC,0-1,S,VP,indx_79,1470,1020,1730
2021,TOLEDOSIC0-2SVP,TOLEDO,SIC,0-2,S,VP,indx_79,1470,1020,1730
2021,TOLEDOSICL0-1SVP,TOLEDO,SICL,0-1,S,VP,indx_79,1730,1260,2000
2021,TOLEDOSICL0-2SVP,TOLEDO,SICL,0-2,S,VP,indx_79,1730,1260,2000
2021,TOWERVILLESIL12-18SMW,TOWERVILLE,SIL,12-18,S,MW,indx_49,350,350,350
2021,TOWERVILLESIL6-12SMW,TOWERVILLE,SIL,6-12,S,MW,indx_59,350,350,350
2021,TRAPPIST-MUSESIL12-18MW,TRAPPIST-MUSE,SIL,12-18,M,W,indx_49,350,350,350
2021,TRAPPIST-MUSESIL2-6SW,TRAPPIST-MUSE,SIL,2-6,S,W,indx_59,550,350,770
2021,TRAPPIST-MUSESIL6-12MW,TRAPPIST-MUSE,SIL,6-12,M,W,indx_59,350,350,350
2021,TRAPPISTSIL15-25MW,TRAPPIST,SIL,15-25,M,W,indx_49,350,350,350
2021,TRAPPISTSIL15-25SW,TRAPPIST,SIL,15-25,S,W,indx_49,350,350,350
2021,TRAPPISTSIL18-25SW,TRAPPIST,SIL,18-25,S,W,indx_49,350,350,350
2021,TRAPPISTSIL3-8SW,TRAPPIST,SIL,3-8,S,W,indx_59,550,350,770
2021,TRAPPISTSIL8-15SW,TRAPPIST,SIL,8-15,S,W,indx_59,350,350,350
2021,"TREATY,OV-PHSIL0-1SVP","TREATY,OV-PH",SIL,0-1,S,VP,indx_89,2110,1620,2400
2021,TREATYSICL0-1SVP,TREATY,SICL,0-1,S,VP,indx_89,2290,1780,2590
2021,TREATYSICL0-2SVP,TREATY,SICL,0-2,S,VP,indx_89,2290,1780,2590
2021,"TREMONT,OF-PHSIL0-2SMW","TREMONT,OF-PH",SIL,0-2,S,MW,indx_89,2530,2000,2840
2021,"TREMONT,RF-PHSICL0-2SMW","TREMONT,RF-PH",SICL,0-2,S,MW,indx_89,2530,2000,2840
2021,TRUMBULLSICL0-2SP,TRUMBULL,SICL,0-2,S,P,indx_59,350,350,350
2021,TRUMBULLSIL0-2SP,TRUMBULL,SIL,0-2,S,P,indx_59,350,350,460
2021,TRUMBULLSIL2-6SP,TRUMBULL,SIL,2-6,S,P,indx_59,350,350,460
2021,TUSCARAWASCN-SIL6-18SMW,TUSCARAWAS,CN-SIL,6-18,S,MW,indx_49,350,350,350
2021,"TUSCOLA-BENNINGTON,C2-6SMW","TUSCOLA-BENNINGTON,C",,2-6,S,MW,indx_79,530,350,750
2021,"TUSCOLA-SHINROCK,C2-6SMW","TUSCOLA-SHINROCK,C",,2-6,S,MW,indx_79,1200,780,1450
2021,"TUSCOLA,VFSL1-6SMW","TUSCOLA,V",FSL,1-6,S,MW,indx_79,1420,980,1680
2021,"TUSCOLA,VFSL6-12SMW","TUSCOLA,V",FSL,6-12,S,MW,indx_69,890,480,1120
2021,TUSCOLAFSL0-2SMW,TUSCOLA,FSL,0-2,S,MW,indx_89,1330,890,1590
2021,TUSCOLAFSL2-6SMW,TUSCOLA,FSL,2-6,S,MW,indx_79,1130,700,1370
2021,TUSCOLAFSL3-8SMW,TUSCOLA,FSL,3-8,S,MW,indx_79,1040,630,1290
2021,TUSCOLAL2-6MMW,TUSCOLA,L,2-6,M,MW,indx_79,1060,640,1300
2021,TUSCOLAL2-6SMW,TUSCOLA,L,2-6,S,MW,indx_89,1330,890,1590
2021,TUSCOLAL6-12MMW,TUSCOLA,L,6-12,M,MW,indx_79,790,390,1020
2021,TUSCOLALFS0-2SMW,TUSCOLA,LFS,0-2,S,MW,indx_79,1170,740,1420
2021,TUSCOLALFS2-6SMW,TUSCOLA,LFS,2-6,S,MW,indx_79,1060,640,1300
2021,TUSCOLASIL0-2SMW,TUSCOLA,SIL,0-2,S,MW,indx_89,2060,1570,2350
2021,TUSCOLASIL2-6SMW,TUSCOLA,SIL,2-6,S,MW,indx_79,1560,1100,1830
2021,TUSCOLAVFSL2-6SMW,TUSCOLA,VFSL,2-6,S,MW,indx_89,1330,890,1590
2021,TYGARTSIL0-3SSWP,TYGART,SIL,0-3,S,SWP,indx_69,430,350,640
2021,TYLERSIL0-2SSWP,TYLER,SIL,0-2,S,SWP,indx_59,780,380,1010
2021,TYLERSIL2-5SSWP,TYLER,SIL,2-5,S,SWP,indx_59,620,350,850
2021,"TYNER-OTISVILLE,C2-6SW","TYNER-OTISVILLE,C",,2-6,S,W,indx_49,350,350,350
2021,"TYNER,VSL0-2SW","TYNER,V",SL,0-2,S,W,indx_49,350,350,350
2021,TYNERLS1-6SW,TYNER,LS,1-6,S,W,indx_49,350,350,350
2021,TYNERLS6-12SW,TYNER,LS,6-12,S,W,indx_49,350,350,350
2021,"UDIPSAMMENTS-SPINKS,C0-6SW","UDIPSAMMENTS-SPINKS,C",,0-6,S,W,indx_49,350,350,350
