year,cauv_projected_exp,soil_series,texture,slope,erosion,drainage,indx,id
2020,350,"BERKS-GUERNSEY,C.",,8-15,S,W,indx_59,"BERKS-GUERNSEY,C.8-15SW"
2020,350,BERKS-MUSKINGUM-NEOTOMA,CN-SIL,6-18,S,W,indx_49,BERKS-MUSKINGUM-NEOTOMACN-SIL6-18SW
2020,350,BERKS,SH-SIL,15-25,S,W,indx_49,BERKSSH-SIL15-25SW
2020,350,BERKS,SH-SIL,3-8,S,W,indx_59,BERKSSH-SIL3-8SW
2020,350,BERKS,SH-SIL,8-15,S,W,indx_59,BERKSSH-SIL8-15SW
2020,350,BERKS,SIL,12-18,S,W,indx_49,BERKSSIL12-18SW
2020,350,BERKS,SIL,15-25,S,W,indx_49,BERKSSIL15-25SW
2020,350,BERKS,SIL,18-25,S,W,indx_49,BERKSSIL18-25SW
2020,350,BERKS,SIL,3-8,S,W,indx_59,BERKSSIL3-8SW
2020,350,BERKS,STV-SIL,15-25,M,W,indx_49,BERKSSTV-SIL15-25MW
2020,350,"BERKS-TARHOLLOW,C",,6-15,S,W,indx_59,"BERKS-TARHOLLOW,C6-15SW"
2020,350,BERKS-WESTMORELAND,SIL,15-25,S,W,indx_49,BERKS-WESTMORELANDSIL15-25SW
2020,350,BETHESDA,CL,0-8,S,W,indx_49,BETHESDACL0-8SW
2020,350,BETHESDA,CL,8-25,S,W,indx_49,BETHESDACL8-25SW
2020,350,BETHESDA,CN-CL,0-8,S,W,indx_49,BETHESDACN-CL0-8SW
2020,350,BETHESDA,CN-CL,15-25,S,W,indx_49,BETHESDACN-CL15-25SW
2020,350,BETHESDA,CN-CL,8-15,S,W,indx_49,BETHESDACN-CL8-15SW
2020,350,BETHESDA,CN-CL,8-20,S,W,indx_49,BETHESDACN-CL8-20SW
2020,350,BETHESDA,CN-CL,8-25,S,W,indx_49,BETHESDACN-CL8-25SW
2020,350,BETHESDA,CN-L,0-8,S,W,indx_49,BETHESDACN-L0-8SW
2020,350,BETHESDA,CN-L,8-20,S,W,indx_49,BETHESDACN-L8-20SW
2020,350,BETHESDA,CN-L,8-25,S,W,indx_49,BETHESDACN-L8-25SW
2020,350,BETHESDA,CN-SICL,0-8,S,W,indx_49,BETHESDACN-SICL0-8SW
2020,350,BETHESDA,CN-SICL,8-25,S,W,indx_49,BETHESDACN-SICL8-25SW
2020,350,BETHESDA,CNV-CL,0-8,S,W,indx_49,BETHESDACNV-CL0-8SW
2020,350,BETHESDA,CNV-CL,3-15,S,W,indx_49,BETHESDACNV-CL3-15SW
2020,350,BETHESDA,CNV-CL,8-20,S,W,indx_49,BETHESDACNV-CL8-20SW
2020,350,BETHESDA,L,0-8,S,W,indx_49,BETHESDAL0-8SW
2020,350,BETHESDA,L,8-25,S,W,indx_49,BETHESDAL8-25SW
2020,350,BETHESDA,SH-CL,0-8,S,W,indx_49,BETHESDASH-CL0-8SW
2020,350,BETHESDA,SH-CL,8-25,S,W,indx_49,BETHESDASH-CL8-25SW
2020,350,BETHESDA,SH-SICL,0-8,S,W,indx_49,BETHESDASH-SICL0-8SW
2020,350,BETHESDA,SH-SICL,8-25,S,W,indx_49,BETHESDASH-SICL8-25SW
2020,350,BETHESDA,SH-SIL,1-15,S,W,indx_49,BETHESDASH-SIL1-15SW
2020,350,BETHESDA,SH-SIL,15-25,S,W,indx_49,BETHESDASH-SIL15-25SW
