year,cauv_projected_low,soil_series,texture,slope,erosion,drainage,indx,id,val_2018,unadjusted
2019,925,BIXLER,LFS,0-3,S,SWP,indx_69,BIXLERLFS0-3SSWP,1320,530
2019,690,BIXLER,LFS,2-6,S,SWP,indx_69,BIXLERLFS2-6SSWP,1030,350
2019,350,"BLAIRTON-RARDEN-GILPIN,AS",,5-20,S,MW,indx_59,"BLAIRTON-RARDEN-GILPIN,AS5-20SMW",350,350
2019,1070,BLAKESLEE,SIL,0-2,S,MW,indx_79,BLAKESLEESIL0-2SMW,1490,650
2019,900,BLAKESLEE,SIL,2-6,S,MW,indx_69,BLAKESLEESIL2-6SMW,1310,490
2019,640,BLAKESLEE,SIL,6-12,S,MW,indx_69,BLAKESLEESIL6-12SMW,930,350
2019,1405,BLANCHESTER,SICL,0-1,S,VP,indx_79,BLANCHESTERSICL0-1SVP,1850,960
2019,1405,BLANCHESTER,SIL,0-1,S,VP,indx_79,BLANCHESTERSIL0-1SVP,1850,960
2019,1540,BLANCHESTER,SIL,0-2,S,VP,indx_79,BLANCHESTERSIL0-2SVP,2010,1070
2019,1010,BLOUNT-DEL REY,SIL,1-6,S,SWP,indx_69,BLOUNT-DEL REYSIL1-6SSWP,1420,600
2019,1605,"BLOUNT-HOUCKTOWN,C",,0-3,S,SWP,indx_79,"BLOUNT-HOUCKTOWN,C0-3SSWP",2050,1160
2019,1465,"BLOUNT-JENERA,C",,0-3,S,SWP,indx_79,"BLOUNT-JENERA,C0-3SSWP",1920,1010
2019,1545,BLOUNT,L,0-2,S,SWP,indx_79,BLOUNTL0-2SSWP,2020,1070
2019,1545,BLOUNT,L,0-3,S,SWP,indx_79,BLOUNTL0-3SSWP,2020,1070
2019,1045,BLOUNT,L,2-6,M,SWP,indx_79,BLOUNTL2-6MSWP,1460,630
2019,1290,BLOUNT,L,2-6,S,SWP,indx_79,BLOUNTL2-6SSWP,1710,870
2019,1545,"BLOUNT,LM-SUBST",SIL,0-3,S,SWP,indx_79,"BLOUNT,LM-SUBSTSIL0-3SSWP",2020,1070
2019,1545,"BLOUNT,L-SUBST",L,0-2,S,SWP,indx_79,"BLOUNT,L-SUBSTL0-2SSWP",2020,1070
2019,1290,"BLOUNT,L-SUBST",L,2-6,S,SWP,indx_79,"BLOUNT,L-SUBSTL2-6SSWP",1710,870
2019,600,"BLOUNT-RIMER,C.",,2-6,S,SWP,indx_69,"BLOUNT-RIMER,C.2-6SSWP",850,350
2019,1545,BLOUNT,SIL,0-2,S,SWP,indx_79,BLOUNTSIL0-2SSWP,2020,1070
