year,cauv_projected_high,soil_series,texture,slope,erosion,drainage,indx,id,val_2018,unadjusted
2019,350,"BERKS-AARON,C",,6-15,S,W,indx_59,"BERKS-AARON,C6-15SW",350,350
2019,350,BERKS,CH-SIL,2-8,S,W,indx_59,BERKSCH-SIL2-8SW,350,350
2019,350,BERKS,CN-SIL,0-6,S,W,indx_59,BERKSCN-SIL0-6SW,350,350
2019,350,BERKS,CN-SIL,12-18,S,W,indx_49,BERKSCN-SIL12-18SW,350,350
2019,350,BERKS,CN-SIL,12-20,S,W,indx_49,BERKSCN-SIL12-20SW,350,350
2019,350,BERKS,CN-SIL,15-25,M,W,indx_49,BERKSCN-SIL15-25MW,350,350
2019,350,BERKS,CN-SIL,15-25,S,W,indx_49,BERKSCN-SIL15-25SW,350,350
2019,350,BERKS,CN-SIL,2-6,S,W,indx_59,BERKSCN-SIL2-6SW,350,350
2019,350,BERKS,CN-SIL,2-8,S,W,indx_59,BERKSCN-SIL2-8SW,350,350
2019,350,BERKS,CN-SIL,6-12,S,W,indx_59,BERKSCN-SIL6-12SW,350,350
2019,350,BERKS,CN-SIL,6-15,S,W,indx_59,BERKSCN-SIL6-15SW,350,350
2019,350,BERKS,CN-SIL,6-18,S,W,indx_59,BERKSCN-SIL6-18SW,350,350
2019,350,BERKS,CN-SIL,8-15,S,W,indx_59,BERKSCN-SIL8-15SW,350,350
2019,350,"BERKS-GUERNSEY,C.",,15-25,S,W,indx_49,"BERKS-GUERNSEY,C.15-25SW",350,350
2019,350,"BERKS-GUERNSEY,C.",,8-15,S,W,indx_59,"BERKS-GUERNSEY,C.8-15SW",350,350
2019,350,BERKS-MUSKINGUM-NEOTOMA,CN-SIL,6-18,S,W,indx_49,BERKS-MUSKINGUM-NEOTOMACN-SIL6-18SW,350,350
2019,350,BERKS,SH-SIL,15-25,S,W,indx_49,BERKSSH-SIL15-25SW,350,350
2019,350,BERKS,SH-SIL,3-8,S,W,indx_59,BERKSSH-SIL3-8SW,350,350
2019,350,BERKS,SH-SIL,8-15,S,W,indx_59,BERKSSH-SIL8-15SW,350,350
2019,350,BERKS,SIL,12-18,S,W,indx_49,BERKSSIL12-18SW,350,350
2019,350,BERKS,SIL,15-25,S,W,indx_49,BERKSSIL15-25SW,350,350
2019,350,BERKS,SIL,18-25,S,W,indx_49,BERKSSIL18-25SW,350,350
2019,350,BERKS,SIL,3-8,S,W,indx_59,BERKSSIL3-8SW,350,350
2019,350,BERKS,STV-SIL,15-25,M,W,indx_49,BERKSSTV-SIL15-25MW,350,350
2019,860,"BERKS-TARHOLLOW,C",,6-15,S,W,indx_59,"BERKS-TARHOLLOW,C6-15SW",450,860
2019,350,BERKS-WESTMORELAND,SIL,15-25,S,W,indx_49,BERKS-WESTMORELANDSIL15-25SW,350,350
2019,350,BETHESDA,CL,0-8,S,W,indx_49,BETHESDACL0-8SW,350,350
2019,350,BETHESDA,CL,8-25,S,W,indx_49,BETHESDACL8-25SW,350,350
2019,350,BETHESDA,CN-CL,0-8,S,W,indx_49,BETHESDACN-CL0-8SW,350,350
2019,350,BETHESDA,CN-CL,15-25,S,W,indx_49,BETHESDACN-CL15-25SW,350,350
2019,350,BETHESDA,CN-CL,8-15,S,W,indx_49,BETHESDACN-CL8-15SW,350,350
2019,350,BETHESDA,CN-CL,8-20,S,W,indx_49,BETHESDACN-CL8-20SW,350,350
2019,350,BETHESDA,CN-CL,8-25,S,W,indx_49,BETHESDACN-CL8-25SW,350,350
2019,350,BETHESDA,CN-L,0-8,S,W,indx_49,BETHESDACN-L0-8SW,350,350
2019,350,BETHESDA,CN-L,8-20,S,W,indx_49,BETHESDACN-L8-20SW,350,350
2019,350,BETHESDA,CN-L,8-25,S,W,indx_49,BETHESDACN-L8-25SW,350,350
2019,350,BETHESDA,CN-SICL,0-8,S,W,indx_49,BETHESDACN-SICL0-8SW,350,350
2019,350,BETHESDA,CN-SICL,8-25,S,W,indx_49,BETHESDACN-SICL8-25SW,350,350
2019,350,BETHESDA,CNV-CL,0-8,S,W,indx_49,BETHESDACNV-CL0-8SW,350,350
2019,350,BETHESDA,CNV-CL,3-15,S,W,indx_49,BETHESDACNV-CL3-15SW,350,350
2019,350,BETHESDA,CNV-CL,8-20,S,W,indx_49,BETHESDACNV-CL8-20SW,350,350
2019,350,BETHESDA,L,0-8,S,W,indx_49,BETHESDAL0-8SW,350,350
2019,350,BETHESDA,L,8-25,S,W,indx_49,BETHESDAL8-25SW,350,350
2019,350,BETHESDA,SH-CL,0-8,S,W,indx_49,BETHESDASH-CL0-8SW,350,350
2019,350,BETHESDA,SH-CL,8-25,S,W,indx_49,BETHESDASH-CL8-25SW,350,350
2019,350,BETHESDA,SH-SICL,0-8,S,W,indx_49,BETHESDASH-SICL0-8SW,350,350
2019,350,BETHESDA,SH-SICL,8-25,S,W,indx_49,BETHESDASH-SICL8-25SW,350,350
2019,350,BETHESDA,SH-SIL,1-15,S,W,indx_49,BETHESDASH-SIL1-15SW,350,350
2019,350,BETHESDA,SH-SIL,15-25,S,W,indx_49,BETHESDASH-SIL15-25SW,350,350
2019,350,BETHESDA,SHV-CL,3-15,S,W,indx_49,BETHESDASHV-CL3-15SW,350,350
2019,350,BETHESDA,SHV-CL,8-25,S,W,indx_49,BETHESDASHV-CL8-25SW,350,350
2019,350,BETHESDA,SHV-SIC,0-8,S,W,indx_49,BETHESDASHV-SIC0-8SW,350,350
2019,350,BETHESDA,SICL,0-8,S,W,indx_49,BETHESDASICL0-8SW,350,350
2019,350,BETHESDA,SICL,15-25,S,W,indx_49,BETHESDASICL15-25SW,350,350
2019,350,BETHESDA,SICL,2-12,S,W,indx_49,BETHESDASICL2-12SW,350,350
2019,350,BETHESDA,SICL,8-20,S,W,indx_49,BETHESDASICL8-20SW,350,350
2019,350,BETHESDA,SIL,0-8,S,W,indx_49,BETHESDASIL0-8SW,350,350
2019,350,BETHESDA,SIL,8-20,S,W,indx_49,BETHESDASIL8-20SW,350,350
2019,350,BETHESDA,SIL,8-25,S,W,indx_49,BETHESDASIL8-25SW,350,350
2019,350,"BIGLICK-MILTON,C",,0-2,S,W,indx_59,"BIGLICK-MILTON,C0-2SW",350,350
2019,350,"BIGLICK-MILTON,C",,2-6,S,W,indx_59,"BIGLICK-MILTON,C2-6SW",350,350
2019,2810,BIRKBECK,SIL,0-2,S,MW,indx_89,BIRKBECKSIL0-2SMW,2340,2810
2019,2690,BIRKBECK,SIL,1-4,S,MW,indx_89,BIRKBECKSIL1-4SMW,2240,2690
2019,2170,BIRKBECK,SIL,2-6,M,MW,indx_79,BIRKBECKSIL2-6MMW,1770,2170
2019,2490,BIRKBECK,SIL,2-6,S,MW,indx_79,BIRKBECKSIL2-6SMW,2080,2490
2019,1470,"BIXLER,C-SUBST",LS,0-2,S,SWP,indx_69,"BIXLER,C-SUBSTLS0-2SSWP",1080,1470
2019,1740,BIXLER,LFS,0-2,S,SWP,indx_69,BIXLERLFS0-2SSWP,1320,1740
2019,1740,BIXLER,LFS,0-3,S,SWP,indx_69,BIXLERLFS0-3SSWP,1320,1740
2019,1450,BIXLER,LFS,2-6,S,SWP,indx_69,BIXLERLFS2-6SSWP,1030,1450
2019,370,"BLAIRTON-RARDEN-GILPIN,AS",,5-20,S,MW,indx_59,"BLAIRTON-RARDEN-GILPIN,AS5-20SMW",350,370
2019,1910,BLAKESLEE,SIL,0-2,S,MW,indx_79,BLAKESLEESIL0-2SMW,1490,1910
2019,1700,BLAKESLEE,SIL,2-6,S,MW,indx_69,BLAKESLEESIL2-6SMW,1310,1700
2019,1350,BLAKESLEE,SIL,6-12,S,MW,indx_69,BLAKESLEESIL6-12SMW,930,1350
2019,2290,BLANCHESTER,SICL,0-1,S,VP,indx_79,BLANCHESTERSICL0-1SVP,1850,2290
