id,soil_series,texture,slope,erosion,drainage,indx,CAUV 2018,Projected Expected 2019,Projected Low 2019,Projected High 2019
MERMILLL0-1SVP,MERMILL,L,0-1,S,VP,indx_99,3090,2745,2495,3440
MERMILLL0-2SVP,MERMILL,L,0-2,S,VP,indx_99,3090,2745,2495,3440
MERMILLSCL0-1SVP,MERMILL,SCL,0-1,S,VP,indx_89,2920,2600,2350,3290
MERMILLSCL0-2SVP,MERMILL,SCL,0-2,S,VP,indx_89,2920,2600,2350,3290
MERMILLSICL0-1SVP,MERMILL,SICL,0-1,S,VP,indx_89,2920,2600,2350,3290
MERMILLSICL0-2SVP,MERMILL,SICL,0-2,S,VP,indx_89,2920,2600,2350,3290
MERMILLSIL0-2SVP,MERMILL,SIL,0-2,S,VP,indx_99,3090,2745,2495,3440
"MERMILL,STRAT-SUBSTL0-2SVP","MERMILL,STRAT-SUBST",L,0-2,S,VP,indx_99,3050,2730,2485,3420
"MERMILL,VSL0-2SVP","MERMILL,V",SL,0-2,S,VP,indx_59,540,445,445,850
METAMORASL0-3SSWP,METAMORA,SL,0-3,S,SWP,indx_79,2290,2050,1820,2700
METEALFS0-2SW,METEA,LFS,0-2,S,W,indx_69,880,710,615,1250
METEALFS2-6SW,METEA,LFS,2-6,S,W,indx_69,640,495,495,950
METEALFS6-12SW,METEA,LFS,6-12,S,W,indx_59,380,365,365,630
"MIAMIAN,BR-SUBSTSIL12-20MW","MIAMIAN,BR-SUBST",SIL,12-20,M,W,indx_69,710,555,530,1080
"MIAMIAN,BR-SUBSTSIL6-12MW","MIAMIAN,BR-SUBST",SIL,6-12,M,W,indx_79,1210,1015,805,1570
MIAMIANBY-SIL2-6SW,MIAMIAN,BY-SIL,2-6,S,W,indx_69,810,650,580,1180
"MIAMIAN-CASCO,C12-18MW","MIAMIAN-CASCO,C",,12-18,M,W,indx_69,730,570,540,1100
MIAMIAN-CELINASIL2-6MW,MIAMIAN-CELINA,SIL,2-6,M,W,indx_79,1580,1355,1140,1940
MIAMIAN-CELINASIL2-6SW,MIAMIAN-CELINA,SIL,2-6,S,W,indx_79,1720,1485,1265,2070
MIAMIANCL12-18SEW,MIAMIAN,CL,12-18,SE,W,indx_49,350,350,350,350
MIAMIANCL15-25SEW,MIAMIAN,CL,15-25,SE,W,indx_59,350,350,350,350
MIAMIANCL2-6SEW,MIAMIAN,CL,2-6,SE,W,indx_69,750,590,550,1130
MIAMIANCL6-12SEW,MIAMIAN,CL,6-12,SE,W,indx_69,570,460,460,950
MIAMIAN-CROUSESIL18-25MW,MIAMIAN-CROUSE,SIL,18-25,M,W,indx_59,350,350,350,350
MIAMIAN-ELDEANSIL2-6MW,MIAMIAN-ELDEAN,SIL,2-6,M,W,indx_69,610,480,480,920
MIAMIAN-ELDEANSIL2-6SW,MIAMIAN-ELDEAN,SIL,2-6,S,W,indx_79,1190,990,780,1550
MIAMIAN-ELDEANSIL6-12MW,MIAMIAN-ELDEAN,SIL,6-12,M,W,indx_69,440,395,395,750
MIAMIAN-HENNEPINSIL12-18MW,MIAMIAN-HENNEPIN,SIL,12-18,M,W,indx_69,730,570,540,1100
MIAMIAN-HENNEPINSIL15-25MW,MIAMIAN-HENNEPIN,SIL,15-25,M,W,indx_49,350,350,350,350
MIAMIAN-HENNEPINSIL18-25MW,MIAMIAN-HENNEPIN,SIL,18-25,M,W,indx_49,350,350,350,350
MIAMIAN-HENNEPINSIL18-25SEW,MIAMIAN-HENNEPIN,SIL,18-25,SE,W,indx_49,350,350,350,350
MIAMIAN-HENNEPINSIL18-25SW,MIAMIAN-HENNEPIN,SIL,18-25,S,W,indx_49,350,350,350,350
MIAMIAN-HENNEPINSOILS18-25SW,MIAMIAN-HENNEPIN,SOILS,18-25,S,W,indx_49,350,350,350,350
MIAMIAN-KENDALLVILLESIL0-2SW,MIAMIAN-KENDALLVILLE,SIL,0-2,S,W,indx_79,1980,1730,1505,2340
MIAMIAN-KENDALLVILLESIL12-18MW,MIAMIAN-KENDALLVILLE,SIL,12-18,M,W,indx_69,730,570,540,1100
MIAMIAN-KENDALLVILLESIL18-25MW,MIAMIAN-KENDALLVILLE,SIL,18-25,M,W,indx_49,350,350,350,350
MIAMIAN-KENDALLVILLESIL2-6SW,MIAMIAN-KENDALLVILLE,SIL,2-6,S,W,indx_79,1360,1145,930,1710
MIAMIAN-KENDALLVILLESIL6-12MW,MIAMIAN-KENDALLVILLE,SIL,6-12,M,W,indx_69,890,710,620,1250
MIAMIAN-LEWISBURGSIL0-2SW,MIAMIAN-LEWISBURG,SIL,0-2,S,W,indx_69,1250,1045,835,1600
MIAMIAN-LEWISBURGSIL2-6SW,MIAMIAN-LEWISBURG,SIL,2-6,S,W,indx_69,1050,870,700,1420
"MIAMIAN,LM-SUBSTSICL2-6MW","MIAMIAN,LM-SUBST",SICL,2-6,M,W,indx_79,1360,1160,945,1730
"MIAMIAN,LM-SUBSTSICL6-12MW","MIAMIAN,LM-SUBST",SICL,6-12,M,W,indx_69,1050,865,700,1410
"MIAMIAN,LM-SUBSTSIL0-2SW","MIAMIAN,LM-SUBST",SIL,0-2,S,W,indx_79,1980,1730,1505,2340
"MIAMIAN,LM-SUBSTSIL2-6MW","MIAMIAN,LM-SUBST",SIL,2-6,M,W,indx_79,1510,1290,1075,1860
"MIAMIAN,LM-SUBSTSIL2-6SW","MIAMIAN,LM-SUBST",SIL,2-6,S,W,indx_79,1700,1460,1240,2040
"MIAMIAN,LM-SUBSTSIL6-12MW","MIAMIAN,LM-SUBST",SIL,6-12,M,W,indx_79,1210,1015,805,1570
MIAMIAN-LOSANTVILLECL12-18SEW,MIAMIAN-LOSANTVILLE,CL,12-18,SE,W,indx_49,350,350,350,350
MIAMIAN-LOSANTVILLECL6-12SEW,MIAMIAN-LOSANTVILLE,CL,6-12,SE,W,indx_59,350,350,350,350
"MIAMIAN-RUSSELL,BR-SUBSTSIL6-12MW","MIAMIAN-RUSSELL,BR-SUBST",SIL,6-12,M,W,indx_79,1210,1015,805,1570
MIAMIAN-RUSSELLSIL12-18MW,MIAMIAN-RUSSELL,SIL,12-18,M,W,indx_69,730,570,540,1100
MIAMIAN-RUSSELLSIL2-6MW,MIAMIAN-RUSSELL,SIL,2-6,M,W,indx_79,1510,1290,1075,1860
MIAMIAN-RUSSELLSIL2-6SW,MIAMIAN-RUSSELL,SIL,2-6,S,W,indx_79,1700,1460,1240,2040
MIAMIAN-RUSSELLSIL6-12MW,MIAMIAN-RUSSELL,SIL,6-12,M,W,indx_79,1210,1015,805,1570
MIAMIANSICL12-18MW,MIAMIAN,SICL,12-18,M,W,indx_69,570,460,460,950
MIAMIANSICL2-6MW,MIAMIAN,SICL,2-6,M,W,indx_79,1360,1160,945,1730
MIAMIANSICL6-12MW,MIAMIAN,SICL,6-12,M,W,indx_69,1050,865,700,1410
MIAMIANSIL0-2SW,MIAMIAN,SIL,0-2,S,W,indx_79,1980,1730,1505,2340
MIAMIANSIL12-18MW,MIAMIAN,SIL,12-18,M,W,indx_69,730,570,540,1100
MIAMIANSIL12-20MW,MIAMIAN,SIL,12-20,M,W,indx_69,710,555,530,1080
MIAMIANSIL18-25MW,MIAMIAN,SIL,18-25,M,W,indx_49,350,350,350,350
MIAMIANSIL18-25SW,MIAMIAN,SIL,18-25,S,W,indx_59,350,350,350,350
MIAMIANSIL2-6MW,MIAMIAN,SIL,2-6,M,W,indx_79,1510,1290,1075,1860
MIAMIANSIL2-6SW,MIAMIAN,SIL,2-6,S,W,indx_79,1700,1460,1240,2040
MIAMIANSIL6-12MW,MIAMIAN,SIL,6-12,M,W,indx_79,1210,1015,805,1570
MIAMIANSIL6-12SW,MIAMIAN,SIL,6-12,S,W,indx_79,1510,1290,1075,1860
MIAMIANSIL8-15MW,MIAMIAN,SIL,8-15,M,W,indx_79,1210,1015,805,1570
"MIAMIAN-THRIFTON,C12-20SEW","MIAMIAN-THRIFTON,C",,12-20,SE,W,indx_49,350,350,350,350
"MIAMIAN-THRIFTON,C18-25MW","MIAMIAN-THRIFTON,C",,18-25,M,W,indx_49,350,350,350,350
"MIAMIAN-THRIFTON,C6-12SEW","MIAMIAN-THRIFTON,C",,6-12,SE,W,indx_59,350,350,350,350
"MIAMIAN,VSIL6-15MW","MIAMIAN,V",SIL,6-15,M,W,indx_69,350,350,350,550
"MIAMIAN-WAPAHANI,C12-20SEW","MIAMIAN-WAPAHANI,C",,12-20,SE,W,indx_59,350,350,350,350
"MIAMIAN-WAPAHANI,C6-12SEW","MIAMIAN-WAPAHANI,C",,6-12,SE,W,indx_59,390,370,370,630
MIAMIBY-SIL2-12SW,MIAMI,BY-SIL,2-12,S,W,indx_59,350,350,350,350
MIAMIBY-SIL6-12MW,MIAMI,BY-SIL,6-12,M,W,indx_59,350,350,350,350
"MIAMI-CASCO-RODMAN,C18-25MW","MIAMI-CASCO-RODMAN,C",,18-25,M,W,indx_49,350,350,350,350
MIAMI-CELINABY-SIL2-6MW,MIAMI-CELINA,BY-SIL,2-6,M,W,indx_59,380,365,365,610
MIAMI-CELINABY-SIL2-6SW,MIAMI-CELINA,BY-SIL,2-6,S,W,indx_69,810,650,580,1180
MIAMI-CELINASIL2-6MW,MIAMI-CELINA,SIL,2-6,M,W,indx_79,1510,1290,1075,1860
MIAMI-CELINASIL2-6SW,MIAMI-CELINA,SIL,2-6,S,W,indx_79,1700,1460,1240,2040
MIAMI-CELINASOILS2-6SEW,MIAMI-CELINA,SOILS,2-6,SE,W,indx_69,1230,1030,820,1580
MIAMI-FOX-HENNEPINSOILS18-25MW,MIAMI-FOX-HENNEPIN,SOILS,18-25,M,W,indx_49,350,350,350,350
MIAMI-FOX-HENNEPINSOILS18-25SEW,MIAMI-FOX-HENNEPIN,SOILS,18-25,SE,W,indx_59,350,350,350,350
MIAMI-HENNEPINSIL18-25MW,MIAMI-HENNEPIN,SIL,18-25,M,W,indx_49,350,350,350,350
MIAMI-HENNEPINSIL18-25SW,MIAMI-HENNEPIN,SIL,18-25,S,W,indx_49,350,350,350,350
