soil_series,texture,slope,erosion,drainage,year,cropland,woodland,indx,id,soil_region,corn_base,soy_base,wheat_base,oats_base,hay_base,prod_index,prod_index_new,indx_new
"ALLEGHENY,V",L,15-25,S,W,2009,170,100,indx_59,"ALLEGHENY,VL15-25SW",3,90,30,35,55,3,55,60,indx_69
"ALLEGHENY,V",L,8-15,S,W,2009,560,100,indx_69,"ALLEGHENY,VL8-15SW",2,105,35,40,65,3.5,65,69,indx_69
ALLIS,CL,0-2,S,P,2009,200,100,indx_59,ALLISCL0-2SP,3,78,25,33,58,2.9,51,52,indx_59
ALLIS,L,0-2,S,P,2009,200,100,indx_59,ALLISL0-2SP,3,80,26,34,60,3,53,54,indx_59
ALLIS,SICL,0-2,S,P,2009,200,100,indx_59,ALLISSICL0-2SP,3,78,25,33,58,2.9,51,52,indx_59
ALLIS,SICL,2-6,S,P,2009,190,100,indx_59,ALLISSICL2-6SP,3,75,24,32,56,2.8,50,50,indx_59
ALLIS,SIL,0-2,S,P,2009,200,100,indx_59,ALLISSIL0-2SP,3,80,26,34,60,3,53,54,indx_59
ALLIS,ST-SIL,0-2,S,P,2009,200,100,indx_49,ALLISST-SIL0-2SP,3,60,22,35,55,3,48,45,indx_49
ALVADA,L,0-1,S,VP,2009,1300,300,indx_99,ALVADAL0-1SVP,2,144,45,52,87,5.6,92,93,indx_99
ALVADA,SICL,0-1,S,VP,2009,1230,230,indx_99,ALVADASICL0-1SVP,2,141,44,51,85,5.5,91,91,indx_99
AMANDA,L,12-18,M,W,2009,320,100,indx_69,AMANDAL12-18MW,3,88,27,37,68,3.7,61,58,indx_59
AMANDA,L,18-25,S,W,2009,170,100,indx_59,AMANDAL18-25SW,3,0,0,0,0,3.3,55,0,indx_49
AMANDA,SICL,12-20,SE,W,2009,170,100,indx_59,AMANDASICL12-20SEW,3,0,0,0,0,3.3,55,0,indx_49
AMANDA,SICL,6-12,SE,W,2009,400,100,indx_69,AMANDASICL6-12SEW,2,91,28,38,69,3.8,63,60,indx_69
AMANDA,SIL,12-18,M,W,2009,320,100,indx_69,AMANDASIL12-18MW,3,88,27,37,68,3.7,61,58,indx_59
AMANDA,SIL,12-20,M,W,2009,320,100,indx_69,AMANDASIL12-20MW,3,87,27,37,67,3.7,61,58,indx_59
AMANDA,SIL,18-25,M,W,2009,170,100,indx_59,AMANDASIL18-25MW,3,0,0,0,0,3,50,0,indx_49
AMANDA,SIL,18-25,S,W,2009,170,100,indx_59,AMANDASIL18-25SW,3,0,0,0,0,3.3,55,0,indx_49
AMANDA,SIL,2-6,M,W,2009,600,100,indx_79,AMANDASIL2-6MW,2,105,32,42,78,4.4,72,69,indx_69
AMANDA,SIL,2-6,S,W,2009,710,210,indx_79,AMANDASIL2-6SW,2,108,34,44,82,4.6,75,72,indx_79
AMANDA,SIL,6-12,M,W,2009,580,100,indx_69,AMANDASIL6-12MW,2,100,30,40,72,4,67,65,indx_69
"AMANDA-LOUDONVILLE,C",,12-20,M,W,2009,240,100,indx_59,"AMANDA-LOUDONVILLE,C12-20MW",3,84,27,37,63,3.4,58,57,indx_59
"AMANDA-LOUDONVILLE,C",,2-6,M,W,2009,550,100,indx_69,"AMANDA-LOUDONVILLE,C2-6MW",2,101,32,42,75,4.2,69,67,indx_69
"AMANDA-LOUDONVILLE,C",,6-12,M,W,2009,410,100,indx_69,"AMANDA-LOUDONVILLE,C6-12MW",2,96,30,40,69,3.8,64,64,indx_69
"AMANDA-OCKLEY,C",,12-20,M,W,2009,390,100,indx_69,"AMANDA-OCKLEY,C12-20MW",3,93,30,42,69,3.7,63,64,indx_69
"AMANDA-OCKLEY,C",,6-12,M,W,2009,690,190,indx_69,"AMANDA-OCKLEY,C6-12MW",2,103,34,46,71,4,69,70,indx_79
"AMANDA-WOOSTER,C",,12-18,M,W,2009,180,100,indx_59,"AMANDA-WOOSTER,C12-18MW",3,88,0,25,55,3.5,56,43,indx_49
"AMANDA-WOOSTER,C",,2-6,S,W,2009,570,100,indx_79,"AMANDA-WOOSTER,C2-6SW",2,113,30,35,70,4.3,70,68,indx_69
"AMANDA-WOOSTER,C",,6-12,M,W,2009,400,100,indx_69,"AMANDA-WOOSTER,C6-12MW",2,98,25,30,65,4,63,59,indx_59
"AMANDA,V",SIL,12-18,M,W,2009,240,100,indx_59,"AMANDA,VSIL12-18MW",3,90,0,33,0,3.4,58,47,indx_49
"AMANDA,V",SIL,6-12,M,W,2009,570,100,indx_69,"AMANDA,VSIL6-12MW",2,105,38,38,0,3.7,66,70,indx_79
"AQUENTS,CLAYEY",,0-1,S,VP,2009,200,100,indx_49,"AQUENTS,CLAYEY0-1SVP",3,0,0,0,0,0,0,0,indx_49
"AQUENTS,NEARLY LEVEL",,0-2,S,VP,2009,200,100,indx_49,"AQUENTS,NEARLY LEVEL0-2SVP",3,0,0,0,0,0,0,0,indx_49
ARKPORT,FS,2-6,S,W,2009,420,100,indx_69,ARKPORTFS2-6SW,2,92,34,40,76,3.6,64,64,indx_69
ARKPORT,FS,6-12,S,W,2009,390,100,indx_69,ARKPORTFS6-12SW,2,88,33,39,72,3.5,62,62,indx_69
ARKPORT,FSL,0-6,S,W,2009,560,100,indx_69,ARKPORTFSL0-6SW,2,96,36,42,78,3.8,67,67,indx_69
ARKPORT,FSL,12-18,S,W,2009,170,100,indx_59,ARKPORTFSL12-18SW,3,70,31,36,67,3.3,55,53,indx_59
ARKPORT,FSL,6-12,S,W,2009,400,100,indx_69,ARKPORTFSL6-12SW,2,91,34,40,74,3.6,63,64,indx_69
ARKPORT,LFS,0-2,S,W,2009,440,100,indx_69,ARKPORTLFS0-2SW,2,96,36,42,78,3.8,67,67,indx_69
ARKPORT,LFS,12-18,S,W,2009,170,100,indx_59,ARKPORTLFS12-18SW,3,70,30,35,66,3.2,54,52,indx_59
ARKPORT,LFS,2-6,S,W,2009,420,100,indx_69,ARKPORTLFS2-6SW,2,92,34,40,76,3.6,64,64,indx_69
ARKPORT,LFS,6-12,S,W,2009,390,100,indx_69,ARKPORTLFS6-12SW,2,88,33,39,72,3.5,62,62,indx_69
