id,soil_series,texture,slope,erosion,drainage,prod_index,indx,cropland_unadj,woodland_unadj,year
AVASIL8-15MMW,AVA,SIL,8-15,M,MW,64,indx_69,800,240,2018
AVERYSIL2-6SMW,AVERY,SIL,2-6,S,MW,78,indx_79,1500,500,2018
"AVONBURG-ATLAS,C.2-6MSWP","AVONBURG-ATLAS,C.",,2-6,M,SWP,65,indx_69,910,230,2018
AVONBURGSIL0-2SSWP,AVONBURG,SIL,0-2,S,SWP,70,indx_79,1340,225,2018
AVONBURGSIL2-6MSWP,AVONBURG,SIL,2-6,M,SWP,65,indx_69,910,230,2018
AVONBURGSIL2-6SSWP,AVONBURG,SIL,2-6,S,SWP,67,indx_69,1135,230,2018
BARKCAMPCL0-8SW,BARKCAMP,CL,0-8,S,W,50,indx_59,350,230,2018
BARKCAMPCL8-25SW,BARKCAMP,CL,8-25,S,W,33,indx_49,350,230,2018
BARKCAMPGR-LS8-25SW,BARKCAMP,GR-LS,8-25,S,W,0,indx_49,350,230,2018
BARKCAMPGR-SL0-8SW,BARKCAMP,GR-SL,0-8,S,W,0,indx_49,350,230,2018
BARKCAMPL8-25SW,BARKCAMP,L,8-25,S,W,33,indx_49,350,230,2018
"BARKCAMP,VERY STONYCN-SL0-8SW","BARKCAMP,VERY STONY",CN-SL,0-8,S,W,0,indx_49,350,230,2018
"BARKCAMP,VERY STONYFLV-SL0-8SW","BARKCAMP,VERY STONY",FLV-SL,0-8,S,W,0,indx_49,350,230,2018
"BARKCAMP,VERY STONYFLV-SL8-25SW","BARKCAMP,VERY STONY",FLV-SL,8-25,S,W,0,indx_49,350,230,2018
BEASLEYSIL12-18MW,BEASLEY,SIL,12-18,M,W,61,indx_69,350,230,2018
BEASLEYSIL6-12MW,BEASLEY,SIL,6-12,M,W,67,indx_69,415,230,2018
"BEAUCOUP,OF-PHSICL0-2SVP","BEAUCOUP,OF-PH",SICL,0-2,S,VP,79,indx_79,2185,390,2018
BELMOREL0-2SW,BELMORE,L,0-2,S,W,67,indx_69,525,230,2018
BELMOREL12-18MW,BELMORE,L,12-18,M,W,54,indx_59,350,230,2018
BELMOREL12-18SW,BELMORE,L,12-18,S,W,56,indx_59,350,230,2018
BELMOREL1-4SW,BELMORE,L,1-4,S,W,65,indx_69,380,230,2018
BELMOREL2-6SW,BELMORE,L,2-6,S,W,64,indx_69,355,230,2018
BELMOREL6-12MW,BELMORE,L,6-12,M,W,59,indx_59,350,230,2018
BELMOREL6-12SW,BELMORE,L,6-12,S,W,61,indx_69,345,230,2018
BELMORESL0-2SW,BELMORE,SL,0-2,S,W,65,indx_69,355,230,2018
BELMORESL1-4SW,BELMORE,SL,1-4,S,W,65,indx_69,380,230,2018
BELMORESL1-6SW,BELMORE,SL,1-6,S,W,63,indx_69,345,230,2018
