"year","mortgage_pct_odt","mortgage_years_odt","sinking_years_odt","mills_post_reduction_odt","rollback_odt","mills_post_rollback_odt","tax_additur_odt","interest_rate_15_odt","interest_rate_25_odt","equity_rate_usda_odt","equity_rate_bankrate","equity_rate_odt","interest_rate_odt","cap_rate_odt","equity_rate_usda","dallas_fed_re_q1","kansas_fed_re_q1","chicago_fed_re_q1","tax_additur_cauv","equity_rate_cauv","interest_rate_cauv","mortgage_equity_cauv","cap_intermediate_cauv","cap_less_cauv","cap_rate_cauv","interest_rate_cauv_h","interest_rate_cauv_l","mortgage_equity_cauv_h","mortgage_equity_cauv_l","cap_intermediate_cauv_h","cap_intermediate_cauv_l","cap_rate_cauv_h","cap_rate_cauv_l","cap_rate_cauv_exp"
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1013,NA,NA,0.1617,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011,NA,NA,0.1538,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0439,NA,NA,0.1676,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0147,NA,NA,0.1346,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0707,NA,NA,0.1342,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1671,NA,NA,0.1322,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0787,NA,NA,0.1167,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0852,NA,NA,0.1027,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0751,NA,0.1093,0.1048,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0704,NA,0.1207,0.117,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0679,NA,0.1147,0.1108,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0235,NA,NA,NA,NA,0.0235,0.1194,0.1094,0.1057,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0655,NA,NA,NA,NA,0.0655,0.1063,0.0946,0.0919,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0768,NA,NA,NA,NA,0.0768,0.0959,0.0862,0.0829,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0608,NA,NA,NA,NA,0.0608,0.0929,0.0836,0.0797,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0473,NA,NA,NA,NA,0.0473,0.1088,0.1005,0.0968,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0759,NA,NA,NA,NA,0.0759,0.1011,0.0931,0.0866,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0736,NA,NA,NA,NA,0.0736,0.0999,0.0943,0.0877,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0612,NA,NA,NA,NA,0.0612,0.0966,0.0922,0.0843,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0812,NA,NA,NA,NA,0.0812,0.0918,0.0871,0.0806,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0874,NA,NA,NA,NA,0.0874,0.0989,0.0945,0.0889,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0613,NA,NA,NA,NA,0.0613,0.0951,0.0894,0.0823,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0057,NA,NA,NA,NA,-0.0057,0.0785,0.0751,0.0722,NA,NA,NA,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA,0.064,NA,0.0817,0.0625,NA,NA,0.092,0.0817,0.0748,0.0698,0.0636,NA,0.0625,0.064,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA,0.07,NA,0.1732,0.06,NA,NA,0.09,0.1732,0.0694,0.0667,0.0587,NA,0.06125,0.067,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,NA,0.071,NA,0.1818,0.0725,NA,NA,0.086,0.1818,0.0752,0.0729,0.0663,NA,0.065,0.0683333333333333,NA,NA,NA,NA,-Inf,Inf,NA,NA,NA,NA,NA,NA,NA
2006,0.6,15,5,NA,NA,NA,0.014,0.077,NA,0.133,0.095,NA,NA,0.085,0.133,0.0844,0.0807,0.0748,0.014,0.0725,0.0705,0.110141618769285,0.0950849712615709,0.0323415239487348,0.0767434473128361,-Inf,Inf,NA,NA,NA,NA,NA,NA,0.0767434473128361
2007,0.6,15,5,44.84,0.1,40.34,0.014,0.077,NA,0.046,0.1025,NA,NA,0.084,0.046,0.0874,0.0842,0.0767,0.014,0.0785,0.0718,0.111046171805663,0.0980277030833978,0.0317834496935575,0.0802442533898403,-Inf,Inf,NA,NA,NA,NA,NA,NA,0.0802442533898403
2008,0.6,15,5,43.18,0.1,38.87,0.014,0.0695,NA,0.043,0.0925,NA,NA,0.083,0.043,0.0729,0.0701,0.0641,0.014,0.0808333333333333,0.0714166666666667,0.110779089674161,0.0988007871378299,0.0316866829064482,0.0811141042313817,-Inf,Inf,NA,NA,NA,NA,NA,NA,0.0811141042313817
2009,0.6,15,5,42.35,0.1,38.11,0.014,0.0655,0.071,-0.0071,0.0525,0.0765,0.0706,0.079,-0.0071,0.0688,0.0659,0.0614,0.014,0.0765,0.0706,0.110211078415031,0.0967266470490184,0.0320710741048211,0.0786555729441973,NA,NA,NA,NA,NA,NA,NA,NA,0.0786555729441973
2010,0.6,15,5,46.07,0.1,41.46,0.014,0.067,0.074,0.1247,0.0525,0.0745,0.0709,0.078,0.1246,0.0687,0.0661,0.0604,0.014,0.0745,0.0709,0.11041957886301,0.0960517473178057,0.03215888371607,0.0778928636017358,0.071,0.074,0.110489119487476,0.112584703587794,0.0960934716924855,0.0973508221526766,0.0769345879764156,0.0801919384366066,0.0778928636017358
2011,0.6,15,5,46.29,0.1,41.66,0.013,0.0605,0.067,0.1104,0.0525,0.073,0.07,0.076,0.1104,0.067,0.0633,0.058,0.013,0.073,0.07,0.109794624701006,0.0950767748206039,0.0323769351104643,0.0756998397101395,0.069,0.0725,0.109102160770489,0.111534650866846,0.0946612964622931,0.0961207905201076,0.0742843613518288,0.0777438554096433,0.0756998397101395
2012,0.6,15,5,47.11,0.1,42.4,0.015,0.047,0.0515,0.1704,0.0525,0.069,0.0679,0.075,0.1704,0.0619,0.0576,0.0508,0.015,0.069,0.0679,0.108342806220544,0.0926056837323264,0.032924377331232,0.0746813064010943,0.0631666666666667,0.0706666666666667,0.105103703792796,0.110257396100208,0.0906622222756777,0.0937544376601248,0.0717378449444457,0.0768300603288928,0.0746813064010943
2013,0.6,15,5,NA,NA,NA,0.015,0.043,0.0495,0.0869,0.0525,0.0605,0.0619,0.067,0.0837,0.0612,0.0536,0.046,0.015,0.0605,0.0619,0.104244800404297,0.0867468802425779,0.0343389620615379,0.0674079181810401,0.05975,0.065875,0.10279464193212,0.106951393806902,0.0858767851592722,0.0883708362841412,0.0655378230977343,0.0700318742226033,0.0674079181810401
2014,0.6,15,5,49.58,0.097,44.77,0.015,0.0545,0.062,0.0843,0.0525,0.0525,0.0589,0.062,0.0808,0.0589,0.0541,0.0466,0.015,0.0525,0.0589,0.102224017149009,0.0823344102894052,0.0353324431161548,0.0620019671732504,0.0602,0.0651,0.103097356718685,0.106421115409616,0.0828584140312113,0.0848526692457694,0.0615259709150565,0.0655202261296146,0.0620019671732504
2015,0.8,25,5,49.56,0.095,44.86,0.016,NA,0.056,-0.0037,0.0525,0.0525,0.0615,0.066,-0.0078,0.0574,0.0534,0.0457,0.016,0.0525,0.0615,0.0793451616690611,0.0739761293352489,0.0235386857244928,0.066437443610756,0.0595,0.0635833333333333,0.0778554476214499,0.080909954359349,0.0727843580971599,0.0752279634874792,0.0642456723726671,0.0686892777629864,0.066437443610756
2016,0.8,25,5,49.77,0.094,45.11,0.016,NA,0.0515,0.0213,0.055,0.0525,0.0576,0.063,0.0171,0.0581,0.0536,0.0465,0.016,0.0525,0.0576,0.0764517330410129,0.0716613864328103,0.0242394443452272,0.0634219420875831,0.05625,0.0603333333333333,0.0754612691308597,0.0784746621417414,0.0708690153046877,0.0732797297133931,0.0616295709594605,0.0660402853681659,0.0634219420875831
2017,0.8,25,25,49.89,0.092,45.31,0.016,NA,0.0565,0.029,0.055,0.0773,0.0555,0.08,0.0447,0.0595,0.0551,0.048,0.016,0.0769,0.0555,0.0749135185158482,0.0753108148126786,0.0114485752320571,0.0798622395806214,0.0545,0.0574166666666667,0.074185992135183,0.0763168867992442,0.0747287937081464,0.0764335094393954,0.0782802184760892,0.0819849342073382,0.0798622395806214
2018,0.8,25,25,49.94,0.09,45.44,0.016,NA,0.0604,NA,NA,0.0773,0.0552,0.08,0.0177,0.061,0.0584,0.0514,0.016,0.076644,0.05518,0.0746803600020956,0.0750730880016765,0.0114912333690021,0.0795818546326744,0.0542333333333333,0.0563166666666667,0.0739925298079257,0.0755100450251669,0.0745228238463406,0.0757368360201335,0.0780315904773385,0.0812456026511315,0.0795818546326744
2019,0.8,25,25,49.97,0.09,45.55,0.016,NA,0.06,NA,NA,0.0755,0.0569,0.08,0.0268,0.0658,0.0617,0.0553,0.016,0.075812,0.05688,0.0759227661297612,0.0759006129038089,0.0116308431896221,0.0802697697141868,0.05565,0.0577333333333333,0.0750229246596327,0.0765498696579682,0.0751807397277062,0.0764022957263746,0.0785498965380841,0.0817714525367525,0.0802697697141868
2020,0.8,25,25,NA,NA,NA,NA,NA,0.049,NA,NA,0.0736,0.0569,0.079,0.0421,0.0596,0.0531,0.0451,0.016,0.073448,0.05688,0.0759227661297612,0.0754278129038089,0.012035714409041,0.0793920984947679,0.0555666666666667,0.0577333333333333,0.0749621345655913,0.0765498696579682,0.074659307652473,0.0759294957263746,0.077623593243432,0.0808937813173336,0.0793920984947679
2021,0.8,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0415,NA,NA,NA,0.016,0.072088,0.0555666666666667,0.0749621345655913,0.074387307652473,0.0122742041816394,0.0781131034708336,0.0546,0.05688,0.0742585997709224,0.0759227661297612,0.0738244798167379,0.0751558129038089,0.0765502756350985,0.0798816087221695,0.0781131034708336
2022,0.8,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,0.07188,0.05548,0.0748989364798747,0.0742951491838997,0.0123110420393562,0.0779841071445435,0.05425,0.0571,0.0740046144630519,0.0760842208105521,0.0735796915704415,0.0752433766484417,0.0762686495310853,0.0799323346090855,0.0779841071445435
