year,mortgage_pct_odt,mortgage_years_odt,sinking_years_odt,mills_post_reduction_odt,rollback_odt,mills_post_rollback_odt,tax_additur_odt,interest_rate_15_odt,interest_rate_25_odt,equity_rate_usda_odt,equity_rate_bankrate,equity_rate_odt,interest_rate_odt,cap_rate_odt,equity_rate_usda,dallas_fed_re_q1,kansas_fed_re_q1,chicago_fed_re_q1
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0612,NA,NA,NA,NA,0.0612,0.0966,0.0922,0.0843
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0812,NA,NA,NA,NA,0.0812,0.0918,0.0871,0.0806
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0874,NA,NA,NA,NA,0.0874,0.0989,0.0945,0.0889
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0613,NA,NA,NA,NA,0.0613,0.0951,0.0894,0.0823
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0057,NA,NA,NA,NA,-0.0057,0.0785,0.0751,0.0722
2003,NA,NA,NA,NA,NA,NA,NA,0.064,NA,0.0817,0.0625,NA,NA,0.092,0.0817,0.0748,0.0698,0.0636
2004,NA,NA,NA,NA,NA,NA,NA,0.07,NA,0.1732,0.06,NA,NA,0.09,0.1732,0.0694,0.0667,0.0587
2005,NA,NA,NA,NA,NA,NA,NA,0.071,NA,0.1818,0.0725,NA,NA,0.086,0.1818,0.0752,0.0729,0.0663
2006,0.6,15,5,NA,NA,NA,0.014,0.077,NA,0.133,0.095,NA,NA,0.085,0.133,0.0844,0.0807,0.0748
2007,0.6,15,5,44.84,0.1,40.34,0.014,0.077,NA,0.046,0.1025,NA,NA,0.084,0.046,0.0874,0.0842,0.0767
2008,0.6,15,5,43.18,0.1,38.87,0.014,0.0695,NA,0.043,0.0925,NA,NA,0.083,0.043,0.0729,0.0701,0.0641
2009,0.6,15,5,42.35,0.1,38.11,0.014,0.0655,0.071,-0.0071,0.0525,0.0765,0.0706,0.079,-0.0071,0.0688,0.0659,0.0614
2010,0.6,15,5,46.07,0.1,41.46,0.014,0.067,0.074,0.1247,0.0525,0.0745,0.0709,0.078,0.1246,0.0687,0.0661,0.0604
2011,0.6,15,5,46.29,0.1,41.66,0.013,0.0605,0.067,0.1104,0.0525,0.073,0.07,0.076,0.1104,0.067,0.0633,0.058
2012,0.6,15,5,47.11,0.1,42.4,0.015,0.047,0.0515,0.1704,0.0525,0.069,0.0679,0.075,0.1704,0.0619,0.0576,0.0508
2013,0.6,15,5,NA,NA,NA,0.015,0.043,0.0495,0.0869,0.0525,0.0605,0.0619,0.067,0.0837,0.0612,0.0536,0.046
2014,0.6,15,5,49.58,0.097,44.77,0.015,0.0545,0.062,0.0843,0.0525,0.0525,0.0589,0.062,0.0808,0.0589,0.0541,0.0466
2015,0.8,25,5,49.56,0.095,44.86,0.016,NA,0.056,-0.0037,0.0525,0.0525,0.0615,0.066,-0.0078,0.0574,0.0534,0.0457
2016,0.8,25,5,49.77,0.094,45.11,0.016,NA,0.0515,0.0213,0.055,0.0525,0.0576,0.063,0.0171,0.0581,0.0536,0.0465
2017,0.8,25,25,49.89,0.092,45.31,0.016,NA,0.0565,0.029,0.055,0.0773,0.0555,0.08,0.0447,0.0595,0.0551,0.048
2018,0.8,25,25,49.94,0.09,45.44,0.016,NA,0.0604,NA,NA,0.0773,0.0552,0.08,0.0177,0.061,0.0584,0.0514
2019,0.8,25,25,49.97,0.09,45.55,0.016,NA,0.06,NA,NA,0.0755,0.0569,0.08,0.0268,0.0658,0.0617,0.0553
2020,0.8,25,25,NA,NA,NA,NA,NA,0.049,NA,NA,0.0736,0.0569,0.079,0.0421,0.0596,0.0531,0.0451
2021,0.8,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0415,NA,NA,NA
