county,parcels,acres_cauv,cauv,market_value,year,appraisal
mercer,4664,271949,38484340,174362470,1988,NA
miami,3813,210884,40615040,143067030,1988,NA
monroe,1791,115063,5499620,7654020,1988,NA
montgomery,2822,121219,24298540,104888400,1988,NA
morgan,3807,106057,5081450,10998140,1988,reappraisal
morrow,3090,213115,24389970,56228600,1988,NA
muskingum,3879,170389,14931250,32225790,1988,reappraisal
noble,1633,68896,3153280,6876170,1988,NA
ottawa,2755,115224,17462710,49196790,1988,reappraisal
paulding,3682,247187,40585960,91013480,1988,NA
perry,1486,74891,5041330,16224760,1988,NA
pickaway,5378,287681,42811550,90969640,1988,NA
pike,3493,147277,10603400,17071940,1988,NA
portage,2802,112683,7558220,40285410,1988,reappraisal
preble,3639,231049,31526320,110439790,1988,NA
putnam,7999,290958,43779310,147386950,1988,NA
richland,5398,228864,21396110,70325190,1988,NA
ross,3273,302799,34837680,84138830,1988,NA
sandusky,4699,222719,29942400,101146850,1988,update
scioto,3283,128925,7047250,18542420,1988,NA
seneca,5939,322339,41583880,127894030,1988,NA
shelby,5270,234385,31636780,95640080,1988,NA
stark,3459,132708,14396090,61692990,1988,reappraisal
summit,315,15447,2151400,12287040,1988,NA
trumbull,2440,114834,7538170,29580340,1988,NA
tuscarawas,6663,222070,13742090,53898600,1988,NA
union,4664,246014,44247600,102340630,1988,NA
van wert,4350,247678,41187280,131988050,1988,NA
vinton,323,38108,1468760,2905290,1988,update
warren,3465,169225,20140790,119124870,1988,reappraisal
washington,4920,150433,7624330,15898080,1988,NA
wayne,5888,260714,29805640,123610240,1988,NA
williams,4061,239094,24827930,52835100,1988,reappraisal
wood,8708,339131,62877200,173916350,1988,NA
wyandot,5078,235963,38638300,110614260,1988,NA
adams,5994,255632,12011980,44157500,1989,update
allen,4143,204516,29553130,105738490,1989,NA
ashland,3136,210118,18294450,63447540,1989,NA
ashtabula,3552,184918,8962450,47624360,1989,NA
athens,1158,55552,2564470,7187960,1989,NA
auglaize,4697,229813,32275790,101772300,1989,NA
belmont,1191,63242,2904510,7177090,1989,NA
brown,3349,246592,19588060,56155650,1989,NA
butler,3765,174804,21096950,126593870,1989,NA
carroll,2451,119685,5878190,21915850,1989,reappraisal
champaign,4597,241631,25068150,73038140,1989,reappraisal
clark,3843,185647,24336690,68233330,1989,reappraisal
clermont,3134,150333,15503530,60826650,1989,NA
clinton,2677,230338,30612580,73685360,1989,NA
columbiana,1333,82388,8245730,30226320,1989,update
coshocton,3482,170898,9180730,37247350,1989,NA
crawford,5181,230483,22991300,75780600,1989,NA
cuyahoga,88,1062,495290,2249190,1989,NA
darke,6467,352328,54687880,140503840,1989,NA
defiance,4411,234844,31773470,78737850,1989,NA
delaware,5031,192409,26339830,121425810,1989,NA
erie,2139,97790,13728800,46157e3,1989,NA
fairfield,4113,222892,22219160,101368050,1989,reappraisal
fayette,3534,242301,33842350,57709930,1989,NA
franklin,2847,113004,20553230,140409180,1989,NA
fulton,4711,234257,35505260,135706530,1989,NA
gallia,2930,116365,6018240,13914010,1989,NA
geauga,1548,64505,4792900,30297590,1989,NA
greene,4268,192441,28921920,97110160,1989,NA
guernsey,2813,109638,11854200,19912580,1989,NA
hamilton,795,21571,2802630,20749280,1989,NA
hancock,5560,302221,39600120,128452710,1989,update
hardin,5125,282424,39110660,98756250,1989,NA
harrison,1189,72017,3438780,9019110,1989,NA
henry,5093,247726,44456270,132365230,1989,NA
highland,6354,286531,22897350,52734030,1989,NA
hocking,295,29579,1591560,4862440,1989,update
