county,parcels,acres_cauv,cauv,market_value,year,appraisal
champaign,4906,239604,46945530,131175870,1998,update
clark,4009,181351,40339820,101413940,1998,update
clermont,3656,140845,17171110,95992070,1998,NA
clinton,3443,224600,29304230,91600780,1998,NA
columbiana,3488,151335,16875540,65131820,1998,reappraisal
coshocton,4407,202438,13862390,67804630,1998,NA
crawford,5609,230804,29080680,109545990,1998,NA
cuyahoga,189,3003,1187120,8744150,1998,NA
darke,6897,348548,53922850,183843300,1998,NA
defiance,4683,232308,28655520,85962180,1998,NA
delaware,5069,180982,26070300,186404200,1998,NA
erie,2489,98157,17669360,65246390,1998,NA
fairfield,4671,222903,40057730,194379820,1998,update
fayette,3604,239515,45411750,114264050,1998,NA
franklin,2154,91738,20214370,123006e3,1998,NA
fulton,5009,230437,32717780,147590220,1998,NA
gallia,3474,130430,7166610,19963330,1998,NA
geauga,1945,67253,6685010,43760380,1998,NA
greene,4201,181863,32729500,114555390,1998,NA
guernsey,3351,120771,10424570,27913450,1998,NA
hamilton,1210,29461,6232330,78465590,1998,NA
hancock,5781,297375,64236380,197907790,1998,reappraisal
hardin,5178,279576,36868970,110459680,1998,NA
harrison,1731,107978,5161360,16769100,1998,NA
henry,5385,246033,41838140,158154910,1998,NA
highland,6815,285131,31765060,83230110,1998,NA
hocking,566,50778,3472010,10459470,1998,reappraisal
holmes,5687,203018,26572150,110342480,1998,reappraisal
huron,8447,273469,33799760,120632790,1998,NA
jackson,1730,66637,3460340,11001200,1998,NA
jefferson,1374,71527,3028330,10514940,1998,NA
knox,5444,249690,21722610,95177490,1998,NA
lake,1051,19461,4228620,26407270,1998,NA
lawrence,4083,107605,6142280,17099160,1998,reappraisal
licking,5003,255361,26624220,146107530,1998,NA
logan,4384,246675,38415710,97138440,1998,update
lorain,4525,148139,19787540,99092030,1998,NA
lucas,2758,70453,17389090,100311800,1998,NA
madison,2772,269247,41019980,122101400,1998,NA
mahoning,3344,104096,7262300,46228420,1998,NA
marion,4637,215325,43602670,94961960,1998,update
medina,5442,146802,33079730,170342880,1998,update
meigs,1877,66482,3760090,10613330,1998,reappraisal
mercer,4897,269176,38217030,257811560,1998,NA
miami,4222,207305,46248700,137061710,1998,update
monroe,2511,141587,6764680,20057800,1998,reappraisal
montgomery,3148,118579,23896890,111263660,1998,NA
morgan,3992,127988,7232490,17547470,1998,NA
morrow,3314,206337,18185650,65379890,1998,NA
muskingum,4286,194526,12470320,44586380,1998,NA
noble,2311,89438,4738020,15457270,1998,NA
ottawa,2935,111874,22075800,64910640,1998,NA
paulding,3979,245883,38249480,120336340,1998,reappraisal
perry,1504,96976,6174210,22405940,1998,NA
pickaway,5317,277877,40187680,121058660,1998,NA
pike,4156,166744,11790080,24458370,1998,NA
portage,3353,119650,10795360,68088960,1998,NA
preble,4179,233970,32309710,122483540,1998,NA
putnam,8659,290001,39188330,173746600,1998,NA
richland,5714,220952,20755030,84055720,1998,NA
ross,3958,308127,36248990,77784600,1998,update
sandusky,4836,218642,39674970,115384550,1998,NA
scioto,4809,169300,10342750,34783900,1998,reappraisal
seneca,6364,320466,39077230,129324180,1998,NA
shelby,5631,229305,31818420,118436360,1998,NA
stark,4685,154851,23625800,115439770,1998,NA
summit,747,20152,4646380,32808990,1998,NA
trumbull,3112,136204,8105290,40164550,1998,NA
tuscarawas,7797,236945,21829530,99452770,1998,reappraisal
union,5183,240757,48369690,176521060,1998,update
van wert,4726,247022,38535510,153721970,1998,NA
vinton,637,52774,1760660,6662950,1998,NA
warren,3261,145850,25986660,165702870,1998,NA
washington,5091,158732,11402550,36611520,1998,reappraisal
wayne,6445,265098,29340180,136331320,1998,NA
williams,4479,236002,33475570,82772090,1998,NA
wood,9397,333400,56453530,190146550,1998,NA
wyandot,5355,235272,39690370,12004e4,1998,update
adams,4357,253288,18474710,64985490,1999,NA
allen,4600,203144,37955200,119720850,1999,NA
ashland,3977,212338,27457540,112338970,1999,update
ashtabula,3966,190318,10565110,64509920,1999,update
athens,2021,90163,6414320,16622420,1999,update
auglaize,4710,224332,40732570,140871800,1999,reappraisal
belmont,1683,83550,4405140,10934750,1999,NA
brown,4130,248694,26322270,85472080,1999,NA
butler,3627,154765,33510970,193638080,1999,update
carroll,3347,147456,12355050,43451150,1999,NA
champaign,4975,239517,46871050,131480380,1999,NA
clark,3904,178790,39477200,99558880,1999,NA
clermont,3745,140166,24556700,118210500,1999,update
clinton,3490,223250,43828950,153931860,1999,reappraisal
columbiana,3551,152294,16895380,65730250,1999,NA
coshocton,4404,201418,13901290,67755440,1999,NA
crawford,5593,230568,28991270,109386740,1999,NA
cuyahoga,193,3040,1280760,8795170,1999,NA
darke,6989,348353,77833770,294547680,1999,reappraisal
defiance,4711,232016,40372380,107896720,1999,reappraisal
delaware,5094,179110,39850700,287795170,1999,reappraisal
erie,2463,97116,17536700,64825700,1999,NA
fairfield,4760,221422,39831920,193258380,1999,NA
fayette,3648,238994,45281630,113931110,1999,NA
franklin,2085,88784,29898740,167874400,1999,reappraisal
fulton,5033,230298,47293940,162998470,1999,update
gallia,3527,131679,9884580,23549260,1999,reappraisal
geauga,2008,67292,9748440,65882270,1999,reappraisal
greene,4176,180053,43901540,132062810,1999,update
guernsey,3343,152462,10448170,27682900,1999,NA
hamilton,1201,29487,9819700,100819270,1999,reappraisal
hancock,5826,296591,64653120,199005750,1999,NA
hardin,5188,279073,52144400,141590500,1999,reappraisal
harrison,1775,108982,7351810,19626140,1999,reappraisal
henry,5398,245833,58882120,185454040,1999,reappraisal
highland,6795,283745,31651010,82785270,1999,NA
hocking,602,52768,3653180,10921690,1999,NA
holmes,5808,203113,29332180,110576240,1999,NA
huron,8467,272777,33603220,120296390,1999,NA
jackson,1775,68065,4467940,13068170,1999,reappraisal
jefferson,1433,73574,3144540,10932480,1999,NA
knox,5538,249206,34647250,118602860,1999,update
lake,1039,19277,4176470,26068040,1999,NA
lawrence,4191,109047,6275340,17343830,1999,NA
licking,5161,255108,40586350,193533730,1999,reappraisal
logan,4434,245728,38304700,96866330,1999,NA
lorain,4460,144992,19443410,97680240,1999,NA
lucas,2783,69498,17063090,97666550,1999,NA
madison,2812,268901,59122290,173377990,1999,update
mahoning,3362,103956,10897040,60924400,1999,reappraisal
marion,4655,215198,43553090,94876720,1999,NA
medina,5107,141175,31180700,166173700,1999,NA
meigs,2026,71047,4321510,11755120,1999,NA
mercer,4938,269089,51388470,277658060,1999,reappraisal
miami,4267,206457,46069410,136672850,1999,NA
monroe,2561,142417,6817460,20176320,1999,NA
montgomery,3051,115758,31031020,117163180,1999,update
morgan,4103,129421,7379260,17905810,1999,NA
morrow,3352,205102,29489260,110738160,1999,reappraisal
muskingum,4332,194801,12478830,45717180,1999,NA
noble,2364,91494,5932680,17254230,1999,update
ottawa,2925,111467,22002290,64736190,1999,NA
paulding,4019,245757,38160370,120258650,1999,NA
perry,1541,98384,10584010,28646190,1999,reappraisal
pickaway,5320,277379,58600890,173040730,1999,reappraisal
pike,4109,167263,11579560,32364100,1999,reappraisal
portage,3375,118919,10706680,67890020,1999,NA
preble,4223,234079,49195340,181884920,1999,reappraisal
putnam,8743,289626,54501660,202095940,1999,reappraisal
richland,5747,220742,30788290,104015690,1999,reappraisal
ross,4066,308838,36934690,78897370,1999,NA
sandusky,4846,218312,39582760,115168260,1999,NA
scioto,5179,180474,11338580,36055910,1999,NA
seneca,6301,320023,59702840,258455370,1999,reappraisal
shelby,5589,228582,43776250,147314260,1999,reappraisal
stark,4827,156932,23892110,115989170,1999,NA
summit,805,19720,5939800,37356880,1999,update
trumbull,3007,135056,12548320,48941060,1999,reappraisal
tuscarawas,7935,238490,22226320,99774200,1999,NA
union,5268,240770,48456870,178506080,1999,NA
van wert,4761,246675,53656510,184435910,1999,reappraisal
vinton,687,55355,1862260,7055520,1999,NA
warren,3228,142152,25757920,161191490,1999,NA
washington,5259,163006,11602320,36177090,1999,NA
wayne,6367,263413,42610400,179448290,1999,update
williams,4448,234364,33244620,82333650,1999,NA
wood,9420,332249,73476660,274144130,1999,reappraisal
wyandot,5383,235095,39687820,119920850,1999,NA
adams,4402,252894,18420130,64990230,2e3,NA
allen,4608,202536,41219760,130519560,2e3,update
ashland,4056,212047,27522860,112890300,2e3,NA
ashtabula,4032,190825,10605370,64934370,2e3,NA
athens,2094,93018,6587350,16958300,2e3,NA
auglaize,4710,224157,40635660,140712900,2e3,NA
belmont,1897,90889,5556430,15483370,2e3,reappraisal
brown,4153,245188,29612300,106907210,2e3,reappraisal
butler,3617,152256,32477340,188946850,2e3,NA
carroll,3421,148365,12716520,44587610,2e3,NA
champaign,5050,237684,46457890,130416310,2e3,NA
clark,3931,179302,40005510,99812870,2e3,NA
clermont,3931,140423,24998210,120380220,2e3,NA
clinton,3570,221673,43713e3,154102300,2e3,NA
columbiana,3607,153432,17103370,66252470,2e3,NA
coshocton,4753,205254,14752160,79524700,2e3,update
crawford,5595,230193,31685270,160450560,2e3,reappraisal
cuyahoga,198,2818,1499340,13512310,2e3,reappraisal
darke,7066,348374,77867730,294783030,2e3,NA
defiance,4729,231286,40224760,107622290,2e3,NA
delaware,5363,179666,39150510,286823920,2e3,NA
erie,2479,96994,19184630,79792e3,2e3,reappraisal
fairfield,4847,222116,39736470,192797690,2e3,NA
fayette,3666,238502,50344050,162361780,2e3,reappraisal
franklin,2052,86731,32919630,165054740,2e3,NA
fulton,5134,230039,47283340,163045370,2e3,NA
gallia,3708,135367,10263550,24449770,2e3,NA
geauga,2051,67647,10100260,66462160,2e3,NA
greene,4125,178637,43875370,130997040,2e3,NA
guernsey,3391,155230,11638430,32246690,2e3,update
hamilton,1197,29130,9547830,97726890,2e3,NA
hancock,5888,296001,64364740,198487960,2e3,NA
hardin,5204,278489,51958940,141220820,2e3,NA
harrison,1852,111498,6849210,20181400,2e3,NA
henry,5386,245454,58560030,184678940,2e3,NA
highland,6821,281572,38750730,107361920,2e3,reappraisal
hocking,641,53817,3762780,11181810,2e3,NA
holmes,5848,202014,29396490,110030760,2e3,NA
huron,8428,271166,38486720,157008080,2e3,reappraisal
jackson,1837,68768,4462720,13096970,2e3,NA
jefferson,1522,77898,3661290,15517420,2e3,reappraisal
knox,5606,250407,34905740,119097230,2e3,NA
lake,1009,18540,4684220,30239160,2e3,reappraisal
lawrence,4250,109839,6331660,17504270,2e3,NA
licking,5361,257211,40801480,203331270,2e3,NA
logan,4463,244251,38037300,96168510,2e3,NA
lorain,4444,144147,24377760,117928940,2e3,reappraisal
lucas,2734,68653,21611900,149821320,2e3,reappraisal
madison,2868,268357,59080070,173481580,2e3,NA
mahoning,3374,103544,10814570,60861180,2e3,NA
marion,4646,214202,43305180,94378430,2e3,NA
medina,4759,139785,31610120,157284890,2e3,NA
meigs,2080,73158,4466260,12108490,2e3,NA
mercer,4983,268911,51294480,276797040,2e3,NA
miami,4353,206368,45988300,137087440,2e3,NA
monroe,2650,144775,7014920,20581890,2e3,NA
montgomery,3118,116334,30847100,116473370,2e3,NA
morgan,4199,131827,7925660,22681020,2e3,reappraisal
morrow,3387,204197,29484410,110325700,2e3,NA
muskingum,4330,196087,15067850,63586510,2e3,reappraisal
noble,2443,93281,6061880,17636980,2e3,NA
ottawa,2937,109750,23079430,81940840,2e3,reappraisal
paulding,4057,245418,38078850,120116990,2e3,NA
perry,1618,104138,11039410,29257940,2e3,NA
pickaway,5337,276778,58596960,172936560,2e3,NA
pike,4199,169002,11852190,32587050,2e3,NA
portage,3409,118850,15765230,94731270,2e3,reappraisal
preble,4256,234152,49275790,181920970,2e3,NA
putnam,8787,289332,54321720,201642330,2e3,NA
richland,5837,219861,30768530,103747210,2e3,NA
ross,4144,308465,37185470,79398380,2e3,NA
sandusky,4813,217067,41595320,114384590,2e3,update
scioto,5265,178480,11507630,36113590,2e3,NA
seneca,6341,319574,59556800,258166900,2e3,NA
shelby,5600,228307,43592960,146766730,2e3,NA
stark,4931,157682,30504320,155609770,2e3,reappraisal
summit,947,16414,6150710,39704480,2e3,NA
trumbull,3030,135494,12539070,49160130,2e3,NA
tuscarawas,8059,241901,22616940,100188710,2e3,NA
union,5177,239328,48253170,178554890,2e3,NA
van wert,4808,246377,53492280,184114160,2e3,NA
vinton,776,59061,2072300,8643210,2e3,update
warren,3164,138071,27436810,177360970,2e3,reappraisal
washington,5502,168999,11879620,37353190,2e3,NA
wayne,6379,263991,42908890,180235180,2e3,NA
williams,4493,234645,37897900,100000810,2e3,reappraisal
wood,9463,330912,73606910,272239110,2e3,NA
wyandot,5441,234498,39536180,119641710,2e3,NA
adams,4439,251872,18839850,74540890,2001,update
allen,4610,202005,41081510,130267580,2001,NA
ashland,4132,211860,27709080,113120670,2001,NA
ashtabula,4131,192636,10722330,65760990,2001,NA
athens,2079,92143,6517650,16880780,2001,NA
auglaize,4712,223524,40378070,140340620,2001,NA
belmont,1947,92043,5694280,15903610,2001,NA
brown,4297,247706,30002050,108273600,2001,NA
butler,3624,149846,32764100,183836800,2001,NA
carroll,3488,150133,12286620,57005050,2001,reappraisal
champaign,5090,237548,41115900,181056460,2001,reappraisal
clark,3958,178222,38074840,113338110,2001,reappraisal
clermont,3966,140461,25299800,120425600,2001,NA
clinton,3591,221149,43556330,153531520,2001,NA
columbiana,3603,153407,16544100,76056780,2001,update
coshocton,4648,203430,14860330,78828820,2001,NA
crawford,5616,229818,31582160,160097080,2001,NA
cuyahoga,198,2837,1751270,13943350,2001,NA
darke,7138,348353,77893030,294907780,2001,NA
defiance,4728,230832,40112400,107501950,2001,NA
delaware,5102,174744,41520440,261758990,2001,NA
erie,2488,97309,19076260,79638280,2001,NA
fairfield,4921,221003,42652340,269957790,2001,reappraisal
fayette,3706,238716,50419630,162891430,2001,NA
franklin,2010,84460,30938010,161735350,2001,NA
fulton,5168,229667,47378660,162958680,2001,NA
gallia,3798,136953,10418780,24810800,2001,NA
geauga,2107,68467,10347430,67594160,2001,NA
greene,4102,177086,43174770,129955500,2001,NA
guernsey,3472,157028,11801680,32547580,2001,NA
hamilton,1202,29558,9827200,95132760,2001,NA
hancock,5907,294890,59744510,219745320,2001,update
hardin,5228,278087,51820370,140968050,2001,NA
harrison,1936,114198,7015720,20619780,2001,NA
henry,5415,245299,58394190,184804880,2001,NA
highland,6846,280186,38506820,107033770,2001,NA
hocking,668,54728,3870260,13440220,2001,update
holmes,5848,203097,28677990,120692480,2001,update
huron,8511,271556,38549430,156660070,2001,NA
jackson,1870,69616,4465610,13162520,2001,NA
jefferson,1709,83561,3942620,16846050,2001,NA
knox,5772,251722,35239930,119969e3,2001,NA
lake,1005,18432,4689330,29736270,2001,NA
lawrence,4293,110006,6331290,18961020,2001,update
licking,5454,259111,41470740,208079680,2001,NA
logan,4504,244055,36187750,130328890,2001,reappraisal
lorain,4605,143886,24298240,118304870,2001,NA
lucas,2732,68182,21960990,147933540,2001,NA
madison,2923,267926,59029520,173412140,2001,NA
mahoning,3460,105004,10988240,61860790,2001,NA
marion,4631,213596,41259470,123559350,2001,reappraisal
medina,4596,135835,31403690,194502700,2001,reappraisal
meigs,2143,74043,4410540,14623690,2001,update
mercer,5027,268659,51219450,276221520,2001,NA
miami,4434,206072,46112910,183439040,2001,reappraisal
monroe,2704,146607,7144930,22930020,2001,update
montgomery,3137,111529,30541320,115872370,2001,NA
morgan,4270,133567,8057400,22947550,2001,NA
morrow,3421,203205,29497690,110537320,2001,NA
muskingum,4663,201080,15977330,65678550,2001,NA
noble,2486,93980,6102010,17775870,2001,NA
ottawa,2970,110061,23036900,82100790,2001,NA
paulding,4080,245148,34327780,132151370,2001,update
perry,1610,102124,10934620,28987290,2001,NA
pickaway,5340,275573,58447560,172510160,2001,NA
pike,4129,168405,11668220,32500420,2001,NA
portage,3437,117882,16047e3,94334040,2001,NA
preble,4279,233604,49255320,181169150,2001,NA
putnam,8810,289007,54190100,201342970,2001,NA
richland,5866,219553,30746010,103523500,2001,NA
ross,4325,308424,34558160,99414250,2001,reappraisal
sandusky,4839,216555,41551880,114172990,2001,NA
scioto,5459,183580,11254770,42482210,2001,update
seneca,6304,318985,59371450,257512300,2001,NA
shelby,5623,231542,43909200,147199160,2001,NA
stark,5176,159846,31002110,157586090,2001,NA
summit,852,19730,6088180,36430690,2001,NA
trumbull,3048,135495,12492380,49039450,2001,NA
tuscarawas,8107,240426,22832190,112227680,2001,update
union,5352,239499,45670010,188910420,2001,reappraisal
van wert,4849,246080,53363850,184147280,2001,NA
vinton,852,62776,2250020,9231040,2001,NA
warren,3161,135958,26994220,175819080,2001,NA
washington,5589,169293,11653730,44790350,2001,update
wayne,6384,264362,43034140,181084990,2001,NA
williams,4511,234343,37963790,99957580,2001,NA
wood,9480,329732,73206860,271618510,2001,NA
wyandot,5468,233460,36318330,138553800,2001,reappraisal
adams,4509,252045,18877240,74683930,2002,NA
allen,4619,201636,40912110,129969190,2002,NA
ashland,4207,212449,25374720,152484080,2002,reappraisal
ashtabula,4235,194889,11209170,82799360,2002,reappraisal
athens,2167,97776,7111320,23752530,2002,reappraisal
auglaize,4740,223348,32880360,154204340,2002,update
belmont,2096,95670,6010640,16690720,2002,NA
brown,4387,246711,30048220,108303720,2002,NA
butler,3633,147749,31596330,240656970,2002,reappraisal
carroll,3619,152667,12507620,58021750,2002,NA
champaign,5239,238103,41196920,181385600,2002,NA
clark,3959,176096,37776680,112511830,2002,NA
clermont,4105,139896,21663450,134693260,2002,reappraisal
clinton,3669,220272,33365480,168890220,2002,update
columbiana,3705,155970,16785080,77199400,2002,NA
coshocton,4453,203501,14797650,78665460,2002,NA
crawford,5724,229598,31539260,159921320,2002,NA
cuyahoga,185,2399,1451550,11927620,2002,NA
darke,7226,348096,60939850,309510910,2002,update
defiance,4867,230425,30374060,130340680,2002,update
delaware,4949,171827,35500070,316792600,2002,update
erie,2584,98113,19363620,80918090,2002,NA
fairfield,4991,220860,42552550,267302050,2002,NA
fayette,3715,237855,50204110,162367180,2002,NA
franklin,1975,82287,28656310,185713210,2002,update
fulton,5175,229047,39061350,213504650,2002,reappraisal
gallia,3819,136003,10764040,27812950,2002,update
geauga,2193,69043,10414240,77744870,2002,update
greene,4135,176396,36956800,182954340,2002,reappraisal
guernsey,3523,157304,11952460,32768540,2002,NA
hamilton,1228,29561,9808010,108000940,2002,update
hancock,5950,293495,57561440,219041700,2002,NA
hardin,5242,277726,39070430,158804680,2002,update
harrison,2097,110432,6141140,24612560,2002,update
henry,5445,245574,46805260,206390480,2002,update
highland,6843,279602,38396030,106785820,2002,NA
hocking,705,55798,4050760,13841770,2002,NA
holmes,5837,203339,29197080,121175540,2002,NA
huron,8582,271329,38436920,156588440,2002,NA
jackson,1911,71093,4286900,14776620,2002,update
jefferson,1823,85764,4096480,17370720,2002,NA
knox,5864,252283,27090410,137804140,2002,reappraisal
lake,998,18382,4675730,29711950,2002,NA
lawrence,4358,110916,6457150,19211330,2002,NA
licking,5503,259288,36104790,244383320,2002,update
logan,4574,243900,36341880,130448640,2002,NA
lorain,4598,143134,24446620,117568130,2002,NA
lucas,2731,68259,21670680,147584580,2002,NA
madison,2986,267155,49157740,230567940,2002,reappraisal
mahoning,3494,105153,9089350,62049250,2002,update
marion,4612,212405,40983400,122938120,2002,NA
medina,4485,133468,31729300,190411810,2002,NA
meigs,2174,74640,4488340,14732470,2002,NA
mercer,5090,268557,39007360,276969500,2002,update
miami,4541,205948,46289470,184453770,2002,NA
monroe,2807,147107,7297720,23255800,2002,NA
montgomery,3142,111571,23774860,126466700,2002,reappraisal
morgan,4329,134499,8157840,23205100,2002,NA
morrow,3358,200682,23284820,126474800,2002,update
muskingum,4791,203670,16151590,66483710,2002,NA
noble,2503,93948,5873230,20955460,2002,reappraisal
ottawa,2942,109536,22804430,81591990,2002,NA
paulding,4121,244794,34254460,131954160,2002,NA
perry,1713,107135,8461520,32627200,2002,update
pickaway,5360,276025,45645510,199751110,2002,update
pike,4285,171500,10931380,36375880,2002,update
portage,3475,117734,16351820,94121230,2002,NA
preble,4305,233706,37645990,181435910,2002,update
putnam,8839,288558,40315620,221381760,2002,update
richland,5880,219160,25174480,118531180,2002,update
ross,4429,309085,34695020,100066100,2002,NA
sandusky,4830,215556,41361530,113708640,2002,NA
scioto,5674,188070,11903150,43710740,2002,NA
seneca,6341,318152,43900580,256602530,2002,update
shelby,5667,227550,34319630,155719790,2002,update
stark,5157,159192,30974980,156337350,2002,NA
summit,861,19314,5830160,41362670,2002,reappraisal
trumbull,3065,135188,11557010,54852910,2002,update
tuscarawas,8205,243892,23114450,113591440,2002,NA
union,5352,239050,46015800,188954800,2002,NA
van wert,4884,245870,40754520,198287040,2002,update
vinton,853,62100,2235710,9180530,2002,NA
warren,3148,133417,26807750,172901410,2002,NA
washington,5702,172203,12349810,47624170,2002,NA
wayne,6428,263881,42890970,211850350,2002,reappraisal
williams,4520,233668,37869130,99820260,2002,NA
wood,9519,329026,64449730,284698110,2002,update
wyandot,5490,233090,36247160,138281470,2002,NA
adams,4615,251454,18844560,74693520,2003,NA
allen,4642,201043,33557850,171808830,2003,reappraisal
ashland,4283,211448,25405610,151833780,2003,NA
ashtabula,4342,197425,11408380,84147690,2003,NA
athens,2202,98734,7159300,24078550,2003,NA
auglaize,4741,222591,32707970,153623580,2003,NA
belmont,2191,99113,5945840,19793560,2003,update
brown,4584,248764,25048980,125667570,2003,update
butler,3619,145604,31396790,234911640,2003,NA
carroll,3664,152515,12608370,58211200,2003,NA
champaign,5250,236875,41000140,180609610,2003,NA
clark,3963,177489,38157650,113252860,2003,NA
clermont,4189,139347,22030470,134979140,2003,NA
clinton,3791,219414,33375900,169517910,2003,NA
columbiana,3759,156421,16868180,77728970,2003,NA
coshocton,4510,203945,14768500,112522050,2003,reappraisal
crawford,5718,229397,22444640,168655030,2003,update
cuyahoga,186,2404,1530420,12693280,2003,update
darke,7260,347904,60925310,309574320,2003,NA
defiance,4850,230221,30358e3,130364070,2003,NA
delaware,5e3,170733,33490960,314980920,2003,NA
erie,2598,98340,15712550,93548810,2003,update
fairfield,4968,217972,42204910,260727490,2003,NA
fayette,3760,237583,37461730,168874970,2003,update
franklin,1936,79824,26571320,184848870,2003,NA
fulton,5189,228565,38768720,213214300,2003,NA
gallia,3952,139303,11001470,28408960,2003,NA
geauga,2209,68776,10436400,77741580,2003,NA
greene,4168,175995,36956030,183882620,2003,NA
guernsey,3589,158743,10236640,54968810,2003,reappraisal
hamilton,1211,29198,10029550,104299670,2003,NA
hancock,5927,292499,57345260,218345700,2003,NA
hardin,5271,277249,38950610,158501640,2003,NA
harrison,2174,117179,6366130,24847420,2003,NA
henry,5437,244561,46355850,205165920,2003,NA
highland,6864,278284,28739340,122694480,2003,update
hocking,744,58230,4275510,14512490,2003,NA
holmes,5862,202258,29353580,120720290,2003,NA
huron,8603,271037,27543e3,181751870,2003,update
jackson,1954,71998,4340730,14978450,2003,NA
jefferson,1906,89049,4843670,20178630,2003,update
knox,5967,253852,27208260,138340270,2003,NA
lake,973,18118,5335290,34532530,2003,update
lawrence,4362,110652,6506250,19238670,2003,NA
licking,5284,251083,35054300,237594290,2003,NA
logan,4653,243694,36384060,130535930,2003,NA
lorain,4619,143198,23799020,134619040,2003,update
lucas,2760,68147,19179780,155389160,2003,update
madison,3060,267713,49828080,230867430,2003,NA
mahoning,3508,105400,9120210,62592480,2003,NA
marion,4680,213077,41078790,123196890,2003,NA
medina,4506,131669,31373440,192363190,2003,NA
meigs,2155,73453,4452940,14530900,2003,NA
mercer,5115,268271,38949190,276551170,2003,NA
miami,4624,205254,46368270,184590440,2003,NA
monroe,2817,148587,7285290,23429220,2003,NA
montgomery,3166,111503,28491710,126715040,2003,NA
morgan,4348,133994,8648250,26222430,2003,update
morrow,3262,196977,26436480,123959130,2003,NA
muskingum,4897,204473,14590550,76089390,2003,update
noble,2600,95316,6019740,21184930,2003,NA
ottawa,2953,109461,17312320,85775770,2003,update
paulding,4163,244805,34267310,132027940,2003,NA
perry,1708,106179,8604970,32303220,2003,NA
pickaway,5366,274998,45923820,199859490,2003,NA
pike,4314,171484,10625810,36402050,2003,NA
portage,3478,117404,16638400,105627430,2003,update
preble,4352,233564,37540480,181388390,2003,NA
putnam,8897,288193,40194470,221023500,2003,NA
richland,5883,217349,25036120,117751670,2003,NA
ross,4524,307629,34598160,100234460,2003,NA
sandusky,4842,215984,32758380,157594500,2003,reappraisal
scioto,5748,192413,12273560,44727280,2003,NA
seneca,6268,316969,43574380,255599440,2003,NA
shelby,5696,226838,34192380,154109250,2003,NA
stark,5218,156211,27569840,146701150,2003,update
summit,888,18762,6081090,41765420,2003,NA
trumbull,3040,133956,11465140,54358010,2003,NA
tuscarawas,8134,241141,23034830,112476180,2003,NA
union,5405,237745,45720310,187714540,2003,NA
van wert,4918,245735,40620240,198076330,2003,NA
vinton,896,63776,2315670,10155050,2003,reappraisal
warren,3124,131691,22863680,255362990,2003,update
washington,5778,174460,12606160,45831360,2003,NA
wayne,6352,262474,37216570,209704320,2003,NA
williams,4522,232751,28635730,114362e3,2003,update
wood,9520,327980,64654790,284434670,2003,NA
wyandot,5507,232625,36153e3,137982450,2003,NA
adams,4714,252845,15854820,105885580,2004,reappraisal
allen,4711,201200,33610740,172555730,2004,NA
ashland,4352,210894,25709430,151800960,2004,NA
ashtabula,4457,198843,11472370,85136170,2004,NA
athens,2384,104138,7704660,25548810,2004,NA
auglaize,4726,221701,32757670,153274920,2004,NA
belmont,2260,99927,6098630,20111850,2004,NA
brown,4624,245803,24482400,124458140,2004,NA
butler,3609,144233,31531170,231590070,2004,NA
carroll,3688,153306,11149150,64202050,2004,update
champaign,5287,237027,26067120,196728390,2004,update
clark,3952,177593,26969350,124672180,2004,update
clermont,4334,138742,22291270,135021360,2004,NA
clinton,4060,220471,32983840,168068930,2004,NA
columbiana,3828,158216,13862430,89900110,2004,reappraisal
coshocton,4685,209263,15346690,115256750,2004,NA
crawford,5743,228820,22237e3,168170160,2004,NA
cuyahoga,191,2399,1542900,12883320,2004,NA
darke,7375,347704,60738150,309282520,2004,NA
defiance,4883,229895,30209730,130088310,2004,NA
delaware,4945,167342,31613970,301628270,2004,NA
erie,2667,98021,16571500,93076510,2004,NA
fairfield,5437,217909,32805870,281669380,2004,update
fayette,3799,237128,37345750,138824910,2004,NA
franklin,1910,78152,25313110,174741970,2004,NA
fulton,5192,227784,38644470,212551750,2004,NA
gallia,3903,137767,10980010,28277360,2004,NA
geauga,2279,68552,10755970,79023820,2004,NA
greene,4153,173856,36502050,182306530,2004,NA
guernsey,3775,166791,11600990,57438290,2004,NA
hamilton,1266,29646,10226380,105950950,2004,NA
hancock,5926,291656,32889690,256216770,2004,reappraisal
hardin,5284,276951,38862720,158301350,2004,NA
harrison,2200,116505,6392890,24966620,2004,NA
henry,5459,244287,46036010,204749520,2004,NA
highland,6841,276431,28714810,122222410,2004,NA
hocking,754,56819,4352230,16801070,2004,reappraisal
holmes,5930,202777,28575440,150637090,2004,reappraisal
huron,8540,269731,27226920,180852750,2004,NA
jackson,1973,72840,4404440,15153870,2004,NA
jefferson,1933,91022,4936450,20661850,2004,NA
knox,6007,254226,27473930,138640350,2004,NA
lake,961,17481,5149850,33062080,2004,NA
lawrence,4385,110555,8733610,33357880,2004,reappraisal
licking,5303,251274,35528210,241846880,2004,NA
logan,4705,242539,22710530,147480820,2004,update
lorain,4684,142310,23942890,134316750,2004,NA
lucas,2721,67596,18896340,151959580,2004,NA
madison,3129,266214,49912570,231245440,2004,NA
mahoning,3518,105899,9189370,63157540,2004,NA
marion,4677,212795,24263120,135048700,2004,update
medina,4473,128675,34639040,217795270,2004,update
meigs,2172,74466,4093260,16539750,2004,reappraisal
mercer,5151,267982,38932650,276191080,2004,NA
miami,4700,204976,31644300,193965310,2004,update
monroe,2889,149126,8630430,31726400,2004,reappraisal
