id,soil_series,texture,slope,erosion,drainage,prod_index,indx,cropland,woodland,year
ALLEGHENYL6-12SW,ALLEGHENY,L,6-12,S,W,68,indx_69,1080,230,2017
ALLEGHENYL8-15SW,ALLEGHENY,L,8-15,S,W,66,indx_69,900,230,2017
ALLEGHENY-MONONGAHELASIL2-5MW,ALLEGHENY-MONONGAHELA,SIL,2-5,M,W,65,indx_69,1070,230,2017
ALLEGHENY-MONONGAHELASIL2-5SW,ALLEGHENY-MONONGAHELA,SIL,2-5,S,W,67,indx_69,1370,370,2017
ALLEGHENYSIL10-15MW,ALLEGHENY,SIL,10-15,M,W,65,indx_69,680,230,2017
ALLEGHENYSIL10-15SW,ALLEGHENY,SIL,10-15,S,W,66,indx_69,900,230,2017
ALLEGHENYSIL12-18SW,ALLEGHENY,SIL,12-18,S,W,65,indx_69,680,230,2017
ALLEGHENYSIL2-6SW,ALLEGHENY,SIL,2-6,S,W,72,indx_79,1390,390,2017
ALLEGHENYSIL5-10MW,ALLEGHENY,SIL,5-10,M,W,67,indx_69,930,230,2017
ALLEGHENYSIL5-10SW,ALLEGHENY,SIL,5-10,S,W,69,indx_69,1080,230,2017
ALLEGHENYSIL6-12SW,ALLEGHENY,SIL,6-12,S,W,69,indx_69,1080,230,2017
"ALLEGHENY,SS-SUBSTSIL5-10SW","ALLEGHENY,SS-SUBST",SIL,5-10,S,W,69,indx_69,1080,230,2017
"ALLEGHENY,VL15-25SW","ALLEGHENY,V",L,15-25,S,W,55,indx_59,350,230,2017
"ALLEGHENY,VL8-15SW","ALLEGHENY,V",L,8-15,S,W,65,indx_69,1310,310,2017
ALLISCL0-2SP,ALLIS,CL,0-2,S,P,51,indx_59,350,230,2017
ALLISL0-2SP,ALLIS,L,0-2,S,P,53,indx_59,350,230,2017
ALLISSICL0-2SP,ALLIS,SICL,0-2,S,P,51,indx_59,350,230,2017
ALLISSICL2-6SP,ALLIS,SICL,2-6,S,P,50,indx_59,350,230,2017
ALLISSIL0-2SP,ALLIS,SIL,0-2,S,P,53,indx_59,350,230,2017
ALLISST-SIL0-2SP,ALLIS,ST-SIL,0-2,S,P,48,indx_49,350,230,2017
ALVADAL0-1SVP,ALVADA,L,0-1,S,VP,92,indx_99,3010,1210,2017
ALVADASICL0-1SVP,ALVADA,SICL,0-1,S,VP,91,indx_99,2880,1080,2017
AMANDAL12-18MW,AMANDA,L,12-18,M,W,61,indx_69,350,230,2017
AMANDAL18-25SW,AMANDA,L,18-25,S,W,55,indx_59,350,230,2017
"AMANDA-LOUDONVILLE,C12-20MW","AMANDA-LOUDONVILLE,C",,12-20,M,W,58,indx_59,350,230,2017
"AMANDA-LOUDONVILLE,C2-6MW","AMANDA-LOUDONVILLE,C",,2-6,M,W,69,indx_69,980,230,2017
"AMANDA-LOUDONVILLE,C6-12MW","AMANDA-LOUDONVILLE,C",,6-12,M,W,64,indx_69,660,230,2017
"AMANDA-OCKLEY,C12-20MW","AMANDA-OCKLEY,C",,12-20,M,W,63,indx_69,610,230,2017
"AMANDA-OCKLEY,C6-12MW","AMANDA-OCKLEY,C",,6-12,M,W,69,indx_69,1220,230,2017
AMANDASICL12-20SEW,AMANDA,SICL,12-20,SE,W,55,indx_59,350,230,2017
AMANDASICL6-12SEW,AMANDA,SICL,6-12,SE,W,63,indx_69,410,230,2017
AMANDASIL12-18MW,AMANDA,SIL,12-18,M,W,61,indx_69,350,230,2017
AMANDASIL12-20MW,AMANDA,SIL,12-20,M,W,61,indx_69,350,230,2017
AMANDASIL18-25MW,AMANDA,SIL,18-25,M,W,50,indx_59,350,230,2017
AMANDASIL18-25SW,AMANDA,SIL,18-25,S,W,55,indx_59,350,230,2017
AMANDASIL2-6MW,AMANDA,SIL,2-6,M,W,72,indx_79,1050,230,2017
AMANDASIL2-6SW,AMANDA,SIL,2-6,S,W,75,indx_79,1320,320,2017
AMANDASIL6-12MW,AMANDA,SIL,6-12,M,W,67,indx_69,740,230,2017
"AMANDA,VSIL12-18MW","AMANDA,V",SIL,12-18,M,W,58,indx_59,350,230,2017
"AMANDA,VSIL6-12MW","AMANDA,V",SIL,6-12,M,W,66,indx_69,1560,560,2017
"AMANDA-WOOSTER,C12-18MW","AMANDA-WOOSTER,C",,12-18,M,W,56,indx_59,350,230,2017
"AMANDA-WOOSTER,C2-6SW","AMANDA-WOOSTER,C",,2-6,S,W,70,indx_79,990,230,2017
"AMANDA-WOOSTER,C6-12MW","AMANDA-WOOSTER,C",,6-12,M,W,63,indx_69,350,230,2017
"AQUENTS,CLAYEY0-1SVP","AQUENTS,CLAYEY",,0-1,S,VP,0,indx_49,350,230,2017
"AQUENTS,NEARLY LEVEL0-2SVP","AQUENTS,NEARLY LEVEL",,0-2,S,VP,0,indx_49,350,230,2017
ARKPORTFS2-6SW,ARKPORT,FS,2-6,S,W,64,indx_69,980,230,2017
ARKPORTFS6-12SW,ARKPORT,FS,6-12,S,W,62,indx_69,750,230,2017
ARKPORTFSL0-6SW,ARKPORT,FSL,0-6,S,W,67,indx_69,1200,230,2017
ARKPORTFSL12-18SW,ARKPORT,FSL,12-18,S,W,55,indx_59,350,230,2017
ARKPORTFSL6-12SW,ARKPORT,FSL,6-12,S,W,63,indx_69,950,230,2017
ARKPORTLFS0-2SW,ARKPORT,LFS,0-2,S,W,67,indx_69,1200,230,2017
ARKPORTLFS12-18SW,ARKPORT,LFS,12-18,S,W,54,indx_59,350,230,2017
ARKPORTLFS2-6SW,ARKPORT,LFS,2-6,S,W,64,indx_69,980,230,2017
ARKPORTLFS6-12SW,ARKPORT,LFS,6-12,S,W,62,indx_69,750,230,2017
"ARKPORT,V.LFS0-2SW","ARKPORT,V.",LFS,0-2,S,W,65,indx_69,610,230,2017
"ARKPORT,V.LFS2-6SW","ARKPORT,V.",LFS,2-6,S,W,63,indx_69,350,230,2017
"ASHTON,OF-PHSIL0-2SW","ASHTON,OF-PH",SIL,0-2,S,W,81,indx_89,1770,770,2017
ASHTONSIL0-2SW,ASHTON,SIL,0-2,S,W,81,indx_89,1770,770,2017
