county,tangible_property_delinquent,real_property_delinquent,special_delinquent,total_delinquent,year
huron,1713703,1917538,110488,3741729,2002
jackson,757958,2836295,3569,3597822,2002
jefferson,6031171,6950608,3216689,16198468,2002
knox,126763,2436323,268111,2831197,2002
lake,11057387,52379526,1263009,64699922,2002
lawrence,181222,4694464,827976,5703662,2002
licking,1946777,6072346,761714,8780837,2002
logan,1344831,2851955,408076,4604862,2002
lorain,15216228,13397007,1541165,30154400,2002
lucas,15030685,30282734,5029566,50342985,2002
madison,59438,1488757,121247,1669442,2002
mahoning,21645462,47913876,12858145,82417483,2002
marion,994213,3360414,364319,4718946,2002
medina,1763543,7783562,368976,9916081,2002
meigs,69909,2340769,67643,2478321,2002
mercer,100212,763764,35657,899633,2002
miami,4133972,2794278,70390,6998640,2002
monroe,117094,634261,7448,758803,2002
montgomery,9043018,44993311,10783069,64819398,2002
morgan,6828,588234,9966,605028,2002
morrow,1155886,2379784,136660,3672330,2002
muskingum,2234520,6080131,970544,9285195,2002
noble,13350,1108820,9463,1131633,2002
ottawa,212958,2491692,380263,3084913,2002
paulding,113184,771689,85875,970748,2002
perry,882699,3303865,225614,4412178,2002
pickaway,357208,3466471,162277,3985956,2002
pike,2157102,2486266,208,4643576,2002
portage,925937,7196174,541228,8663339,2002
preble,651613,1885386,118289,2655288,2002
putnam,58340,456246,20500,535086,2002
richland,1858546,11289319,2046778,15194643,2002
ross,778545,1692300,41017,2511862,2002
sandusky,530933,2366006,132657,3029596,2002
scioto,441862,3024148,692036,4158046,2002
seneca,312304,1606818,84456,2003578,2002
shelby,1282348,885670,68862,2236880,2002
stark,10185329,17924770,5317585,33427684,2002
summit,16968312,32519757,5447106,54935175,2002
trumbull,14396031,13665803,1126004,29187838,2002
tuscarawas,793457,3316756,117373,4227586,2002
union,1327152,2095085,39032,3461269,2002
van wert,334689,708471,56760,1099920,2002
vinton,26275,808270,9700,844245,2002
warren,2686144,7354960,370878,10411982,2002
washington,551054,1974967,20388,2546409,2002
wayne,1162746,4339471,1114013,6616230,2002
williams,60541,1220514,132674,1413729,2002
wood,5743888,3557992,830391,10132271,2002
wyandot,113264,442034,11155,566453,2002
adams,209146,4897761,7353,5114259,2003
allen,1876792,3960902,2160939,7998633,2003
ashland,1058429,1919011,1400,2978839,2003
ashtabula,1005214,5634712,1720439,8360365,2003
athens,331194,3257977,137398,3726569,2003
auglaize,514679,994178,61436,1570293,2003
belmont,385802,4357397,628664,5371863,2003
brown,536424,2070834,318735,2925993,2003
butler,6100933,16078720,1281111,23460764,2003
carroll,400655,938957,84839,1424451,2003
champaign,301425,1881922,130682,2314029,2003
clark,3272716,7998618,1480914,12752248,2003
clermont,1847403,6441367,299258,8588028,2003
clinton,523714,2329907,67065,2920686,2003
columbiana,2714953,5091209,325621,8131783,2003
coshocton,297084,1973478,46815,2317377,2003
crawford,829827,1467587,28858,2326272,2003
cuyahoga,100696348,191325559,12654694,304676601,2003
darke,819980,1209901,13940,2043821,2003
defiance,332090,1582317,150527,2064934,2003
delaware,2325313,6536966,344031,9206310,2003
erie,1845351,5927044,929750,8702145,2003
fairfield,456365,5440960,597724,6495049,2003
fayette,835080,1045345,41400,1921825,2003
franklin,66512702,61531543,1784269,129828514,2003
fulton,365941,1299620,24365,1689926,2003
gallia,229098,1221993,54770,1505861,2003
geauga,3621543,5614032,368306,9603881,2003
greene,2632144,6760843,371714,9764701,2003
guernsey,980451,3249153,200068,4429672,2003
hamilton,25693082,65724757,1172745,92590584,2003
hancock,2048662,2510537,96420,4655619,2003
hardin,309152,1080341,105861,1495354,2003
harrison,155366,1339994,33714,1529074,2003
henry,1183976,1074370,56933,2315279,2003
highland,195670,1699953,209910,2105533,2003
hocking,502420,1788451,20051,2310922,2003
holmes,123976,1175028,22407,1321411,2003
huron,1066202,2357360,132931,3556493,2003
jackson,552902,2088291,3427,2644620,2003
jefferson,6585145,7201462,3162266,16948873,2003
knox,265816,2893810,270795,3430421,2003
lake,10388054,60515383,1443113,72346550,2003
lawrence,170989,3888068,681760,4740817,2003
licking,2189259,6904244,596812,9690315,2003
logan,2591401,2992610,505233,6089244,2003
lorain,19721113,13806374,1405380,34932867,2003
lucas,17491291,32691813,5009030,55192134,2003
madison,160356,1708272,47763,1916391,2003
mahoning,10581339,47181007,13137256,70899602,2003
marion,1384905,3562987,440623,5388515,2003
medina,2339529,8777141,358990,11475660,2003
meigs,76215,2453576,125468,2655259,2003
mercer,136729,732096,35323,904148,2003
miami,3015252,2831310,86793,5933355,2003
monroe,121954,760248,8100,890302,2003
montgomery,8623220,55220162,13449944,77293326,2003
morgan,1036,906283,15432,922751,2003
morrow,1019818,2799420,126028,3945266,2003
muskingum,2098062,6793502,1052179,9943743,2003
noble,20181,1168871,2914,1191966,2003
ottawa,680740,2651203,297638,3629581,2003
paulding,93122,810190,83668,986980,2003
perry,909169,3430887,246148,4586204,2003
pickaway,552200,3638336,123275,4313811,2003
pike,475352,2808602,8215,3292169,2003
portage,1678462,8223705,427868,10330035,2003
preble,878843,2062719,133922,3075484,2003
putnam,179522,544508,25542,749572,2003
richland,1814743,12009836,2228001,16052580,2003
ross,1273823,1877342,50846,3202011,2003
sandusky,811613,2597364,146938,3555915,2003
scioto,758167,3357717,758858,4874742,2003
seneca,333597,2262316,66e3,2661913,2003
shelby,1288494,1077128,83627,2449249,2003
stark,14332769,17498521,5502205,37333495,2003
summit,18430741,28113052,5059862,51603655,2003
trumbull,14042586,14389606,1192364,29624556,2003
tuscarawas,1104389,3640502,135887,4880778,2003
union,1370265,2122132,42218,3534615,2003
van wert,831544,732146,57594,1621284,2003
vinton,41228,787602,10290,839120,2003
warren,4773952,7284760,358925,12417637,2003
washington,616130,2105069,20854,2742053,2003
wayne,1485547,4466514,1151565,7103626,2003
williams,416553,1335318,140196,1892067,2003
wood,3355143,5148588,1219447,9723178,2003
wyandot,204356,450450,15520,670326,2003
adams,533200,1408239,6481,1947921,2004
allen,2795213,4159422,2372552,9327187,2004
ashland,741213,2143816,4822,2889851,2004
ashtabula,1220550,6363706,1849181,9433437,2004
athens,257453,3317072,158522,3733047,2004
auglaize,686817,1155857,58921,1901595,2004
belmont,403434,4251825,636417,5291676,2004
brown,440157,2145681,266379,2852217,2004
butler,4400279,17064495,1436354,22901128,2004
carroll,466624,993408,89758,1549790,2004
champaign,205132,1825202,141700,2172034,2004
clark,2950589,8417468,1113521,12481578,2004
clermont,1551112,7056456,210091,8817659,2004
clinton,738961,2442019,60605,3241585,2004
columbiana,2869129,5478458,233417,8581004,2004
coshocton,305518,1943077,32549,2281144,2004
crawford,961831,1856217,64156,2882204,2004
cuyahoga,120647334,183931784,13991646,318570764,2004
darke,490369,1274130,12495,1776994,2004
defiance,549028,1245420,136244,1930692,2004
delaware,2850248,7156525,258774,10265547,2004
erie,1658204,6598402,1071003,9327609,2004
fairfield,740536,6406611,628641,7775788,2004
fayette,740124,990323,66272,1796718,2004
franklin,62802143,51051528,2838478,116692149,2004
fulton,374682,1352672,90586,1817940,2004
gallia,295378,1910727,51068,2257173,2004
geauga,4618369,6204360,419400,11242129,2004
greene,2439869,6979117,424065,9843051,2004
guernsey,1021519,3383447,220686,4625652,2004
hamilton,25364013,66342789,2231898,93938700,2004
hancock,3239409,2241218,142151,5622778,2004
hardin,351513,1175496,131904,1658913,2004
harrison,164388,1387062,34832,1586282,2004
henry,189158,971587,50505,1211250,2004
highland,229940,1734773,203343,2168056,2004
hocking,725891,1801537,26751,2554179,2004
holmes,73952,1146447,7184,1227583,2004
huron,1063155,2184401,163698,3411254,2004
jackson,167670,2083382,12828,2263880,2004
jefferson,7075528,6733913,3055109,16864550,2004
knox,533095,2867037,218211,3618343,2004
lake,9782707,29773953,1492955,41049615,2004
lawrence,189250,3953081,681983,4824314,2004
licking,2031083,7119693,561750,9712526,2004
logan,2653629,2927250,527807,6108686,2004
lorain,5196319,14763498,1456799,21416616,2004
lucas,21296147,39960546,5406411,66663104,2004
madison,667404,1493721,41102,2202227,2004
mahoning,10217758,18929832,2463684,31611274,2004
marion,855477,3630107,387664,4873248,2004
medina,3817417,8263462,337360,12418239,2004
meigs,54978,2776257,133848,2965083,2004
mercer,275017,718651,46675,1040343,2004
miami,3146180,2739118,80466,5965764,2004
monroe,1449891,411946,11024,1872861,2004
montgomery,12752197,61966909,14498426,89217532,2004
morgan,4015,820636,22667,847318,2004
morrow,1137792,2433592,143744,3715128,2004
muskingum,1983274,6837660,1157873,9978807,2004
noble,36140,1156338,3288,1195766,2004
ottawa,977487,3081639,379999,4439125,2004
paulding,98534,871842,123702,1094078,2004
perry,946720,3564627,255896,4767243,2004
pickaway,1229692,3615764,112695,4958151,2004
pike,310439,3095776,9844,3416059,2004
portage,3216532,8141806,412178,11770516,2004
preble,878001,1894259,185698,2957958,2004
putnam,421763,638832,36535,1097130,2004
richland,1648202,11725958,2378361,15752521,2004
ross,1340331,2335269,57746,3733346,2004
sandusky,864113,1749565,151885,2765563,2004
scioto,664636,3966398,744316,5375350,2004
seneca,714978,1557645,95443,2368066,2004
shelby,2017215,1379930,79503,3476648,2004
stark,14951622,18222833,5629255,38803709,2004
summit,20717973,30023006,6278930,57019909,2004
trumbull,16923437,14579814,1096713,32599965,2004
tuscarawas,1296889,3720339,127444,5144672,2004
union,3717248,2264323,42907,6024478,2004
van wert,528780,857216,63847,1449843,2004
vinton,169877,1003924,10874,1184675,2004
warren,3997717,8107062,288990,12393769,2004
washington,1166287,2270915,27143,3464345,2004
wayne,1423661,5005869,104945,6534475,2004
williams,361281,1303869,114646,1779796,2004
wood,3875188,5288350,1596736,10760274,2004
wyandot,250609,478895,2545,732049,2004
adams,506344,1361369,6809,1874522,2005
allen,2389864,4772734,2377966,9540564,2005
ashland,813473,2463477,5271,3282222,2005
ashtabula,1998235,6558662,1920494,10477391,2005
athens,0,4058786,201414,4260200,2005
auglaize,909257,1326150,83774,2319181,2005
belmont,437345,4516845,726411,5680601,2005
brown,135387,2202140,293736,2631263,2005
butler,13498387,20926400,1739728,36164515,2005
carroll,81804,1087993,112455,1282252,2005
champaign,210997,1831170,160424,2202591,2005
clark,2826175,10440789,91296,13358260,2005
clermont,2074693,8012089,293572,10380355,2005
clinton,1185554,2346209,57214,3588977,2005
columbiana,2846620,6190418,240211,9277249,2005
coshocton,306388,2242189,43548,2592125,2005
crawford,2244655,1703293,58341,4006289,2005
cuyahoga,126369543,202453764,18511880,347335187,2005
darke,793382,1242018,17066,2052466,2005
defiance,1915711,1013464,93316,3022491,2005
delaware,2959174,8134402,304522,11398099,2005
erie,1082354,7312403,1236796,9631553,2005
fairfield,650021,7440202,697736,8787958,2005
fayette,751253,1202918,69952,2024122,2005
franklin,51839327,62680984,2067890,116588201,2005
fulton,367102,1741671,61986,2170758,2005
gallia,605984,1499661,54909,2160554,2005
geauga,5138126,6096609,404594,11639329,2005
greene,2480740,7740255,435662,10656657,2005
guernsey,943030,3511068,243796,4697894,2005
hamilton,55218831,74669369,3340412,133228611,2005
hancock,3800181,2511111,152997,6464289,2005
hardin,310109,1291666,140321,1742096,2005
harrison,156518,1499304,30105,1685927,2005
henry,169030,1249254,54180,1472464,2005
highland,271964,1921681,185315,2378960,2005
hocking,1006667,2048503,39983,3095153,2005
holmes,136748,1079360,9801,1225909,2005
huron,685522,2231158,163850,3080531,2005
jackson,703218,2169739,12773,2885729,2005
jefferson,2364975,7011245,3046998,12423218,2005
knox,297749,2500080,217669,3015498,2005
lake,13133670,26913919,1477947,41525536,2005
lawrence,170602,4703892,752221,5626715,2005
licking,1384082,7326184,499981,9210247,2005
logan,590192,3091886,545309,4227386,2005
lorain,9256998,16747601,1522323,27526922,2005
lucas,26152967,48117477,6308167,80578612,2005
madison,177498,1798321,36108,2011927,2005
mahoning,11913284,16202825,1684876,29800985,2005
marion,1780419,4455530,421905,6657854,2005
medina,4327561,9429976,313528,14071064,2005
meigs,49474,2933793,139823,3123090,2005
mercer,208974,986402,45659,1241034,2005
miami,2538610,3181116,101292,5821018,2005
monroe,265043,777839,131598,1174480,2005
montgomery,11842447,66851304,16110429,94804180,2005
morgan,0,946653,16945,963598,2005
morrow,1262619,2672627,163973,4099220,2005
muskingum,2356837,7054142,1281872,10692851,2005
noble,12838,1307956,3119,1323913,2005
ottawa,1256760,4061732,408162,5726654,2005
paulding,72893,1102243,97601,1272736,2005
perry,941010,4081913,281695,5304618,2005
pickaway,590743,3665298,119556,4375597,2005
pike,1548605,2565115,4449,4118168,2005
portage,3160476,9701705,502483,13364664,2005
preble,834668,1967041,245249,3046958,2005
putnam,419954,659718,67178,1146850,2005
richland,1745084,12295985,2491053,16532123,2005
ross,1493714,2623854,71607,4189175,2005
sandusky,2252694,3309976,169629,5732299,2005
scioto,897800,4196237,886173,5980210,2005
