county,tangible_property_delinquent,real_property_delinquent,special_delinquent,total_delinquent,year
portage,NA,12870737,1076683,13947420,2014
preble,NA,2342e3,560918,2902919,2014
putnam,NA,749616,139949,889565,2014
richland,NA,15265921,3162077,18427998,2014
ross,NA,4089718,143299,4233017,2014
sandusky,NA,4041373,505544,4546917,2014
scioto,NA,10569545,1494532,12064077,2014
seneca,NA,3587334,379075,3966409,2014
shelby,NA,1849151,183797,2032948,2014
stark,NA,27435026,11566651,39001676,2014
summit,NA,75275943,41321934,116597877,2014
trumbull,NA,36137611,4730623,40868235,2014
tuscarawas,NA,5352256,622425,5974680,2014
union,NA,3741085,232904,3973988,2014
van wert,NA,656542,70678,727220,2014
vinton,NA,2411770,79927,2491697,2014
warren,NA,11142141,699453,11841594,2014
washington,NA,2859619,150153,3009772,2014
wayne,NA,6757657,578528,7336185,2014
williams,NA,2196628,125393,2322021,2014
wood,NA,6247325,5177405,11424730,2014
wyandot,NA,1092971,46538,1139509,2014
adams,143215,411199,0,554414,1987
allen,1330443,1255600,340314,2926357,1987
ashland,282819,707031,4129,993979,1987
ashtabula,1813557,2239590,699087,4752233,1987
athens,394400,779948,24496,1198843,1987
auglaize,670084,501864,38484,1210432,1987
belmont,1166439,1668338,230122,3064900,1987
brown,162845,1054539,4154,1221537,1987
butler,6571966,5859538,660341,13091845,1987
carroll,498760,996544,35986,1531290,1987
champaign,281862,882396,10167,1174425,1987
clark,1023761,2374273,507260,3905293,1987
clermont,427795,2896172,120853,3444820,1987
clinton,215552,715007,16597,947156,1987
columbiana,2769595,3020480,155571,5945646,1987
coshocton,615e3,409788,8028,1032816,1987
crawford,566996,987198,8809,1563003,1987
cuyahoga,48468852,66970897,14516184,129955934,1987
darke,266337,687918,10993,965248,1987
defiance,703024,429041,30953,1163018,1987
delaware,893764,1621332,14650,2529746,1987
erie,1274893,1442112,218236,2935241,1987
fairfield,590912,1376146,16138,1983195,1987
fayette,139499,286592,46737,472829,1987
franklin,10668887,17179783,1493725,29342395,1987
fulton,2927756,367177,29304,3324238,1987
gallia,362317,360460,450,723228,1987
geauga,711405,2888785,158597,3758786,1987
greene,604389,2067911,293553,2965853,1987
guernsey,729828,1553506,33670,2317004,1987
hamilton,17331673,16250444,934950,34517067,1987
hancock,1161959,647908,79020,1888888,1987
hardin,158257,663235,32692,854185,1987
harrison,162919,405396,4949,573264,1987
henry,156645,226342,205761,588748,1987
highland,97468,674779,12105,784352,1987
hocking,86511,504401,6714,597626,1987
holmes,425264,855287,12493,1293045,1987
huron,711996,824210,21353,1557559,1987
jackson,46060,731201,16923,794184,1987
jefferson,6216570,3873381,658958,10748908,1987
knox,261745,2165339,1089968,3517052,1987
lake,6737332,6661212,2477806,15876350,1987
lawrence,245156,1688552,416e3,2349708,1987
licking,1978597,2432670,107975,4519242,1987
logan,580976,870356,118930,1570263,1987
lorain,4400996,6315503,1536341,12252841,1987
lucas,8647014,15065443,6343885,30056342,1987
madison,84547,636466,15465,736478,1987
mahoning,10057559,17762461,2323367,30143387,1987
marion,866610,1420854,127984,2415448,1987
medina,2340943,3461167,1015500,6817610,1987
meigs,96394,746181,0,842575,1987
mercer,116539,327161,17484,461184,1987
miami,530606,1001938,23269,1555813,1987
monroe,1200804,196421,1942,1399166,1987
montgomery,11273858,15321283,4273215,30868356,1987
morgan,54935,232482,0,287417,1987
morrow,144250,1544473,3341,1692064,1987
muskingum,2745040,1972540,147820,4865400,1987
noble,102787,432160,16958,551905,1987
ottawa,2758132,1048166,140012,3946311,1987
paulding,84542,406915,32524,523981,1987
perry,440931,889308,15779,1346018,1987
pickaway,300167,1219367,38754,1558288,1987
pike,224361,717992,39,942392,1987
portage,1920365,4859710,828642,7608716,1987
preble,180189,1204602,276226,1661018,1987
putnam,70380,229075,6572,306027,1987
richland,1702500,3700233,384456,5787189,1987
ross,680135,1363700,22301,2066136,1987
sandusky,419628,424865,44410,888904,1987
scioto,667524,1494559,52645,2214728,1987
seneca,356348,505683,78496,940527,1987
shelby,224292,303029,13836,541157,1987
stark,6622461,7852703,1676155,16151320,1987
summit,12264259,18846929,3207863,34319051,1987
trumbull,7798792,8068373,735125,16602290,1987
tuscarawas,1308192,1124348,52110,2484650,1987
union,156590,528342,28708,713640,1987
van wert,89296,177786,2036,269118,1987
vinton,13285,174482,0,187767,1987
warren,544095,1994903,102665,2641662,1987
washington,477730,1304676,27990,1810395,1987
wayne,1137971,1341372,15564,2494908,1987
williams,104419,274437,16204,395060,1987
wood,1648109,1361082,508458,3517649,1987
wyandot,155121,226763,5501,387385,1987
adams,125547,387139,0,512686,1988
allen,1367116,1239252,369543,2975910,1988
ashland,302645,914097,4257,1220999,1988
ashtabula,1432957,2424032,933056,4790045,1988
athens,275890,1012624,19853,1308368,1988
auglaize,709564,550181,41344,1301090,1988
belmont,1287648,1860760,253085,3401493,1988
brown,150679,1079777,1571,1232027,1988
butler,7587855,5172677,795316,13555849,1988
carroll,322899,387139,0,710038,1988
champaign,959808,765696,10201,1735705,1988
clark,1093292,2645126,591086,4329504,1988
clermont,581356,3135482,110084,3826921,1988
clinton,267487,689304,10895,967686,1988
columbiana,2756634,3245305,171297,6173236,1988
coshocton,401844,444858,15234,861935,1988
crawford,912221,917584,12215,1842020,1988
cuyahoga,50012435,71767230,16295988,138075654,1988
darke,385044,798451,12321,1195816,1988
defiance,100652,394902,31040,526594,1988
delaware,377588,1668154,10544,2056285,1988
erie,1185886,1439829,229288,2855002,1988
fairfield,0,1442702,25566,1468268,1988
fayette,120604,307912,43442,471957,1988
franklin,12046185,19923554,1560225,33529964,1988
fulton,3282114,396205,22919,3701239,1988
gallia,388251,409437,885,798573,1988
geauga,599101,3376971,185081,4161153,1988
greene,829874,2389189,333169,3552232,1988
guernsey,1212271,1821085,48255,3081612,1988
hamilton,16420282,18689302,928410,36037993,1988
hancock,867029,740235,112021,1719285,1988
hardin,121242,618111,26500,765853,1988
harrison,154814,447068,6455,608338,1988
henry,122323,271284,181072,574679,1988
highland,112198,738016,12813,863028,1988
hocking,165247,485498,6996,657741,1988
holmes,376632,1022073,15042,1413747,1988
huron,933845,939030,23197,1896072,1988
jackson,62041,865694,18374,946109,1988
jefferson,6685247,4052616,830346,11568209,1988
knox,262764,1866742,1144980,3274485,1988
lake,1521425,36335272,2954863,40811560,1988
lawrence,137407,1661632,503568,2302607,1988
licking,1483004,2903689,132854,4519546,1988
logan,399628,959172,197478,1556278,1988
lorain,4064109,6335326,1716113,12115548,1988
lucas,12042896,17731680,6896108,36670685,1988
madison,0,764051,17554,781604,1988
mahoning,10527750,18327146,2980396,31835292,1988
marion,866610,1445265,187879,2499754,1988
medina,124844,3315204,1017556,4457604,1988
meigs,83395,818958,0,902353,1988
mercer,93030,421448,27777,542255,1988
miami,1025392,1110523,28231,2164146,1988
monroe,1285366,265155,2075,1552595,1988
montgomery,8281402,16711584,5041930,30034915,1988
morgan,4163,268364,0,272527,1988
morrow,22766,1805559,4060,1832385,1988
muskingum,2082720,2066046,188415,4337181,1988
noble,113362,505321,20756,639439,1988
ottawa,417873,976687,107284,1501844,1988
paulding,36876,354078,15535,406488,1988
perry,0,1019763,18840,1038603,1988
pickaway,404069,1300430,38276,1742774,1988
pike,176373,825138,87,1001598,1988
portage,2024659,5431042,1165693,8621394,1988
preble,127622,1343837,350121,1821580,1988
putnam,86510,225272,5001,316783,1988
richland,1403237,4251479,462672,6117387,1988
ross,733219,1377337,31185,2141741,1988
sandusky,298921,454473,54294,807687,1988
scioto,860632,1664439,67818,2592889,1988
seneca,345446,608566,62039,1016050,1988
shelby,227477,277110,11831,516419,1988
stark,6987930,8485043,1971370,17444343,1988
summit,12873800,19134205,3444799,35452803,1988
trumbull,8428911,8575418,864820,17869148,1988
tuscarawas,1034650,1102259,53123,2190032,1988
union,168273,528632,19584,716489,1988
van wert,111458,176929,1863,290250,1988
vinton,13073,163624,0,176696,1988
warren,483983,2125149,115298,2724430,1988
washington,487828,1263365,18545,1769739,1988
wayne,654711,1710111,19029,2383851,1988
williams,135654,443818,18446,597918,1988
wood,1613809,1699351,246057,3559216,1988
wyandot,165846,222318,6426,394590,1988
adams,127710,361205,0,488915,1989
allen,1688191,1217916,397993,3304099,1989
ashland,378920,1038864,7108,1424892,1989
ashtabula,2338700,2639026,1184245,6161971,1989
athens,213968,953034,22412,1189414,1989
auglaize,275781,622336,42552,940669,1989
belmont,1066269,2027075,225577,3318921,1989
brown,7531,1188146,8377,1204054,1989
butler,9000192,5835739,670050,15505981,1989
carroll,206728,1096680,35255,1338662,1989
champaign,303261,854476,15757,1173494,1989
clark,1340091,2687923,677449,4705464,1989
clermont,594555,6295827,124758,7015140,1989
clinton,200398,811238,13981,1025617,1989
columbiana,3626377,3705037,173866,7505280,1989
coshocton,460205,556088,17403,1033697,1989
crawford,1353716,1137542,11573,2502831,1989
cuyahoga,33931880,68237081,17910521,120079481,1989
darke,261261,876204,17080,1154544,1989
defiance,102522,472050,34760,609332,1989
delaware,476076,1894372,17918,2388366,1989
erie,1169443,1833228,255578,3258250,1989
fairfield,479103,1640050,40618,2159771,1989
fayette,99392,327342,42622,469356,1989
franklin,13508661,24117601,1696474,39322736,1989
fulton,939014,436691,8671,1384377,1989
gallia,404837,477014,2069,883919,1989
geauga,669772,2949657,203455,3822884,1989
greene,1311561,2902407,417873,4631841,1989
guernsey,1212271,1941939,65223,3219432,1989
hamilton,24259429,21212955,917451,46389835,1989
hancock,1076483,877524,93234,2047240,1989
hardin,52657,NA,NA,52657,1989
harrison,143390,581577,8526,733493,1989
henry,63316,313411,90757,467483,1989
highland,74099,636035,9650,719784,1989
hocking,134902,539853,5712,680468,1989
holmes,366605,996419,24856,1387880,1989
huron,346310,1427675,24402,1798387,1989
jackson,21306,1020210,20153,1061670,1989
jefferson,7284384,4408929,963684,12656997,1989
knox,273564,2042202,1263582,3579349,1989
lake,6102847,87306e3,2466259,95875107,1989
lawrence,358547,1992765,565193,2916505,1989
licking,972239,3173518,208695,4354452,1989
logan,352416,1169362,268288,1790066,1989
lorain,4274237,7157606,1801721,13233564,1989
lucas,8250986,21165302,8046630,37462917,1989
madison,171941,734045,11448,917434,1989
mahoning,9956910,21689061,3709651,35355622,1989
marion,2246321,1260887,214452,3721660,1989
medina,677009,3559078,1213805,5449891,1989
meigs,146251,946989,11192,1104431,1989
mercer,95642,431070,33895,560607,1989
miami,761308,1320924,35703,2117935,1989
monroe,1713427,318947,3347,2035721,1989
montgomery,9726215,20158723,5704596,35589534,1989
morgan,33564,310933,0,344497,1989
morrow,17435,1948546,4702,1970683,1989
muskingum,2457894,2447497,206789,5112180,1989
noble,151856,586320,24369,762546,1989
ottawa,464982,1130781,141144,1736907,1989
paulding,87178,401789,10066,499033,1989
perry,971857,1180355,23242,2175455,1989
pickaway,280729,1468279,41688,1790697,1989
pike,183453,935879,96,1119429,1989
portage,2952544,4817271,1223964,8993779,1989
preble,127512,1242363,380192,1750068,1989
putnam,70902,262902,7850,341653,1989
richland,1716631,4908045,626042,7250718,1989
ross,735618,1736725,38462,2510805,1989
sandusky,555874,507345,51753,1114971,1989
scioto,642644,1696983,80034,2419661,1989
seneca,397797,1127877,53512,1579187,1989
shelby,254604,347979,17128,619711,1989
stark,7539739,9849426,2374307,19763472,1989
summit,12879831,22891551,3859444,39630826,1989
trumbull,7134364,9762118,950386,17846868,1989
tuscarawas,1547172,1332531,60102,2939805,1989
union,141910,602757,17004,761671,1989
van wert,145599,281345,3655,430599,1989
vinton,17873,210534,0,228407,1989
warren,907821,2434727,130915,3473464,1989
washington,493061,1201004,15192,1709257,1989
wayne,798942,1891347,18798,2709087,1989
williams,165448,503306,24424,693178,1989
wood,754433,2548137,270146,3572716,1989
wyandot,225806,249142,3477,478425,1989
adams,128524,391936,0,520460,1990
allen,1582942,1336831,384800,3304573,1990
ashland,367802,1070095,10506,1448403,1990
ashtabula,1618747,2898180,1482904,5999832,1990
athens,249826,999577,23138,1272541,1990
auglaize,333465,640940,47420,1021825,1990
belmont,1453441,2200979,215924,3870344,1990
brown,69516,967015,8412,1044944,1990
butler,9733510,6209085,522260,16464855,1990
carroll,217767,1086686,34057,1338509,1990
champaign,285729,935046,16626,1237401,1990
clark,1739949,3364516,711417,5815882,1990
clermont,606432,7165181,57134,7828746,1990
clinton,921619,786491,13518,1721628,1990
columbiana,3507003,3510827,156104,7173934,1990
coshocton,367678,569955,22066,959698,1990
crawford,625822,1099580,17559,1742961,1990
cuyahoga,37485859,71849727,18420793,127756379,1990
darke,152845,969574,21110,1143529,1990
defiance,109219,579298,42584,731101,1990
delaware,567209,2360556,27085,2954851,1990
erie,639559,1795966,297413,2732938,1990
fairfield,642761,2088671,52857,2784288,1990
fayette,122987,344699,50393,518078,1990
franklin,15927124,30176290,1975973,48079387,1990
fulton,137407,493021,11115,641543,1990
gallia,313183,463264,4745,781192,1990
geauga,677332,3018354,217413,3913099,1990
greene,569739,2794767,446370,3810876,1990
guernsey,1096006,2137653,84864,3318523,1990
hamilton,18703292,25686343,944443,45334078,1990
hancock,945007,874302,84933,1904242,1990
hardin,62015,NA,NA,62015,1990
harrison,229782,585913,16785,832480,1990
henry,59873,363070,28955,451899,1990
highland,127807,616524,8912,753243,1990
hocking,159270,572948,5016,737235,1990
holmes,407418,936713,35408,1379539,1990
huron,578155,1084383,26448,1688986,1990
jackson,7448,1039762,22532,1069741,1990
jefferson,8152104,4644311,1053106,13849520,1990
knox,327512,2445738,1231815,4005065,1990
lake,6610087,6973571,2158219,15741877,1990
lawrence,151952,2049505,584845,2786302,1990
licking,912288,3518327,245058,4675673,1990
logan,390800,1151367,324495,1866662,1990
lorain,4423931,7200027,1985544,13609502,1990
lucas,7335165,23026095,9710229,40071489,1990
madison,270845,844769,12865,1128479,1990
mahoning,9802475,23074176,4415408,37292059,1990
marion,1083653,1257535,210672,2551860,1990
medina,2143390,3548024,1365078,7056492,1990
meigs,538058,927763,8277,1474098,1990
mercer,53612,509330,33369,596311,1990
miami,1205727,1261490,37397,2504614,1990
monroe,1292402,264772,3356,1560530,1990
montgomery,10101351,23033342,6665831,39800524,1990
morgan,23067,332164,1428,356658,1990
morrow,137325,1881089,3693,2022107,1990
muskingum,2325206,2698431,243328,5266964,1990
noble,252038,654825,18744,925608,1990
ottawa,426225,1162298,119425,1707948,1990
paulding,99809,446657,9848,556313,1990
perry,1028423,1370897,29078,2428397,1990
pickaway,170957,1645427,45248,1861632,1990
pike,241292,970842,102,1212235,1990
portage,2228397,4601786,1448614,8278797,1990
preble,91841,1196845,452593,1741280,1990
putnam,69537,248507,21982,340027,1990
richland,1591914,4982027,566363,7140304,1990
ross,738306,1467265,41981,2247551,1990
sandusky,509810,969641,74893,1554344,1990
scioto,466144,1620927,96108,2183179,1990
seneca,329391,738511,81085,1148987,1990
shelby,242073,533805,19465,795342,1990
stark,8450698,9512026,2773905,20736629,1990
summit,11945077,26244675,4002145,42191896,1990
trumbull,9609386,9621463,1182632,20413481,1990
tuscarawas,1041729,1545380,82530,2669638,1990
union,238975,727421,22087,988483,1990
van wert,232385,335308,2612,570305,1990
vinton,18988,204277,0,223264,1990
warren,912779,2592055,166930,3671763,1990
washington,600837,1539141,13511,2153489,1990
wayne,684281,1447106,66025,2197412,1990
williams,216729,551724,16959,785413,1990
wood,780957,2306835,312457,3400249,1990
wyandot,163314,265509,4997,433820,1990
adams,134761,399078,0,533838,1991
allen,2006240,1718579,374336,4099156,1991
ashland,440218,1202056,11185,1653459,1991
ashtabula,1572517,3424825,1806260,6803602,1991
athens,309208,1415127,63392,1787727,1991
auglaize,251286,759731,47267,1058284,1991
belmont,867097,2418238,226172,3511507,1991
brown,29185,769660,19817,818662,1991
butler,1904796,7696456,529864,10131116,1991
carroll,188013,1153053,41983,1383049,1991
champaign,611677,957482,17908,1587068,1991
clark,2119132,3613288,588101,6320521,1991
clermont,629891,8515419,55341,9200652,1991
clinton,930506,803339,23533,1757378,1991
columbiana,3752057,3732514,158940,7643511,1991
coshocton,457506,648559,20973,1127037,1991
crawford,486659,1196827,16779,1700265,1991
cuyahoga,39197992,79286126,18908646,137392763,1991
darke,244786,1139792,23502,1408080,1991
defiance,129288,564752,63815,757855,1991
delaware,1007532,2488714,36982,3533228,1991
erie,882903,1984139,329075,3196117,1991
fairfield,807038,3282843,61891,4151772,1991
fayette,109457,385983,66222,561663,1991
franklin,14440758,35272958,2554942,52268658,1991
fulton,488083,623143,16091,1127317,1991
gallia,179022,598767,6265,784054,1991
geauga,695159,3797319,253002,4745480,1991
greene,641493,3249958,457376,4348827,1991
guernsey,995984,2186319,98162,3280465,1991
hamilton,20409099,29924517,1208342,51541958,1991
hancock,1713888,918187,52713,2684789,1991
hardin,77651,NA,NA,77651,1991
harrison,254902,745247,29313,1029461,1991
henry,70374,341802,37405,449582,1991
highland,168610,594902,6488,77e4,1991
hocking,144661,619287,5213,769160,1991
holmes,520229,1037094,30856,1588180,1991
huron,837068,1291264,23150,2151482,1991
jackson,26924,1298557,24967,1350447,1991
jefferson,4875460,5099024,1210793,11185277,1991
knox,240900,2265568,1329139,3835607,1991
lake,6289139,7877705,2291691,16458535,1991
lawrence,123830,2405133,635498,3164461,1991
licking,1005597,3774617,261126,5041341,1991
logan,429145,1195428,361544,1986116,1991
lorain,3544034,6976882,2266613,12787529,1991
lucas,8922894,26674828,10958853,46556575,1991
madison,158818,982648,15038,1156505,1991
mahoning,7286794,26360246,4957857,38604897,1991
marion,927592,1326623,194087,2448302,1991
medina,2260474,3890593,1574185,7725252,1991
meigs,105123,994897,10643,1110662,1991
mercer,66846,543041,30645,640532,1991
miami,1380653,1313822,55002,2749477,1991
monroe,1307171,279934,4519,1591624,1991
montgomery,9152790,27661413,6878772,43692974,1991
morgan,26714,357178,1589,385481,1991
morrow,30279,1971790,4092,2006161,1991
muskingum,2307184,3207512,356283,5870978,1991
noble,113237,885762,8122,1007121,1991
ottawa,456038,1381619,151165,1988822,1991
paulding,78707,543571,8880,631157,1991
perry,986645,1708236,33063,2727943,1991
pickaway,270611,1950046,45260,2265917,1991
pike,244922,1060459,468,1305849,1991
portage,2587723,4637577,1424912,8650213,1991
preble,100628,1254498,592894,1948020,1991
putnam,238518,272945,22552,534014,1991
richland,2157806,6394659,734105,9286570,1991
ross,914170,1257572,62711,2234452,1991
sandusky,1008275,1110055,96920,2215250,1991
scioto,559980,1746858,146735,2453573,1991
seneca,337120,875217,102935,1315272,1991
shelby,217114,524874,37346,779334,1991
stark,3676577,11359473,3251244,18287294,1991
summit,12626123,30196431,4547354,47369909,1991
trumbull,3414153,9828151,1160505,14402809,1991
tuscarawas,1171098,1534627,99415,2805140,1991
union,235867,784357,23790,1044014,1991
van wert,171085,356693,4461,532239,1991
vinton,12643,229971,0,242614,1991
warren,1036720,2988243,251132,4276096,1991
washington,1916680,1428432,15168,3360280,1991
wayne,606773,1992338,71347,2670458,1991
williams,189947,528825,24580,743352,1991
wood,1479960,2721950,377458,4579367,1991
wyandot,132811,281449,4067,418327,1991
adams,318324,434400,2521,755245,1992
allen,2160359,1915935,394501,4470795,1992
ashland,309662,927766,1439,1238868,1992
ashtabula,1675584,3402868,2068993,7147445,1992
athens,351131,1356209,55327,1762667,1992
auglaize,249916,783883,96068,1129868,1992
belmont,772544,2343609,231475,3347627,1992
brown,181949,849667,37004,1068620,1992
butler,2779302,6212841,359086,9351229,1992
carroll,5449,557491,40075,603015,1992
champaign,459233,1206684,14025,1679942,1992
clark,1715168,3843384,403588,5962141,1992
clermont,686744,7681762,49011,8417516,1992
clinton,1288231,840690,19683,2148603,1992
columbiana,4071614,3690985,161826,7924425,1992
coshocton,554420,735236,13143,1302798,1992
crawford,527391,1265701,18696,1811788,1992
cuyahoga,40514583,88276717,17839731,146631031,1992
darke,177068,1153219,22034,1352322,1992
defiance,140254,512366,54143,706762,1992
delaware,913990,2884216,42931,3841137,1992
erie,1033130,2317917,391748,3742795,1992
fairfield,1046830,2519945,71776,3638550,1992
fayette,102781,507644,77714,688139,1992
franklin,16778518,37033656,2978186,56790359,1992
fulton,142303,558412,16403,717118,1992
gallia,311562,650412,7642,969616,1992
geauga,933751,3363773,279632,4577156,1992
greene,685757,3267229,391549,4344536,1992
guernsey,1036134,2363753,116648,3516534,1992
hamilton,21851659,34566475,1207256,57625389,1992
hancock,1543290,847816,30981,2422087,1992
hardin,125957,607090,20079,753126,1992
harrison,104733,867932,36772,1009438,1992
henry,41484,370918,45814,458216,1992
highland,88070,586068,4994,679132,1992
hocking,185535,859942,4940,1050418,1992
holmes,431801,983145,27093,1442038,1992
huron,858409,1241593,19181,2119183,1992
jackson,20382,1405206,20661,1446249,1992
jefferson,4679748,5659978,1356383,11696109,1992
knox,165918,1723039,965598,2854555,1992
lake,4844032,7441465,2485436,14770932,1992
lawrence,139590,2315288,776788,3231666,1992
licking,1130919,3837319,263614,5231852,1992
logan,599156,1360808,367768,2327732,1992
lorain,3521914,6607888,2562558,12692361,1992
lucas,9303866,31262878,10788744,51355488,1992
madison,90420,886854,12641,989915,1992
mahoning,8887005,28072832,5353054,42312891,1992
marion,907291,1577963,219258,2704512,1992
medina,2148414,4019521,1763824,7931759,1992
meigs,140740,972840,11769,1125350,1992
mercer,149150,578776,45874,773800,1992
miami,1146088,1123231,56455,2325774,1992
monroe,3545244,293904,8060,3847208,1992
montgomery,14839503,28149379,6583690,49572573,1992
morgan,34907,471909,0,506815,1992
morrow,29031,1981783,5775,2016589,1992
muskingum,2662493,3469510,305331,6437334,1992
noble,101113,730066,6887,838066,1992
ottawa,752448,1506460,257489,2516397,1992
paulding,81792,498242,15185,595219,1992
perry,1014527,1943017,53892,3011436,1992
pickaway,273709,1720531,48398,2042637,1992
pike,19208,1134304,569,1154082,1992
portage,2813674,4726703,697841,8238218,1992
preble,134278,1353002,707871,2195152,1992
putnam,249010,312014,24894,585917,1992
richland,2367326,5982085,842208,9191619,1992
ross,751027,1160835,49884,1961746,1992
sandusky,655818,1066545,89789,1812152,1992
scioto,410717,1800243,176848,2387809,1992
seneca,433745,886649,131006,1451400,1992
shelby,385395,661187,91297,1137879,1992
stark,4116302,12136164,3585684,19838151,1992
summit,14926559,27976714,4394019,47297291,1992
trumbull,6614765,10867489,1163487,18645740,1992
tuscarawas,1413341,1744917,102586,3260844,1992
union,481308,877060,30852,1389220,1992
van wert,182968,428658,5183,616808,1992
vinton,16593,290670,0,307264,1992
warren,908757,3177055,342740,4428552,1992
washington,682625,1299062,20685,2002372,1992
wayne,845623,2288137,134135,3267895,1992
williams,187628,528964,24983,741575,1992
wood,1097138,2608624,344860,4050621,1992
wyandot,172209,353694,2940,528843,1992
adams,322594,508226,1469,832289,1993
allen,1825017,1847220,467639,4139876,1993
ashland,155242,902944,3853,1062038,1993
ashtabula,1393380,3457764,2384359,7235503,1993
athens,375195,1430602,42778,1848576,1993
auglaize,304075,896539,102347,1302961,1993
belmont,635359,2071440,187284,2894082,1993
brown,15928,928854,48470,993252,1993
butler,2662690,5081443,304282,8048415,1993
carroll,126786,494846,44444,666076,1993
champaign,257909,962820,15759,1236488,1993
clark,1667285,3523887,439259,5630431,1993
clermont,736249,3484921,58165,4279334,1993
clinton,1357231,843350,31120,2231702,1993
columbiana,4356304,3913530,153633,8423467,1993
coshocton,367927,644333,17619,1029878,1993
crawford,458116,1020408,12143,1490666,1993
cuyahoga,38623632,101207162,19150248,158981043,1993
darke,192432,995412,22334,1210178,1993
defiance,164698,460104,68462,693264,1993
delaware,1082397,3046113,39414,4167924,1993
erie,1129351,2655644,456806,4241800,1993
fairfield,988554,2339052,84259,3411866,1993
fayette,268365,494187,93181,855733,1993
franklin,19759304,39037890,2481194,61278388,1993
fulton,281049,628126,14606,923781,1993
gallia,220058,593449,2601,816108,1993
geauga,984358,3347281,301949,4633588,1993
greene,808605,3343976,268899,4421480,1993
guernsey,552165,2545859,134158,3232181,1993
hamilton,24133138,35754111,1271911,61159161,1993
hancock,1212403,848027,29684,2090114,1993
hardin,136776,NA,NA,136776,1993
harrison,73334,909791,47848,1030973,1993
henry,59371,382791,39117,481279,1993
highland,114084,611859,4836,730779,1993
hocking,245101,688544,5187,938832,1993
holmes,446971,850194,5640,1302804,1993
huron,815992,1348915,19777,2184684,1993
jackson,7823,1598964,20831,1627618,1993
jefferson,3851965,5875261,1359231,11086456,1993
knox,186345,1470268,782719,2439331,1993
lake,14664059,6858777,2422540,23945377,1993
lawrence,127195,2514416,778897,3420508,1993
licking,1084656,4326396,268022,5679074,1993
logan,478115,1469746,386113,2333974,1993
lorain,3511752,7120127,2638176,13270055,1993
lucas,9489773,33337068,11197321,54024163,1993
madison,307284,925626,23931,1256841,1993
mahoning,10751959,28314689,5969199,45035847,1993
marion,599447,1507279,235455,2342181,1993
medina,1993351,4890765,1731333,8615448,1993
meigs,40266,1070465,10019,1120749,1993
mercer,153910,581843,37970,773722,1993
miami,1245621,1146656,31655,2423932,1993
monroe,3760122,330336,7048,4097506,1993
montgomery,15476784,27000172,6331824,48808779,1993
morgan,41336,264310,0,305647,1993
morrow,42238,2024698,16636,2083573,1993
muskingum,2284226,3474222,352712,6111160,1993
noble,156752,827692,8619,993063,1993
ottawa,946085,1602850,250751,2799687,1993
paulding,87248,571420,53341,712009,1993
perry,842888,1965475,55959,2864322,1993
pickaway,220918,1770763,59998,2051679,1993
pike,178355,1140075,319,1318748,1993
portage,1944e3,4592507,443601,6980109,1993
preble,139316,1352770,529997,2022084,1993
putnam,662314,305226,32680,1000220,1993
richland,2094613,6235897,881794,9212304,1993
ross,755244,968231,46661,1770137,1993
sandusky,826475,1115604,91806,2033885,1993
scioto,445955,1744074,199502,2389531,1993
seneca,249426,804498,101505,1155429,1993
shelby,586477,646454,79031,1311962,1993
stark,4775517,12711417,3772654,21259588,1993
summit,12531316,22999064,4414665,39945045,1993
trumbull,6030583,10957125,1045510,18033218,1993
tuscarawas,1486550,1670980,81015,3238545,1993
union,1969549,805799,45883,2821230,1993
van wert,152495,333721,18230,504446,1993
vinton,24854,309329,2433,336617,1993
warren,669135,2944994,261104,3875233,1993
washington,868482,951731,5554,1825767,1993
wayne,692848,1971038,28972,2692858,1993
williams,196982,538508,19629,755119,1993
wood,1004586,3031495,353083,4389165,1993
wyandot,245240,305874,6591,557705,1993
adams,151933,540265,2211,694409,1994
allen,3067240,1915395,451461,5434096,1994
ashland,274034,938336,5127,1217498,1994
ashtabula,796358,3363359,2212160,6371877,1994
athens,278318,1222962,32016,1533297,1994
auglaize,240777,766755,85443,1092976,1994
belmont,486181,2381338,206427,3073947,1994
brown,43854,958126,57210,1059190,1994
butler,2403769,5925319,336593,8665680,1994
carroll,157204,500089,41637,698929,1994
champaign,761730,960916,17475,1740122,1994
clark,1795625,3446119,447263,5689008,1994
clermont,1256763,3464624,46495,4767881,1994
clinton,948693,864566,33305,1846565,1994
columbiana,4340295,4172214,155014,8667523,1994
coshocton,423844,576590,15220,1015654,1994
crawford,580107,1190675,13744,1784526,1994
cuyahoga,35284543,92102238,18223519,145610301,1994
darke,176035,901595,15778,1093408,1994
defiance,96506,471188,67419,635113,1994
delaware,1059936,2886714,27934,3974584,1994
erie,935999,2585098,548114,4069211,1994
fairfield,731304,2224976,75401,3031681,1994
fayette,270925,464429,76889,812243,1994
franklin,27627472,34734490,1460854,63822816,1994
fulton,180710,560020,13391,754121,1994
gallia,253719,639419,3975,897114,1994
geauga,1589580,3569900,324138,5483618,1994
greene,861130,3033460,201691,4096281,1994
guernsey,860524,2721838,135411,3717773,1994
hamilton,43478241,34517538,1623349,79619128,1994
hancock,1454715,905496,26396,2386607,1994
hardin,12269,626897,18067,657233,1994
harrison,65596,952114,44766,1062476,1994
henry,411498,380392,34983,826873,1994
highland,123073,603461,4846,731381,1994
hocking,241648,673992,4727,920367,1994
